stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,lstm,technical_vmd_news,5,789,fold_2,2019,2022,2023,969,243,23.860794536149662,19.51744697888204,2.0636070207541315,0.7124194143953353,0.5555555555555556,4.710467000000108,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_1,2019,2021,2022,728,241,16.326250825162173,12.73516417344082,1.2995274194048767,0.46190128235250105,0.4854771784232365,3.980156000000079,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_2,2019,2022,2023,969,243,12.812389210494478,10.25685215429023,1.1086124074638453,0.9170817729081261,0.5679012345679012,4.716866099999834,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_1,2019,2021,2022,728,241,32.764982198896824,27.566385234688315,2.8061329039392637,-1.1672494476084632,0.4896265560165975,6.795214700000088,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_2,2019,2022,2023,969,243,33.05385106506197,27.683364570812902,3.016471611229008,0.4481336759110832,0.5061728395061729,8.150561299999936,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_1,2019,2021,2022,728,241,138.43980765294324,136.63905630030578,13.842459246784811,-37.69109337691769,0.44398340248962653,7.1205675999999585,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_2,2019,2022,2023,969,243,65.35307613958203,55.820407213733034,5.838414751894326,-1.1573560674699443,0.5596707818930041,8.000207000000046,2019
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_1,2019,2021,2022,728,241,31.811063051973765,25.59562259323369,2.604197459142383,-1.0428919315530982,0.47717842323651455,7.005113500000107,2019
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_2,2019,2022,2023,969,243,33.84545732350313,28.922213212109376,3.15014440411958,0.42138387163553137,0.49794238683127573,8.193763900000022,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_1,2019,2021,2022,728,241,35.14120110955922,29.973323372181994,3.0534153346090775,-1.4929997274897597,0.4854771784232365,6.778120199999876,2019
track_b_fusion,lstm_attention,technical_vmd,20,789,fold_2,2019,2022,2023,969,243,23.94803209636318,19.23396181565743,2.0805330743597668,0.710312720883727,0.48148148148148145,8.366805000000113,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_1,2019,2021,2022,728,241,30.80737389982259,25.862133158781717,2.630659972446718,-0.9160127170329508,0.45643153526970953,6.817014800000152,2019
track_b_fusion,lstm_attention,technical_vmd,20,2025,fold_2,2019,2022,2023,969,243,29.002687834319087,23.697581730227395,2.576860393689098,0.5751200298290389,0.4691358024691358,8.196315900000172,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_1,2019,2021,2022,728,241,32.26801090077232,26.688673808411426,2.7152592138598206,-1.102003419598601,0.4854771784232365,7.043480399999908,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,42,fold_2,2019,2022,2023,969,243,35.433930646176876,29.36055412840939,3.1964353798291247,0.36579680847296836,0.5061728395061729,8.206619600000067,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_1,2019,2021,2022,728,241,39.17339781755469,31.103251650402658,3.160093364048844,-2.0979293854382504,0.48132780082987553,7.4845066000000315,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,123,fold_2,2019,2022,2023,969,243,31.753607610937227,26.113462895257953,2.879021294769868,0.4906973813759701,0.49794238683127573,8.870318600000019,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_1,2019,2021,2022,728,241,40.098976159485126,29.583102922014213,3.0045607938469012,-2.2460529232516024,0.49377593360995853,7.353606200000058,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,456,fold_2,2019,2022,2023,969,243,27.922657384989815,23.606445494105284,2.5475581766752557,0.6061750227355185,0.48148148148148145,8.312301400000024,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_1,2019,2021,2022,728,241,32.77241582751414,24.75747660212003,2.510003799107769,-1.1682329582951336,0.48132780082987553,7.307552499999929,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,789,fold_2,2019,2022,2023,969,243,26.358209002256203,21.945093949866372,2.386793526405427,0.6490691435970692,0.48559670781893005,8.26974580000001,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_1,2019,2021,2022,728,241,33.57865249163744,27.640284528371218,2.808712500076784,-1.2762269246806723,0.4605809128630705,7.982483600000023,2019
track_b_fusion,lstm_attention,technical_vmd_news,20,2025,fold_2,2019,2022,2023,969,243,30.83171129382693,25.467851800074776,2.7607702919621233,0.5198410561066109,0.49794238683127573,8.575477899999896,2019
track_b_fusion,lstm_cnn,technical_vmd,20,42,fold_1,2019,2021,2022,728,241,21.927255267410338,17.10991818164888,1.7410817209987606,0.029361366351810636,0.5020746887966805,5.702745900000082,2019
track_b_fusion,lstm_cnn,technical_vmd,20,42,fold_2,2019,2022,2023,969,243,20.982796478970805,16.87980064960665,1.8091913058272884,0.7776093633639993,0.5349794238683128,6.5622669999997925,2019
track_b_fusion,lstm_cnn,technical_vmd,20,123,fold_1,2019,2021,2022,728,241,30.900976841659308,24.14646341646856,2.4630400092325138,-0.9276733591372779,0.4979253112033195,5.827471999999943,2019
track_b_fusion,lstm_cnn,technical_vmd,20,123,fold_2,2019,2022,2023,969,243,22.193192199326358,18.64058043597166,2.0137653760652636,0.7512120679756376,0.5267489711934157,6.962366900000006,2019
track_b_fusion,lstm_cnn,technical_vmd,20,456,fold_1,2019,2021,2022,728,241,31.179422918076188,25.56205279045577,2.604762489442759,-0.962570081298481,0.5311203319502075,5.897543900000073,2019
track_b_fusion,lstm_cnn,technical_vmd,20,456,fold_2,2019,2022,2023,969,243,19.264337053019315,15.722809180580526,1.697937923545971,0.8125446248969268,0.551440329218107,6.329604199999949,2019
track_b_fusion,lstm_cnn,technical_vmd,20,789,fold_1,2019,2021,2022,728,241,21.06023545106114,16.651488225262188,1.6959932885384312,0.10460333447953507,0.49377593360995853,5.7508121999999275,2019
track_b_fusion,lstm_cnn,technical_vmd,20,789,fold_2,2019,2022,2023,969,243,19.585025175696078,15.515533939570549,1.6751575489191304,0.8062516423037348,0.551440329218107,6.244602200000145,2019
track_b_fusion,lstm_cnn,technical_vmd,20,2025,fold_1,2019,2021,2022,728,241,31.21010206734642,24.262434085117828,2.474467483936817,-0.9664341427079288,0.46473029045643155,6.034748499999978,2019
track_b_fusion,lstm_cnn,technical_vmd,20,2025,fold_2,2019,2022,2023,969,243,27.749423073522586,22.14869110714259,2.4182338888540853,0.6110465050140532,0.5102880658436214,6.389977600000066,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,42,fold_1,2019,2021,2022,728,241,31.221761647259353,25.81646324575192,2.632126731808952,-0.9679036719458891,0.49377593360995853,6.044188399999939,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,42,fold_2,2019,2022,2023,969,243,20.60318430702657,16.368861449382912,1.7806073088718728,0.785583374529519,0.5432098765432098,6.5937108000000535,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,123,fold_1,2019,2021,2022,728,241,40.05537840582269,34.70381927539695,3.5304012779809386,-2.2389981954318405,0.4730290456431535,5.871046299999989,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,123,fold_2,2019,2022,2023,969,243,23.412442450690538,18.137966829911193,1.9465870334222808,0.7231253418690331,0.5349794238683128,6.456663400000025,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,456,fold_1,2019,2021,2022,728,241,45.479313799530786,36.21060542322791,3.6869470361551917,-3.1755802517891762,0.46473029045643155,5.786926700000095,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,456,fold_2,2019,2022,2023,969,243,27.588621225295988,23.112885537456552,2.513271155280649,0.6155412453200335,0.51440329218107,6.352385099999992,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,789,fold_1,2019,2021,2022,728,241,32.56375015921167,26.160893780364013,2.6604314078473026,-1.1407100910868673,0.5020746887966805,5.613203800000065,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,789,fold_2,2019,2022,2023,969,243,23.957980244315603,18.898040185568274,2.0303178702339566,0.7100719954270569,0.5061728395061729,6.249138599999924,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,2025,fold_1,2019,2021,2022,728,241,22.616389997586094,17.362511473285725,1.7578699798417734,-0.03260826616234702,0.49377593360995853,5.640157600000066,2019
track_b_fusion,lstm_cnn,technical_vmd_news,20,2025,fold_2,2019,2022,2023,969,243,25.075463401507026,20.060477418320662,2.1610438920911483,0.6823947322873558,0.5308641975308642,6.5097381999999016,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,42,fold_1,2019,2021,2022,728,241,39.34101921929956,32.08462073322648,3.258817223328002,-2.124497938726267,0.4605809128630705,8.817037700000128,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,42,fold_2,2019,2022,2023,969,243,31.52899168657455,26.106917244583475,2.8136814911287225,0.49787721885224245,0.522633744855967,10.158580399999892,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,123,fold_1,2019,2021,2022,728,241,36.691465046174514,29.897267743833808,3.044332381115523,-1.7178102622146847,0.4979253112033195,8.501367400000163,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,123,fold_2,2019,2022,2023,969,243,28.132006213788493,23.154264875704353,2.5056463834239717,0.6002475161144815,0.5061728395061729,10.146074400000089,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,456,fold_1,2019,2021,2022,728,241,38.27721756107407,29.663103385406902,3.0161175356355208,-1.9578064351327051,0.4730290456431535,9.007811100000026,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,456,fold_2,2019,2022,2023,969,243,25.157348120299456,20.5795464814396,2.2261919832738313,0.6803170453480163,0.5102880658436214,10.445671599999969,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,789,fold_1,2019,2021,2022,728,241,35.80900357388864,30.053109706610552,3.057284185228221,-1.588650988148944,0.4730290456431535,9.19431099999997,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,789,fold_2,2019,2022,2023,969,243,30.481685232768196,24.53811217683822,2.6586389974791342,0.5306814613458365,0.5349794238683128,9.997120600000017,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,2025,fold_1,2019,2021,2022,728,241,36.0436180895514,29.753948352396236,3.026376037508736,-1.6226829139356544,0.45643153526970953,8.687627900000052,2019
track_b_fusion,lstm_cnn_attention,technical_vmd,20,2025,fold_2,2019,2022,2023,969,243,29.34520664514984,24.503324448561944,2.6426060460980993,0.5650251912672353,0.5308641975308642,10.338256400000091,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,42,fold_1,2019,2021,2022,728,241,37.033098775482024,30.47671292117522,3.0962278859793466,-1.7686568696985887,0.4854771784232365,8.551255400000173,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,42,fold_2,2019,2022,2023,969,243,32.65298650864841,27.23827186865569,2.9476262017634247,0.46143815837874147,0.5267489711934157,10.02985509999985,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,123,fold_1,2019,2021,2022,728,241,39.34998888748911,31.889299559395333,3.245797241441483,-2.1259228588339028,0.48132780082987553,8.653882500000009,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,123,fold_2,2019,2022,2023,969,243,28.66404488733889,23.806044778686474,2.573867589825966,0.5849841224688221,0.5061728395061729,9.996198800000002,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,456,fold_1,2019,2021,2022,728,241,35.447977853238136,27.11141516493069,2.7541913732366963,-1.5367166510305728,0.47717842323651455,8.887336300000015,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,456,fold_2,2019,2022,2023,969,243,27.84295966749247,22.638286043327035,2.4356317529588387,0.6084199493943326,0.5308641975308642,10.228110700000116,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,789,fold_1,2019,2021,2022,728,241,35.753416262901055,29.743388238141133,3.030927199420705,-1.5806203563986738,0.4896265560165975,8.961395399999901,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,789,fold_2,2019,2022,2023,969,243,33.61125844883453,27.28535063175997,2.9470621390301606,0.4293638140737771,0.5061728395061729,10.000366299999996,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,2025,fold_1,2019,2021,2022,728,241,38.64343329332406,31.134976422658106,3.1654334553320727,-2.0146745688285947,0.43983402489626555,8.891500799999903,2019
track_b_fusion,lstm_cnn_attention,technical_vmd_news,20,2025,fold_2,2019,2022,2023,969,243,32.41686974151457,26.781241648172635,2.891596511664584,0.4691987787105155,0.5185185185185185,10.075037199999997,2019
