model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
lstm_cnn,456,fold_1,2022,20,31.179422918076188,25.56205279045577,2.604762489442759,-0.962570081298481,0.5311203319502075,5.897543900000073,45.479313799530786,36.21060542322791,3.6869470361551917,-3.1755802517891762,0.46473029045643155,5.786926700000095,14.299890881454598,10.648552632772141,1.082184546712433,-2.213010170490695,-0.11061719999997877,-6.639004149377592
lstm_cnn,456,fold_2,2023,20,19.264337053019315,15.722809180580526,1.697937923545971,0.8125446248969268,0.551440329218107,6.329604199999949,27.588621225295988,23.112885537456552,2.513271155280649,0.6155412453200335,0.51440329218107,6.352385099999992,8.324284172276673,7.390076356876026,0.8153332317346778,-0.1970033795768933,0.022780900000043403,-3.703703703703709
lstm_cnn,789,fold_1,2022,20,21.06023545106114,16.651488225262188,1.6959932885384312,0.10460333447953507,0.49377593360995853,5.7508121999999275,32.56375015921167,26.160893780364013,2.6604314078473026,-1.1407100910868673,0.5020746887966805,5.613203800000065,11.503514708150533,9.509405555101825,0.9644381193088714,-1.2453134255664025,-0.13760839999986274,0.8298755186721962
lstm_cnn,789,fold_2,2023,20,19.585025175696078,15.515533939570549,1.6751575489191304,0.8062516423037348,0.551440329218107,6.244602200000145,23.957980244315603,18.898040185568274,2.0303178702339566,0.7100719954270569,0.5061728395061729,6.249138599999924,4.372955068619525,3.3825062459977246,0.3551603213148262,-0.0961796468766779,0.004536399999778951,-4.526748971193417
lstm_cnn,2025,fold_1,2022,20,31.21010206734642,24.262434085117828,2.474467483936817,-0.9664341427079288,0.46473029045643155,6.034748499999978,22.616389997586094,17.362511473285725,1.7578699798417734,-0.03260826616234702,0.49377593360995853,5.640157600000066,-8.593712069760326,-6.899922611832103,-0.7165975040950436,0.9338258765455818,-0.3945908999999119,2.904564315352698
lstm_cnn,2025,fold_2,2023,20,27.749423073522586,22.14869110714259,2.4182338888540853,0.6110465050140532,0.5102880658436214,6.389977600000066,25.075463401507026,20.060477418320662,2.1610438920911483,0.6823947322873558,0.5308641975308642,6.5097381999999016,-2.6739596720155596,-2.088213688821927,-0.25718999676293697,0.07134822727330259,0.1197605999998359,2.0576131687242816
lstm_cnn_attention,42,fold_1,2022,20,39.34101921929956,32.08462073322648,3.258817223328002,-2.124497938726267,0.4605809128630705,8.817037700000128,37.033098775482024,30.47671292117522,3.0962278859793466,-1.7686568696985887,0.4854771784232365,8.551255400000173,-2.3079204438175367,-1.607907812051259,-0.16258933734865533,0.3558410690276781,-0.2657822999999553,2.4896265560165998
lstm_cnn_attention,42,fold_2,2023,20,31.52899168657455,26.106917244583475,2.8136814911287225,0.49787721885224245,0.522633744855967,10.158580399999892,32.65298650864841,27.23827186865569,2.9476262017634247,0.46143815837874147,0.5267489711934157,10.02985509999985,1.1239948220738611,1.131354624072216,0.13394471063470226,-0.036439060473500984,-0.1287253000000419,0.4115226337448652
lstm_cnn_attention,123,fold_1,2022,20,36.691465046174514,29.897267743833808,3.044332381115523,-1.7178102622146847,0.4979253112033195,8.501367400000163,39.34998888748911,31.889299559395333,3.245797241441483,-2.1259228588339028,0.48132780082987553,8.653882500000009,2.6585238413145973,1.9920318155615249,0.2014648603259599,-0.40811259661921806,0.15251509999984592,-1.659751037344398
lstm_cnn_attention,123,fold_2,2023,20,28.132006213788493,23.154264875704353,2.5056463834239717,0.6002475161144815,0.5061728395061729,10.146074400000089,28.66404488733889,23.806044778686474,2.573867589825966,0.5849841224688221,0.5061728395061729,9.996198800000002,0.5320386735503959,0.6517799029821205,0.06822120640199447,-0.015263393645659318,-0.1498756000000867,0.0
