model,seed,fold,test_year,sequence_window,rmse_full_ta,mae_full_ta,mape_full_ta,r2_full_ta,direction_accuracy_full_ta,runtime_seconds_full_ta,rmse_full_ta_vmd,mae_full_ta_vmd,mape_full_ta_vmd,r2_full_ta_vmd,direction_accuracy_full_ta_vmd,runtime_seconds_full_ta_vmd,rmse_delta_vmd_minus_full_ta,mae_delta_vmd_minus_full_ta,mape_delta_vmd_minus_full_ta,r2_delta_vmd_minus_full_ta,runtime_seconds_delta_vmd_minus_full_ta,direction_accuracy_delta_pp
cnn,789,fold_4,2025,5,28.265495160533973,21.296928114544663,2.781498045134088,0.6915875482048215,0.5213675213675214,6.540103000006639,17.02955622760302,12.807404590238894,1.65777192703612,0.8880496721577056,0.5641025641025641,6.552980900043622,-11.235938932930953,-8.489523524305769,-1.123726118097968,0.1964621239528841,0.012877900036982304,4.273504273504269
cnn,2025,fold_1,2022,5,12.202383222435618,9.556689833189932,0.9724344353865028,0.6994073559874798,0.4730290456431535,5.462810700002592,16.26436860346424,12.766611431426536,1.2949232408320823,0.4659727176786041,0.5228215767634855,5.483906499983277,4.061985381028624,3.2099215982366047,0.32248880544557956,-0.23343463830887573,0.021095799980685115,4.9792531120331995
cnn,2025,fold_2,2023,5,15.195443256828176,12.888690659165874,1.3802199798745314,0.883368326314464,0.5473251028806584,6.446509699977469,14.73385190562291,12.564595589598502,1.3420048469743049,0.8903465343694906,0.5555555555555556,5.865816400037147,-0.46159135120526606,-0.3240950695673721,-0.03821513290022649,0.00697820805502658,-0.5806932999403216,0.8230452674897193
cnn,2025,fold_3,2024,5,16.637623423038374,13.659234383438474,1.6021458733574436,0.8572575941366108,0.5409836065573771,6.30159679998178,17.08795827333829,14.57233911731207,1.7085488917414342,0.8494257247111219,0.4795081967213114,6.581498600018676,0.4503348502999174,0.9131047338735971,0.10640301838399058,-0.007831869425488969,0.279901800036896,-6.14754098360657
cnn,2025,fold_4,2025,5,18.83766916551778,14.639360737744571,1.8753320767253332,0.8630149922006142,0.5470085470085471,6.445307000016328,16.169829624624153,12.156178547673768,1.5677664601973371,0.8990678333948904,0.5512820512820513,6.6112680999794975,-2.6678395408936275,-2.483182190070803,-0.3075656165279961,0.03605284119427621,0.16596109996316954,0.42735042735042583
lstm_cnn,42,fold_1,2022,20,23.70872214783488,18.247607092422065,1.8559833402439936,-0.1347634062947997,0.4730290456431535,12.644024299981538,23.439759169942867,18.243518006158567,1.8563446605865492,-0.1091628595125071,0.4854771784232365,12.636172100028489,-0.26896297789201284,-0.004089086263498132,0.0003613203425556488,0.025600546782292594,-0.007852199953049421,1.2448132780082999
lstm_cnn,42,fold_2,2023,20,21.70758199099959,17.649923375074753,1.896843355499016,0.7619804324959569,0.5473251028806584,13.32182339997962,23.868406715977585,19.61462004428046,2.1077724855427773,0.7122358945783327,0.5390946502057613,13.224571599974295,2.1608247249779957,1.9646966692057077,0.21092913004376124,-0.04974453791762423,-0.09725180000532418,-0.8230452674897082
lstm_cnn,42,fold_3,2024,20,23.77446963925467,18.8413164946486,2.2164306874110635,0.7085311772514096,0.5,14.238124700030312,27.525891500297668,22.80945530983271,2.6813008085359384,0.6092911764279162,0.5,14.332870999991428,3.7514218610429992,3.968138815184112,0.4648701211248749,-0.09924000082349338,0.09474629996111616,0.0
lstm_cnn,42,fold_4,2025,20,38.908575451357,29.15613133903245,3.8476612673313113,0.4156011282346865,0.5213675213675214,14.874915099993814,45.367464028376354,32.44423206840828,4.311251809254879,0.2054747289712469,0.5427350427350427,15.049111699976493,6.458888577019351,3.2881007293758344,0.4635905419235673,-0.21012639926343957,0.1741965999826789,2.136752136752129
lstm_cnn,123,fold_1,2022,20,29.84645145076734,21.795448120817603,2.22240492451295,-0.7983508964000754,0.5020746887966805,13.087006999994628,27.39449915111993,19.699280206969167,2.006418180786921,-0.5150109007604706,0.4937759336099585,12.871319699974263,-2.4519522996474095,-2.0961679138484364,-0.21598674372602877,0.28333999563960477,-0.21568730002036496,-0.8298755186722018
lstm_cnn,123,fold_2,2023,20,26.05632481082852,20.992820130199064,2.262492568396365,0.6570616291558988,0.51440329218107,13.297401199990418,23.28969484171795,18.77235750471123,2.0208052133646537,0.7260209484765943,0.5555555555555556,13.231149800005367,-2.7666299691105714,-2.2204626254878335,-0.24168735503171135,0.06895931932069543,-0.0662513999850507,4.115226337448563
lstm_cnn,123,fold_3,2024,20,21.865353949563893,17.018361229271196,2.002720188651818,0.7534622342840122,0.4959016393442623,14.183930600003803,27.543338926662116,22.913077990227087,2.7088174180617184,0.6087957139008681,0.5081967213114754,14.267873900011182,5.677984977098223,5.894716760955891,0.7060972294099006,-0.1446665203831441,0.0839433000073786,1.2295081967213128
lstm_cnn,123,fold_4,2025,20,82.66693832150904,62.3739126375598,8.203366878000216,-1.6380463062444806,0.5128205128205128,15.048214400012512,51.78458305072839,39.70004887357739,5.239386212489105,-0.0351890647925634,0.5256410256410257,15.05742090003332,-30.882355270780643,-22.67386376398241,-2.9639806655111105,1.602857241451917,0.009206500020807695,1.2820512820512886
lstm_cnn,456,fold_1,2022,20,22.788334338293765,16.942370074220705,1.7219726324316689,-0.04836905526745,0.5062240663900415,12.459514699992724,24.060018746858407,18.90088974952697,1.9307101884624915,-0.1686405485430067,0.4813278008298755,12.935710999998264,1.2716844085646422,1.9585196753062668,0.20873755603082267,-0.1202714932755567,0.47619630000554025,-2.4896265560165998
lstm_cnn,456,fold_2,2023,20,25.12803073170432,19.76210137067019,2.1383421136394323,0.6810617031971711,0.4732510288065844,13.45188229996711,27.192250945890915,22.02863001709614,2.400952467366336,0.6265090519978131,0.5020576131687243,13.229529700009152,2.0642202141865944,2.26652864642595,0.2626103537269038,-0.05455265119935793,-0.22235259995795786,2.880658436213995
lstm_cnn,456,fold_3,2024,20,22.048792488813834,17.632751470325445,2.0714817990133216,0.749308244147088,0.4959016393442623,14.09988550003618,23.301924592034556,18.40526601982901,2.1674706145229146,0.7200025882145502,0.5040983606557377,13.998398399970029,1.2531321032207217,0.7725145495035655,0.09598881550959293,-0.029305655932537755,-0.10148710006615147,0.8196721311475363
lstm_cnn,456,fold_4,2025,20,49.1786376026899,39.188839176057776,5.106628457129927,0.0663766721276651,0.5427350427350427,14.885982200037688,40.311253081722434,30.004279790311813,3.957162308653844,0.3727057524223713,0.5512820512820513,14.987409800000025,-8.86738452096747,-9.184559385745963,-1.1494661484760833,0.3063290802947062,0.10142759996233686,0.8547008547008628
lstm_cnn,789,fold_1,2022,20,22.3078874537236,16.730740975126682,1.7057767214177548,-0.0046294793887449,0.4854771784232365,12.381157799973153,23.894878362177188,18.699076813642414,1.9062921612555048,-0.1526532426843383,0.5062240663900415,13.74373430002015,1.5869909084535898,1.9683358385157312,0.20051543983775,-0.1480237632955934,1.3625765000469983,2.074688796680496
lstm_cnn,789,fold_2,2023,20,23.060694035158267,18.58457584190761,2.002639733308382,0.7313823724972166,0.5555555555555556,13.319096699997315,27.077148312758062,22.453265096366145,2.434124985906582,0.6296642748198833,0.5267489711934157,13.749630799982697,4.016454277599795,3.868689254458534,0.43148525259820003,-0.10171809767733331,0.4305340999853815,-2.8806584362139898
lstm_cnn,789,fold_3,2024,20,18.469679098820286,14.664418614594672,1.7079028228039477,0.824090565850411,0.5,14.618663100001868,24.881677462796656,20.17658505757327,2.3758929786019767,0.6807508540854099,0.5,14.51854409999214,6.41199836397637,5.512166442978598,0.667990155798029,-0.14333971176500104,-0.10011900000972851,0.0
lstm_cnn,789,fold_4,2025,20,64.22416416683153,48.381004668861415,6.336488875805631,-0.5922660303412255,0.5341880341880342,15.13407400000142,59.87046081668636,44.07088845992702,5.79386661385808,-0.3837062729317719,0.5726495726495726,15.060192700009791,-4.353703350145167,-4.310116208934396,-0.5426222619475505,0.2085597574094536,-0.07388129999162807,3.8461538461538436
lstm_cnn,2025,fold_1,2022,20,33.87749100780612,27.66946496496555,2.8127197233717056,-1.3169224921067697,0.4605809128630705,12.430527099990286,23.69485983387882,18.374693714751245,1.869774791165644,-0.1334368187403856,0.4688796680497925,12.951365099987015,-10.182631173927302,-9.294771250214303,-0.9429449322060617,1.183485673366384,0.5208379999967292,0.8298755186721962
lstm_cnn,2025,fold_2,2023,20,21.48290016182515,17.373908691249277,1.8765865359298552,0.7668821216301235,0.5267489711934157,13.39954569999827,22.05082998599284,17.997761539412128,1.9317659327916368,0.7543936204784569,0.5473251028806584,13.247475199983455,0.5679298241676918,0.6238528481628514,0.05517939686178153,-0.012488501151666553,-0.15207050001481548,2.0576131687242705
lstm_cnn,2025,fold_3,2024,20,22.165380660091863,17.560994956122087,2.0610050277682888,0.7466500516376775,0.4836065573770491,14.132305500039363,29.231695361508013,24.145626805551743,2.837917388084436,0.5593655586548476,0.4795081967213114,14.659559499996249,7.06631470141615,6.584631849429655,0.7769123603161474,-0.1872844929828299,0.5272539999568853,-0.40983606557377095
lstm_cnn,2025,fold_4,2025,20,91.88036846314073,65.57621013000481,8.649230550011747,-2.258848449288445,0.5683760683760684,15.69638280000072,78.03888090487237,55.38882396480977,7.32787604244336,-1.3509358235433755,0.5683760683760684,15.09282640001038,-13.841487558268355,-10.187386165195043,-1.3213545075683877,0.9079126257450696,-0.6035563999903406,0.0
lstm_attention,42,fold_1,2022,20,29.40417055371903,22.803136122948896,2.3134154535953457,-0.7454479179158042,0.4771784232365145,15.357078099972568,29.40882492527029,23.32721889723386,2.3682119142285822,-0.7460005338168416,0.4688796680497925,18.548775199975356,0.004654371551261249,0.5240827742849632,0.05479646063323651,-0.0005526159010373899,3.191697100002788,-0.8298755186722018
lstm_attention,42,fold_2,2023,20,26.326778905143083,21.051271081677196,2.2767737027884394,0.6499055596688494,0.5267489711934157,16.08673199999612,26.097994297991114,21.02928299754736,2.2707861620206824,0.6559638924228512,0.5390946502057613,19.5638772000093,-0.2287846071519688,-0.02198808412983766,-0.0059875407677569825,0.006058332754001805,3.477145200013183,1.2345679012345623
lstm_attention,42,fold_3,2024,20,33.53392786558116,25.066004775840756,2.9744948429766183,0.4201184601688875,0.5491803278688525,17.905860600003507,32.33786615918766,23.87615204437837,2.83380891528614,0.460746279227031,0.5368852459016393,21.00618000002578,-1.1960617063935004,-1.1898527314623877,-0.14068592769047816,0.0406278190581435,3.100319400022272,-1.2295081967213184
lstm_attention,42,fold_4,2025,20,29.488095685381246,23.29032411946192,3.006110157608596,0.6643302831277886,0.5042735042735043,18.331856600008905,29.17857921892309,23.078162484540908,2.976019448039076,0.6713398945060673,0.5085470085470085,21.82858380000107,-0.309516466458156,-0.2121616349210136,-0.03009070956951998,0.007009611378278713,3.496727199992165,0.42735042735042583
lstm_attention,123,fold_1,2022,20,28.72426079717931,23.404979792927307,2.3796243802851085,-0.6656615115185216,0.4564315352697095,15.08286169997882,22.41129890668786,17.687279025786136,1.7978670910897614,-0.0139652798686344,0.5269709543568465,17.57280110003194,-6.312961890491447,-5.717700767141171,-0.5817572891953471,0.6516962316498872,2.489939400053119,7.053941908713702
lstm_attention,123,fold_2,2023,20,26.348434686528883,21.389514855278872,2.319910298412996,0.6493293640848441,0.5185185185185185,16.034511699981522,67.21955101869584,55.77437241409054,6.182997993373677,-1.2823433349379654,0.5020576131687243,19.49985160003416,40.871116332166956,34.384857558811674,3.863087694960681,-1.9316726990228095,3.465339900052637,-1.6460905349794164
lstm_attention,123,fold_3,2024,20,37.00802781897614,29.31911292656526,3.483867525205305,0.2937437312480133,0.5286885245901639,19.68823319999501,122.15196622264008,113.938017136777,13.449936577243191,-6.694339694222552,0.4795081967213114,21.627046499983408,85.14393840366395,84.61890421021175,9.966069052037886,-6.988083425470565,1.9388132999883965,-4.918032786885251
lstm_attention,123,fold_4,2025,20,31.36436582575672,24.111485100510805,3.127449328956347,0.620255292819058,0.5128205128205128,18.34716900001513,46.237672403986025,34.142877873253646,4.513931259021422,0.1747022989396546,0.5256410256410257,22.66026299999794,14.873306578229304,10.03139277274284,1.3864819300650746,-0.4455529938794034,4.3130939999828115,1.2820512820512886
lstm_attention,456,fold_1,2022,20,29.844240053009948,23.1330131338444,2.349093531498616,-0.7980844176987258,0.4564315352697095,15.34241949999705,30.677092616203797,23.45972116130021,2.380733217557728,-0.8998417323313137,0.4605809128630705,18.082050999975763,0.8328525631938497,0.3267080274558083,0.03163968605911194,-0.10175731463258786,2.7396314999787137,0.41493775933610366
lstm_attention,456,fold_2,2023,20,26.6774076423104,21.498888860690744,2.3147976909911483,0.6405181138601919,0.522633744855967,16.555081199971028,26.762904947849016,21.356987710509287,2.3074788007817504,0.638210244722692,0.5349794238683128,19.29894110001624,0.08549730553861679,-0.14190115018145733,-0.00731889020939791,-0.0023078691374998073,2.743859900045212,1.2345679012345734
lstm_attention,456,fold_3,2024,20,29.07790029347901,21.882635816707005,2.591935895112251,0.563989931797711,0.5204918032786885,20.934829799982253,25.779011164766903,20.78980726453126,2.433315481203639,0.657308808833408,0.4877049180327868,20.46616960002575,-3.2988891287121085,-1.092828552175746,-0.1586204139086118,0.09331887703569708,-0.46866019995650277,-3.2786885245901676
