stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
outer_test,cnn,full_ta_vmd,5,2025,fold_1,2012,2021,2022,2359,241,16.26436860346424,12.766611431426536,1.2949232408320823,0.4659727176786041,0.5228215767634855,5.483906499983277
outer_test,cnn,full_ta_vmd,5,2025,fold_2,2012,2022,2023,2600,243,14.73385190562291,12.564595589598502,1.3420048469743049,0.8903465343694906,0.5555555555555556,5.865816400037147
outer_test,cnn,full_ta_vmd,5,2025,fold_3,2012,2023,2024,2843,244,17.08795827333829,14.57233911731207,1.7085488917414342,0.8494257247111219,0.4795081967213114,6.581498600018676
outer_test,cnn,full_ta_vmd,5,2025,fold_4,2012,2024,2025,3087,234,16.169829624624153,12.156178547673768,1.5677664601973371,0.8990678333948904,0.5512820512820513,6.6112680999794975
outer_test,lstm_cnn,full_ta,20,42,fold_1,2012,2021,2022,2359,241,23.70872214783488,18.247607092422065,1.8559833402439936,-0.1347634062947997,0.4730290456431535,12.644024299981538
outer_test,lstm_cnn,full_ta,20,42,fold_2,2012,2022,2023,2600,243,21.70758199099959,17.649923375074753,1.896843355499016,0.7619804324959569,0.5473251028806584,13.32182339997962
outer_test,lstm_cnn,full_ta,20,42,fold_3,2012,2023,2024,2843,244,23.77446963925467,18.8413164946486,2.2164306874110635,0.7085311772514096,0.5,14.238124700030312
outer_test,lstm_cnn,full_ta,20,42,fold_4,2012,2024,2025,3087,234,38.908575451357,29.15613133903245,3.8476612673313113,0.4156011282346865,0.5213675213675214,14.874915099993814
outer_test,lstm_cnn,full_ta,20,123,fold_1,2012,2021,2022,2359,241,29.84645145076734,21.795448120817603,2.22240492451295,-0.7983508964000754,0.5020746887966805,13.087006999994628
outer_test,lstm_cnn,full_ta,20,123,fold_2,2012,2022,2023,2600,243,26.05632481082852,20.992820130199064,2.262492568396365,0.6570616291558988,0.51440329218107,13.297401199990418
outer_test,lstm_cnn,full_ta,20,123,fold_3,2012,2023,2024,2843,244,21.865353949563893,17.018361229271196,2.002720188651818,0.7534622342840122,0.4959016393442623,14.183930600003803
outer_test,lstm_cnn,full_ta,20,123,fold_4,2012,2024,2025,3087,234,82.66693832150904,62.3739126375598,8.203366878000216,-1.6380463062444806,0.5128205128205128,15.048214400012512
outer_test,lstm_cnn,full_ta,20,456,fold_1,2012,2021,2022,2359,241,22.788334338293765,16.942370074220705,1.7219726324316689,-0.04836905526745,0.5062240663900415,12.459514699992724
outer_test,lstm_cnn,full_ta,20,456,fold_2,2012,2022,2023,2600,243,25.12803073170432,19.76210137067019,2.1383421136394323,0.6810617031971711,0.4732510288065844,13.45188229996711
outer_test,lstm_cnn,full_ta,20,456,fold_3,2012,2023,2024,2843,244,22.048792488813834,17.632751470325445,2.0714817990133216,0.749308244147088,0.4959016393442623,14.09988550003618
outer_test,lstm_cnn,full_ta,20,456,fold_4,2012,2024,2025,3087,234,49.1786376026899,39.188839176057776,5.106628457129927,0.0663766721276651,0.5427350427350427,14.885982200037688
outer_test,lstm_cnn,full_ta,20,789,fold_1,2012,2021,2022,2359,241,22.3078874537236,16.730740975126682,1.7057767214177548,-0.0046294793887449,0.4854771784232365,12.381157799973153
outer_test,lstm_cnn,full_ta,20,789,fold_2,2012,2022,2023,2600,243,23.060694035158267,18.58457584190761,2.002639733308382,0.7313823724972166,0.5555555555555556,13.319096699997315
outer_test,lstm_cnn,full_ta,20,789,fold_3,2012,2023,2024,2843,244,18.469679098820286,14.664418614594672,1.7079028228039477,0.824090565850411,0.5,14.618663100001868
outer_test,lstm_cnn,full_ta,20,789,fold_4,2012,2024,2025,3087,234,64.22416416683153,48.381004668861415,6.336488875805631,-0.5922660303412255,0.5341880341880342,15.13407400000142
outer_test,lstm_cnn,full_ta,20,2025,fold_1,2012,2021,2022,2359,241,33.87749100780612,27.66946496496555,2.8127197233717056,-1.3169224921067697,0.4605809128630705,12.430527099990286
outer_test,lstm_cnn,full_ta,20,2025,fold_2,2012,2022,2023,2600,243,21.48290016182515,17.373908691249277,1.8765865359298552,0.7668821216301235,0.5267489711934157,13.39954569999827
outer_test,lstm_cnn,full_ta,20,2025,fold_3,2012,2023,2024,2843,244,22.165380660091863,17.560994956122087,2.0610050277682888,0.7466500516376775,0.4836065573770491,14.132305500039363
outer_test,lstm_cnn,full_ta,20,2025,fold_4,2012,2024,2025,3087,234,91.88036846314073,65.57621013000481,8.649230550011747,-2.258848449288445,0.5683760683760684,15.69638280000072
outer_test,lstm_cnn,full_ta_vmd,20,42,fold_1,2012,2021,2022,2359,241,23.439759169942867,18.243518006158567,1.8563446605865492,-0.1091628595125071,0.4854771784232365,12.636172100028489
outer_test,lstm_cnn,full_ta_vmd,20,42,fold_2,2012,2022,2023,2600,243,23.868406715977585,19.61462004428046,2.1077724855427773,0.7122358945783327,0.5390946502057613,13.224571599974295
outer_test,lstm_cnn,full_ta_vmd,20,42,fold_3,2012,2023,2024,2843,244,27.525891500297668,22.80945530983271,2.6813008085359384,0.6092911764279162,0.5,14.332870999991428
outer_test,lstm_cnn,full_ta_vmd,20,42,fold_4,2012,2024,2025,3087,234,45.367464028376354,32.44423206840828,4.311251809254879,0.2054747289712469,0.5427350427350427,15.049111699976493
outer_test,lstm_cnn,full_ta_vmd,20,123,fold_1,2012,2021,2022,2359,241,27.39449915111993,19.699280206969167,2.006418180786921,-0.5150109007604706,0.4937759336099585,12.871319699974263
outer_test,lstm_cnn,full_ta_vmd,20,123,fold_2,2012,2022,2023,2600,243,23.28969484171795,18.77235750471123,2.0208052133646537,0.7260209484765943,0.5555555555555556,13.231149800005367
outer_test,lstm_cnn,full_ta_vmd,20,123,fold_3,2012,2023,2024,2843,244,27.543338926662116,22.913077990227087,2.7088174180617184,0.6087957139008681,0.5081967213114754,14.267873900011182
outer_test,lstm_cnn,full_ta_vmd,20,123,fold_4,2012,2024,2025,3087,234,51.78458305072839,39.70004887357739,5.239386212489105,-0.0351890647925634,0.5256410256410257,15.05742090003332
outer_test,lstm_cnn,full_ta_vmd,20,456,fold_1,2012,2021,2022,2359,241,24.060018746858407,18.90088974952697,1.9307101884624915,-0.1686405485430067,0.4813278008298755,12.935710999998264
outer_test,lstm_cnn,full_ta_vmd,20,456,fold_2,2012,2022,2023,2600,243,27.192250945890915,22.02863001709614,2.400952467366336,0.6265090519978131,0.5020576131687243,13.229529700009152
outer_test,lstm_cnn,full_ta_vmd,20,456,fold_3,2012,2023,2024,2843,244,23.301924592034556,18.40526601982901,2.1674706145229146,0.7200025882145502,0.5040983606557377,13.998398399970029
outer_test,lstm_cnn,full_ta_vmd,20,456,fold_4,2012,2024,2025,3087,234,40.311253081722434,30.004279790311813,3.957162308653844,0.3727057524223713,0.5512820512820513,14.987409800000025
outer_test,lstm_cnn,full_ta_vmd,20,789,fold_1,2012,2021,2022,2359,241,23.894878362177188,18.699076813642414,1.9062921612555048,-0.1526532426843383,0.5062240663900415,13.74373430002015
outer_test,lstm_cnn,full_ta_vmd,20,789,fold_2,2012,2022,2023,2600,243,27.077148312758062,22.453265096366145,2.434124985906582,0.6296642748198833,0.5267489711934157,13.749630799982697
outer_test,lstm_cnn,full_ta_vmd,20,789,fold_3,2012,2023,2024,2843,244,24.881677462796656,20.17658505757327,2.3758929786019767,0.6807508540854099,0.5,14.51854409999214
outer_test,lstm_cnn,full_ta_vmd,20,789,fold_4,2012,2024,2025,3087,234,59.87046081668636,44.07088845992702,5.79386661385808,-0.3837062729317719,0.5726495726495726,15.060192700009791
outer_test,lstm_cnn,full_ta_vmd,20,2025,fold_1,2012,2021,2022,2359,241,23.69485983387882,18.374693714751245,1.869774791165644,-0.1334368187403856,0.4688796680497925,12.951365099987015
outer_test,lstm_cnn,full_ta_vmd,20,2025,fold_2,2012,2022,2023,2600,243,22.05082998599284,17.997761539412128,1.9317659327916368,0.7543936204784569,0.5473251028806584,13.247475199983455
outer_test,lstm_cnn,full_ta_vmd,20,2025,fold_3,2012,2023,2024,2843,244,29.231695361508013,24.145626805551743,2.837917388084436,0.5593655586548476,0.4795081967213114,14.659559499996249
outer_test,lstm_cnn,full_ta_vmd,20,2025,fold_4,2012,2024,2025,3087,234,78.03888090487237,55.38882396480977,7.32787604244336,-1.3509358235433755,0.5683760683760684,15.09282640001038
outer_test,lstm_attention,full_ta,20,42,fold_1,2012,2021,2022,2359,241,29.40417055371903,22.803136122948896,2.3134154535953457,-0.7454479179158042,0.4771784232365145,15.357078099972568
outer_test,lstm_attention,full_ta,20,42,fold_2,2012,2022,2023,2600,243,26.326778905143083,21.051271081677196,2.2767737027884394,0.6499055596688494,0.5267489711934157,16.08673199999612
outer_test,lstm_attention,full_ta,20,42,fold_3,2012,2023,2024,2843,244,33.53392786558116,25.066004775840756,2.9744948429766183,0.4201184601688875,0.5491803278688525,17.905860600003507
outer_test,lstm_attention,full_ta,20,42,fold_4,2012,2024,2025,3087,234,29.488095685381246,23.29032411946192,3.006110157608596,0.6643302831277886,0.5042735042735043,18.331856600008905
outer_test,lstm_attention,full_ta,20,123,fold_1,2012,2021,2022,2359,241,28.72426079717931,23.404979792927307,2.3796243802851085,-0.6656615115185216,0.4564315352697095,15.08286169997882
outer_test,lstm_attention,full_ta,20,123,fold_2,2012,2022,2023,2600,243,26.348434686528883,21.389514855278872,2.319910298412996,0.6493293640848441,0.5185185185185185,16.034511699981522
outer_test,lstm_attention,full_ta,20,123,fold_3,2012,2023,2024,2843,244,37.00802781897614,29.31911292656526,3.483867525205305,0.2937437312480133,0.5286885245901639,19.68823319999501
outer_test,lstm_attention,full_ta,20,123,fold_4,2012,2024,2025,3087,234,31.36436582575672,24.111485100510805,3.127449328956347,0.620255292819058,0.5128205128205128,18.34716900001513
outer_test,lstm_attention,full_ta,20,456,fold_1,2012,2021,2022,2359,241,29.844240053009948,23.1330131338444,2.349093531498616,-0.7980844176987258,0.4564315352697095,15.34241949999705
outer_test,lstm_attention,full_ta,20,456,fold_2,2012,2022,2023,2600,243,26.6774076423104,21.498888860690744,2.3147976909911483,0.6405181138601919,0.522633744855967,16.555081199971028
outer_test,lstm_attention,full_ta,20,456,fold_3,2012,2023,2024,2843,244,29.07790029347901,21.882635816707005,2.591935895112251,0.563989931797711,0.5204918032786885,20.934829799982253
outer_test,lstm_attention,full_ta,20,456,fold_4,2012,2024,2025,3087,234,62.68616595254424,46.23022289241483,6.13114462254449,-0.5169180678256109,0.5213675213675214,24.29252760001691
outer_test,lstm_attention,full_ta,20,789,fold_1,2012,2021,2022,2359,241,29.69432684610361,23.074119404539523,2.33889459485963,-0.7800655581651694,0.4688796680497925,18.48523890000069
outer_test,lstm_attention,full_ta,20,789,fold_2,2012,2022,2023,2600,243,24.15638188581998,19.41171422618898,2.0988441194838043,0.7052501891809847,0.51440329218107,19.81649890000699
outer_test,lstm_attention,full_ta,20,789,fold_3,2012,2023,2024,2843,244,30.45245939361143,24.191178058434737,2.8445288918390537,0.5217938276223988,0.5,20.61519530002261
outer_test,lstm_attention,full_ta,20,789,fold_4,2012,2024,2025,3087,234,27.89005870815606,21.616696432237948,2.756738000828427,0.6997261136576537,0.5299145299145299,22.01159650000045
outer_test,lstm_attention,full_ta,20,2025,fold_1,2012,2021,2022,2359,241,37.99625661180244,30.09589053622913,3.0436439515932805,-1.9145442433440176,0.4647302904564315,18.617124799988236
outer_test,lstm_attention,full_ta,20,2025,fold_2,2012,2022,2023,2600,243,27.04980127730456,21.776438971311475,2.3650795616357474,0.630411951039302,0.5349794238683128,19.89785110001685
outer_test,lstm_attention,full_ta,20,2025,fold_3,2012,2023,2024,2843,244,41.15740516836768,33.920361300687354,4.029738978044899,0.1264929705512103,0.5204918032786885,20.85677189996932
outer_test,lstm_attention,full_ta,20,2025,fold_4,2012,2024,2025,3087,234,28.79729342435832,22.174379216870687,2.8223379480842974,0.6798731869100139,0.5256410256410257,22.772552500013266
outer_test,lstm_attention,full_ta_vmd,20,42,fold_1,2012,2021,2022,2359,241,29.40882492527029,23.32721889723386,2.3682119142285822,-0.7460005338168416,0.4688796680497925,18.548775199975356
outer_test,lstm_attention,full_ta_vmd,20,42,fold_2,2012,2022,2023,2600,243,26.097994297991114,21.02928299754736,2.2707861620206824,0.6559638924228512,0.5390946502057613,19.5638772000093
outer_test,lstm_attention,full_ta_vmd,20,42,fold_3,2012,2023,2024,2843,244,32.33786615918766,23.87615204437837,2.83380891528614,0.460746279227031,0.5368852459016393,21.00618000002578
outer_test,lstm_attention,full_ta_vmd,20,42,fold_4,2012,2024,2025,3087,234,29.17857921892309,23.078162484540908,2.976019448039076,0.6713398945060673,0.5085470085470085,21.82858380000107
outer_test,lstm_attention,full_ta_vmd,20,123,fold_1,2012,2021,2022,2359,241,22.41129890668786,17.687279025786136,1.7978670910897614,-0.0139652798686344,0.5269709543568465,17.57280110003194
outer_test,lstm_attention,full_ta_vmd,20,123,fold_2,2012,2022,2023,2600,243,67.21955101869584,55.77437241409054,6.182997993373677,-1.2823433349379654,0.5020576131687243,19.49985160003416
outer_test,lstm_attention,full_ta_vmd,20,123,fold_3,2012,2023,2024,2843,244,122.15196622264008,113.938017136777,13.449936577243191,-6.694339694222552,0.4795081967213114,21.627046499983408
outer_test,lstm_attention,full_ta_vmd,20,123,fold_4,2012,2024,2025,3087,234,46.237672403986025,34.142877873253646,4.513931259021422,0.1747022989396546,0.5256410256410257,22.66026299999794
outer_test,lstm_attention,full_ta_vmd,20,456,fold_1,2012,2021,2022,2359,241,30.677092616203797,23.45972116130021,2.380733217557728,-0.8998417323313137,0.4605809128630705,18.082050999975763
