stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
window_selection,lstm,full_ta_vmd,1,42,fold_4,2012,2020,2021,2118,241,17.866255083303646,13.87406903033433,1.4491845694814025,0.3112208401482029,0.4605809128630705,5.976226200000383
window_selection,lstm,full_ta_vmd,3,42,fold_1,2012,2017,2018,1386,245,31.931635894789896,27.068286377279136,2.342957388448009,0.4489823289005944,0.5265306122448979,5.814857799967285
window_selection,lstm,full_ta_vmd,3,42,fold_2,2012,2018,2019,1631,244,28.28879670243139,26.70884808191007,2.452577781015406,-0.3090847109806796,0.4795081967213114,5.897539100027643
window_selection,lstm,full_ta_vmd,3,42,fold_3,2012,2019,2020,1875,243,34.0099196738154,23.341198689989064,2.7549456038863886,0.8555249016168924,0.448559670781893,6.317558899987489
window_selection,lstm,full_ta_vmd,3,42,fold_4,2012,2020,2021,2118,241,19.575821334558416,13.98100405287444,1.463916413813489,0.1731001311857908,0.4813278008298755,6.64658739999868
window_selection,lstm,full_ta_vmd,5,42,fold_1,2012,2017,2018,1386,245,23.081062021238285,19.593738151759524,1.7032471755710654,0.7121045734529258,0.5183673469387755,6.222462800040375
window_selection,lstm,full_ta_vmd,5,42,fold_2,2012,2018,2019,1631,244,38.94024881601884,37.737573896729415,3.462652220264307,-1.4804829480821868,0.4795081967213114,6.364315199956764
window_selection,lstm,full_ta_vmd,5,42,fold_3,2012,2019,2020,1875,243,36.51722372361724,24.63618356511312,2.923026623453686,0.8334374768957623,0.4979423868312757,7.070285799971316
window_selection,lstm,full_ta_vmd,5,42,fold_4,2012,2020,2021,2118,241,19.176615442211236,13.989092952878623,1.4624004970078444,0.2064818655650871,0.4688796680497925,7.2179293999797665
window_selection,lstm,full_ta_vmd,10,42,fold_1,2012,2017,2018,1386,245,22.64172159922798,19.03340299137272,1.654611324676854,0.7229602530122574,0.4938775510204081,6.906181600003038
window_selection,lstm,full_ta_vmd,10,42,fold_2,2012,2018,2019,1631,244,47.26365267812984,45.68559373937411,4.186618998396464,-2.6542088563026507,0.4795081967213114,7.171151699963957
window_selection,lstm,full_ta_vmd,10,42,fold_3,2012,2019,2020,1875,243,35.80608642862438,25.944546277060372,3.0155901570165287,0.839861595301187,0.4567901234567901,8.113660699978936
window_selection,lstm,full_ta_vmd,10,42,fold_4,2012,2020,2021,2118,241,17.633022954452542,13.442207314661408,1.4022726854644934,0.3290865729684645,0.4730290456431535,9.335197900014464
window_selection,lstm,full_ta_vmd,20,42,fold_1,2012,2017,2018,1386,245,37.9764107184823,33.916479418341005,2.9515324574816564,0.2206168340018656,0.5020408163265306,9.61526170000434
window_selection,lstm,full_ta_vmd,20,42,fold_2,2012,2018,2019,1631,244,19.64817195951057,17.4606952693935,1.606804350543458,0.3684858263851807,0.4959016393442623,12.240042800025549
window_selection,lstm,full_ta_vmd,20,42,fold_3,2012,2019,2020,1875,243,37.4970666822342,25.25415088297069,2.9851863496081696,0.8243790279214935,0.4444444444444444,9.7619308999856
window_selection,lstm,full_ta_vmd,20,42,fold_4,2012,2020,2021,2118,241,24.227314933704516,21.03572680645461,2.1935594212461265,-0.2665534066197075,0.4688796680497925,11.833113500033503
window_selection,cnn,full_ta,1,42,fold_1,2012,2017,2018,1386,245,25.833964489975656,22.14842743572409,1.9779213214110205,0.6393339143719441,0.5020408163265306,4.96049910003785
window_selection,cnn,full_ta,1,42,fold_2,2012,2018,2019,1631,244,22.33182970426738,19.358759941409712,1.769925804580358,0.1841930210407576,0.4877049180327868,4.6888520999928005
window_selection,cnn,full_ta,1,42,fold_3,2012,2019,2020,1875,243,23.655891949643824,17.68943304240433,2.0794745318253804,0.930102693228136,0.4938271604938271,5.077181899978314
window_selection,cnn,full_ta,1,42,fold_4,2012,2020,2021,2118,241,13.247841126800628,10.643342666784278,1.109795382265653,0.6212931503323144,0.5103734439834025,5.422403900010977
window_selection,cnn,full_ta,3,42,fold_1,2012,2017,2018,1386,245,15.61641677775772,12.71269203045904,1.116004801032367,0.868208933620726,0.5183673469387755,5.158733400050551
window_selection,cnn,full_ta,3,42,fold_2,2012,2018,2019,1631,244,30.714216527942245,28.434283771685745,2.6001836126439843,-0.5431839036085173,0.4795081967213114,5.543113199993968
window_selection,cnn,full_ta,3,42,fold_3,2012,2019,2020,1875,243,47.37027850548801,33.7971032281066,3.973067900217338,0.7197189971888271,0.5185185185185185,5.786931599956006
window_selection,cnn,full_ta,3,42,fold_4,2012,2020,2021,2118,241,13.462000631984578,10.673399469427054,1.11496046835577,0.6089501253617076,0.4937759336099585,6.113488300004974
window_selection,cnn,full_ta,5,42,fold_1,2012,2017,2018,1386,245,16.94269048389651,13.701023158774074,1.2193773254322566,0.8448728034874651,0.5183673469387755,4.849593500024639
window_selection,cnn,full_ta,5,42,fold_2,2012,2018,2019,1631,244,25.952894581737787,22.780163051024196,2.086040831565924,-0.1018193796441371,0.4795081967213114,5.426451400038786
window_selection,cnn,full_ta,5,42,fold_3,2012,2019,2020,1875,243,54.24686885160878,41.14843166653687,4.870094172705521,0.6324375499632735,0.4897119341563786,5.669210699968971
window_selection,cnn,full_ta,5,42,fold_4,2012,2020,2021,2118,241,13.867985897785594,10.967156543039186,1.144816027407412,0.5850080040121022,0.5145228215767634,6.163510100042913
