model,fold,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
lstm,fold_4,Bull,30,24,6,0.2,0.7412518900234141,0.7164032930001307,0.8077763972769909,0.41421447949745716,0.3454039871654644,0.48948684988814384,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6598360655737705,1.1792598000465648
lstm,fold_4,Sideway,30,24,6,0.2,0.7378161120297093,0.7089898552195626,0.8404006629199452,0.3845337897898692,0.2771040344192901,0.4445824975794806,0.38095238095238093,0.25,0.456043956043956,0.6557377049180327,1.1658625999698407
lstm,fold_4,Bear,30,20,10,0.3333333333333333,0.7796101510582825,0.5667127425469916,0.8472470515121886,0.41883742370820265,0.3867312579100591,0.46084541390055545,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.6762295081967213,1.1525349000003178
lstm_attention,fold_1,Bull,30,0,30,1.0,0.15844076441790111,0.144805847110439,0.18018541678425887,,,,,,,,2.967507299981661
lstm_attention,fold_1,Sideway,30,0,30,1.0,0.1450937992341737,0.13174644333928692,0.21680332310172987,,,,,,,,2.762381699969409
lstm_attention,fold_1,Bear,30,0,30,1.0,0.1733291396667319,0.14088883170792144,0.21780251876146312,,,,,,,,2.698956099950009
lstm_attention,fold_2,Bull,30,0,30,1.0,0.19932753296181155,0.15254177039664288,0.2241301508206479,,,,,,,,2.046112599986371
lstm_attention,fold_2,Sideway,30,0,30,1.0,0.2155546584683854,0.1852001232577904,0.2555592812961144,,,,,,,,2.074248499993699
lstm_attention,fold_2,Bear,30,0,30,1.0,0.3047066376961806,0.20455349343578155,0.6261797399328911,,,,,,,,2.084765699968556
lstm_attention,fold_3,Bull,30,5,25,0.8333333333333334,0.41800417697617653,0.286774762009015,0.5248725288915198,0.3156192068627094,0.3135109592526625,0.3174102259922477,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6229508196721312,2.05824430004577
lstm_attention,fold_3,Sideway,30,8,22,0.7333333333333333,0.6675611258828205,0.5754161990751812,0.712473429916685,0.30982648263008844,0.29904897545114184,0.3511917547030774,0.4285714285714285,0.4047619047619047,0.4285714285714285,0.6434426229508197,2.156379600011859
lstm_attention,fold_3,Bear,30,20,10,0.3333333333333333,0.7235122811200188,0.645720719222337,0.775456385089205,0.29726291301661156,0.25673036570495766,0.3295541287617184,0.38095238095238093,0.25,0.4285714285714285,0.639344262295082,2.1314297999924734
lstm_attention,fold_4,Bull,30,25,5,0.16666666666666666,0.7373404162638362,0.72013652364781,0.8117732267215224,0.3582335660777011,0.3187584470344093,0.3855086064747655,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.6557377049180327,2.1786949999950584
lstm_attention,fold_4,Sideway,30,24,6,0.2,0.7325607490411901,0.71129336340166,0.8415521713808003,0.32341443587854113,0.24777031336225835,0.38187039233893216,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6516393442622951,2.178385800012619
lstm_attention,fold_4,Bear,30,20,10,0.3333333333333333,0.7782619232363659,0.5594184697739477,0.8505563653981477,0.3260051351360282,0.2594350689476275,0.397954867639721,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.639344262295082,2.1504183999932125
lstm_cnn,fold_1,Bull,30,0,30,1.0,0.15334409504330876,0.13915395636169225,0.1741846620682674,,,,,,,,4.308266500011085
lstm_cnn,fold_1,Sideway,30,0,30,1.0,0.14040793882755886,0.12951681305453602,0.2079603018807834,,,,,,,,3.8746669000393004
lstm_cnn,fold_1,Bear,30,0,30,1.0,0.17628773867101094,0.1373208648070501,0.2230832738435532,,,,,,,,3.231297900012577
lstm_cnn,fold_2,Bull,30,0,30,1.0,0.19844559320999727,0.13729408385622233,0.21602414048754426,,,,,,,,2.946751699986634
lstm_cnn,fold_2,Sideway,30,0,30,1.0,0.20210055922401315,0.180399558226965,0.23981162124192676,,,,,,,,2.919732700000167
lstm_cnn,fold_2,Bear,30,0,30,1.0,0.29502892579158335,0.2073173390182043,0.6070232249107064,,,,,,,,3.014328099990961
lstm_cnn,fold_3,Bull,30,5,25,0.8333333333333334,0.41500826467137375,0.2945900124225983,0.5280214857345482,0.3311501845542774,0.3111053099421388,0.3426034544859742,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6721311475409836,3.0568511999590546
lstm_cnn,fold_3,Sideway,30,9,21,0.7,0.6733270629114643,0.5834195887901581,0.7038618655443969,0.3270328232343426,0.2025735160481261,0.3430462525733508,0.25,0.25,0.25,0.639344262295082,2.9846180999738854
