inference_type,model,contrast,metric,point_estimate,ci95_lower,ci95_upper,raw_pvalue,holm_adjusted_pvalue
four_fold_exact_sign_flip,cnn,regime_shap_specificity,balanced_accuracy_delta_pp,1.196000690840128,-1.7149485768100368,4.106949958490293,0.375,1.0
four_fold_exact_sign_flip,cnn,regime_shap_specificity,direction_accuracy_delta_pp,1.1595093720652607,-1.725686733419995,4.044705477550517,0.375,1.0
four_fold_exact_sign_flip,cnn,regime_shap_specificity,mcc_delta,0.028661952899244062,-0.040555719377038016,0.09787962517552613,0.375,1.0
four_fold_exact_sign_flip,cnn,regime_shap_specificity,rmse_delta,1.5550095582994339,-5.128925519765859,8.238944636364726,0.5,1.0
four_fold_exact_sign_flip,cnn,regime_shap_specificity,mae_delta,1.1229458237843875,-3.850159706063948,6.096051353632722,0.5,1.0
four_fold_exact_sign_flip,lstm,regime_shap_specificity,balanced_accuracy_delta_pp,-0.6039857045502611,-5.095791095301806,3.8878196862012833,0.75,1.0
four_fold_exact_sign_flip,lstm,regime_shap_specificity,direction_accuracy_delta_pp,0.6590053637371057,-6.1827901761623965,7.500800903636608,0.875,1.0
four_fold_exact_sign_flip,lstm,regime_shap_specificity,mcc_delta,-0.011322027721425156,-0.10280367664162071,0.0801596211987704,0.75,1.0
four_fold_exact_sign_flip,lstm,regime_shap_specificity,rmse_delta,1.6553703188118685,-0.648405793360304,3.959146430984041,0.125,0.625
four_fold_exact_sign_flip,lstm,regime_shap_specificity,mae_delta,1.1355071624051591,-0.6728081143337747,2.943822439144093,0.125,0.625
four_fold_exact_sign_flip,lstm_attention,regime_shap_specificity,balanced_accuracy_delta_pp,-1.132597876882814,-4.275026859519404,2.0098311057537757,0.375,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_specificity,direction_accuracy_delta_pp,-1.0570785812961656,-4.363668956709874,2.2495117941175424,0.5,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_specificity,mcc_delta,-0.02378702193146401,-0.08882678036364824,0.04125273650072023,0.375,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_specificity,rmse_delta,0.5411573151458469,-0.5126734536736919,1.5949880839653856,0.25,0.75
four_fold_exact_sign_flip,lstm_attention,regime_shap_specificity,mae_delta,0.3776892894984125,-0.4991647188135746,1.2545432978103996,0.25,0.75
four_fold_exact_sign_flip,lstm_cnn,regime_shap_specificity,balanced_accuracy_delta_pp,-1.1013521347380317,-3.270981977051125,1.0682777075750614,0.25,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_specificity,direction_accuracy_delta_pp,-0.8528766832604395,-3.20435898186006,1.498605615339181,0.25,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_specificity,mcc_delta,-0.02439927359600317,-0.07483333251031507,0.026034785318308724,0.25,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_specificity,rmse_delta,0.289652320416109,-2.627536574793021,3.206841215625239,0.75,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_specificity,mae_delta,0.0209813785559283,-2.0058285341836024,2.047791291295459,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_specificity,balanced_accuracy_delta_pp,-0.35859502643661445,-4.45157567540917,3.734385622535942,0.875,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_specificity,direction_accuracy_delta_pp,0.10326344668743909,-2.9983908941322697,3.204917787507148,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_specificity,mcc_delta,-0.009449964084618031,-0.09525494656850726,0.07635501839927121,0.625,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_specificity,rmse_delta,-2.794177018193766,-5.419117170385059,-0.16923686600247345,0.125,0.625
