model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm_cnn,fold_1,2022,global_shap_specificity,Global-SHAP,Global-Spearman,0.4833813505726934,0.475,-0.033463806813098705,22.53640029535074,17.226160403469297,0.4833813505726934,0.475,-0.033463806813098705,22.53640029535074,17.226160403469297,0.0,0.0,0.0,0.0,0.0
lstm_cnn,fold_2,2023,global_shap_specificity,Global-SHAP,Global-Spearman,0.5458470394736843,0.5454545454545454,0.09154363737115015,21.8925082682786,17.661297735877483,0.5458470394736843,0.5454545454545454,0.09154363737115015,21.8925082682786,17.661297735877483,0.0,0.0,0.0,0.0,0.0
lstm_cnn,fold_3,2024,global_shap_specificity,Global-SHAP,Global-Spearman,0.5291405881957063,0.5122950819672131,0.10165652809401098,25.138068867846545,20.546615275445564,0.5291405881957063,0.5122950819672131,0.10165652809401098,25.138068867846545,20.546615275445564,0.0,0.0,0.0,0.0,0.0
lstm_cnn,fold_4,2025,global_shap_specificity,Global-SHAP,Global-Spearman,0.5486842105263158,0.5427350427350427,0.109721780438439,52.46043245176061,39.46052699607256,0.5486842105263158,0.5427350427350427,0.109721780438439,52.46043245176061,39.46052699607256,0.0,0.0,0.0,0.0,0.0
lstm_cnn_attention,fold_1,2022,global_shap_specificity,Global-SHAP,Global-Spearman,0.46265195699529194,0.45,-0.07652471570400234,31.375187921318354,24.121148632682708,0.46265195699529194,0.45,-0.07652471570400234,31.375187921318354,24.121148632682708,0.0,0.0,0.0,0.0,0.0
lstm_cnn_attention,fold_2,2023,global_shap_specificity,Global-SHAP,Global-Spearman,0.5008223684210527,0.49173553719008267,0.00172948270295839,28.830151407455833,23.0743408571683,0.5008223684210527,0.49173553719008267,0.00172948270295839,28.830151407455833,23.0743408571683,0.0,0.0,0.0,0.0,0.0
lstm_cnn_attention,fold_3,2024,global_shap_specificity,Global-SHAP,Global-Spearman,0.5327410996702335,0.5163934426229508,0.1078762862869492,35.81752459274996,28.757085257635772,0.5327410996702335,0.5163934426229508,0.1078762862869492,35.81752459274996,28.757085257635772,0.0,0.0,0.0,0.0,0.0
lstm_cnn_attention,fold_4,2025,global_shap_specificity,Global-SHAP,Global-Spearman,0.5478070175438596,0.5384615384615384,0.13909580152198056,89.51949597934073,69.15870497155396,0.5478070175438596,0.5384615384615384,0.13909580152198056,89.51949597934073,69.15870497155396,0.0,0.0,0.0,0.0,0.0
cnn,fold_1,2022,regime_shap_reduction,Regime-SHAP,Regime-All,0.5746258168786451,0.5791666666666667,0.14912070894941487,17.031842638409685,12.869813664515469,0.5652800224861219,0.5708333333333333,0.13068407509061197,19.44416759123157,14.716846971238798,0.9345794392523255,0.8333333333333415,0.018436633858802898,-2.4123249528218835,-1.847033306723329
cnn,fold_2,2023,regime_shap_reduction,Regime-SHAP,Regime-All,0.540501644736842,0.5413223140495868,0.08091184953646534,16.418645062341575,12.659014276218015,0.53515625,0.5371900826446281,0.07038972407599355,19.174713682782354,14.773251695342509,0.5345394736842035,0.4132231404958664,0.010522125460471793,-2.7560686204407787,-2.1142374191244944
cnn,fold_3,2024,regime_shap_reduction,Regime-SHAP,Regime-All,0.532875698230029,0.5245901639344263,0.07173651706931837,18.617520480898403,14.79990802029509,0.516892119254324,0.5040983606557377,0.04315165081786701,17.11227001005811,13.399135991114106,1.5983578975705015,2.0491803278688603,0.02858486625145136,1.5052504708402914,1.4007720291809846
cnn,fold_4,2025,regime_shap_reduction,Regime-SHAP,Regime-All,0.5331140350877193,0.5256410256410257,0.08135818374793703,26.60766750468149,21.081601454013533,0.5054824561403509,0.5,0.012124185527604409,20.66936509076953,16.404205493244884,2.763157894736834,2.564102564102566,0.06923399822033262,5.938302413911959,4.677395960768649
lstm,fold_1,2022,regime_shap_reduction,Regime-SHAP,Regime-All,0.496205466938374,0.5125,-0.007908681828760145,14.385907755807017,11.753507151101147,0.496205466938374,0.5125,-0.007908681828760145,12.855530324888441,10.634812162795011,0.0,0.0,0.0,1.5303774309185751,1.1186949883061352
lstm,fold_2,2023,regime_shap_reduction,Regime-SHAP,Regime-All,0.5385827850877193,0.5413223140495868,0.0774179933886195,10.80452089886203,8.494918886467257,0.5381030701754386,0.5413223140495868,0.07659291593361134,11.020534920987723,8.627994883105586,0.04797149122807154,0.0,0.0008250774550081635,-0.21601402212569276,-0.13307599663832903
lstm,fold_3,2024,regime_shap_reduction,Regime-SHAP,Regime-All,0.4788007268322229,0.47950819672131145,-0.04238571190319248,10.92706281688707,8.376047193341563,0.49364021804966685,0.4918032786885246,-0.012760852916218207,9.524994116067143,7.460404338885518,-1.4839491217443934,-1.2295081967213128,-0.02962485898697427,1.4020687008199264,0.9156428544560447
lstm,fold_4,2025,regime_shap_reduction,Regime-SHAP,Regime-All,0.5333333333333333,0.5299145299145299,0.06911490355306128,17.392459017923983,13.00351325956829,0.5230263157894737,0.5213675213675214,0.04642056790565327,16.51523119627968,12.672844552050805,1.0307017543859653,0.8547008547008517,0.022694335647408012,0.8772278216443041,0.33066870751748567
lstm_attention,fold_1,2022,regime_shap_reduction,Regime-SHAP,Regime-All,0.5052350502424285,0.5083333333333333,0.010426234219117444,17.965357699070058,14.831181056307555,0.5099079474386902,0.5125,0.019723941272736495,17.478627228148245,14.279508375571467,-0.4672897196261627,-0.4166666666666652,-0.00929770705361905,0.4867304709218132,0.5516726807360879
lstm_attention,fold_2,2023,regime_shap_reduction,Regime-SHAP,Regime-All,0.5000685307017544,0.5041322314049587,0.00013820265054722812,19.44688229111867,15.251706991643074,0.5039747807017544,0.5082644628099173,0.008025545592033115,19.193725006860014,15.20619772130078,-0.390625,-0.4132231404958664,-0.007887342941485888,0.2531572842586556,0.04550927034229346
lstm_attention,fold_3,2024,regime_shap_reduction,Regime-SHAP,Regime-All,0.49633218924557504,0.4918032786885246,-0.0075158269104589155,15.111670997101921,11.96262374309048,0.5151086883370348,0.5081967213114754,0.03205643612557677,13.766170963997087,10.893085108635871,-1.8776499091459786,-1.6393442622950838,-0.039572263036035685,1.345500033104834,1.0695386344546094
