model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
lstm_cnn,regime_shap_reduction,mae_delta,4,-0.8151118565937576,1.6059974836424986,-3.3706122356502584,1.7403885224627431,1,3,0,0.375,1.0,0.125
lstm_cnn_attention,regime_shap_reduction,balanced_accuracy_delta_pp,4,-0.7398359907806018,1.4847154048269848,-3.102349518025323,1.6226775364641193,1,3,0,0.5,1.0,0.125
lstm_cnn_attention,regime_shap_reduction,direction_accuracy_delta_pp,4,-0.20334101649302627,1.6628514118864548,-2.8493086824899487,2.4426266495038966,2,2,0,0.875,1.0,0.125
lstm_cnn_attention,regime_shap_reduction,mcc_delta,4,-0.01622296236686979,0.0330948045436921,-0.06888418158894948,0.036438256855209905,1,3,0,0.5,1.0,0.125
lstm_cnn_attention,regime_shap_reduction,rmse_delta,4,-0.3525833524441522,2.812563647117565,-4.827999746016435,4.12283304112813,2,2,0,0.875,1.0,0.125
lstm_cnn_attention,regime_shap_reduction,mae_delta,4,-0.19141503974777407,1.7767818128944244,-3.018671397618349,2.6358413181228006,2,2,0,0.875,1.0,0.125
cnn,regime_shap_specificity,balanced_accuracy_delta_pp,4,1.196000690840128,1.829378401651091,-1.7149485768100368,4.106949958490293,3,1,0,0.375,1.0,0.125
cnn,regime_shap_specificity,direction_accuracy_delta_pp,4,1.1595093720652607,1.8131938947061337,-1.725686733419995,4.044705477550517,3,1,0,0.375,1.0,0.125
cnn,regime_shap_specificity,mcc_delta,4,0.028661952899244062,0.043499663866354836,-0.040555719377038016,0.09787962517552613,3,1,0,0.375,1.0,0.125
cnn,regime_shap_specificity,rmse_delta,4,1.5550095582994339,4.200501398542487,-5.128925519765859,8.238944636364726,3,1,0,0.5,1.0,0.125
cnn,regime_shap_specificity,mae_delta,4,1.1229458237843875,3.1253350742110917,-3.850159706063948,6.096051353632722,3,1,0,0.5,1.0,0.125
lstm,regime_shap_specificity,balanced_accuracy_delta_pp,4,-0.6039857045502611,2.8228632692365943,-5.095791095301806,3.8878196862012833,2,2,0,0.75,1.0,0.125
lstm,regime_shap_specificity,direction_accuracy_delta_pp,4,0.6590053637371057,4.2997083900773445,-6.1827901761623965,7.500800903636608,2,2,0,0.875,1.0,0.125
lstm,regime_shap_specificity,mcc_delta,4,-0.011322027721425156,0.05749140135895564,-0.10280367664162071,0.0801596211987704,2,2,0,0.75,1.0,0.125
lstm,regime_shap_specificity,rmse_delta,4,1.6553703188118685,1.4478020310019315,-0.648405793360304,3.959146430984041,4,0,0,0.125,0.625,0.125
lstm,regime_shap_specificity,mae_delta,4,1.1355071624051591,1.1364309737051332,-0.6728081143337747,2.943822439144093,4,0,0,0.125,0.625,0.125
lstm_attention,regime_shap_specificity,balanced_accuracy_delta_pp,4,-1.132597876882814,1.974851218962797,-4.275026859519404,2.0098311057537757,1,3,0,0.375,1.0,0.125
lstm_attention,regime_shap_specificity,direction_accuracy_delta_pp,4,-1.0570785812961656,2.078018013956049,-4.363668956709874,2.2495117941175424,1,2,1,0.5,1.0,0.125
lstm_attention,regime_shap_specificity,mcc_delta,4,-0.02378702193146401,0.04087406491302049,-0.08882678036364824,0.04125273650072023,1,3,0,0.375,1.0,0.125
lstm_attention,regime_shap_specificity,rmse_delta,4,0.5411573151458469,0.6622771715393276,-0.5126734536736919,1.5949880839653856,3,1,0,0.25,0.75,0.125
lstm_attention,regime_shap_specificity,mae_delta,4,0.3776892894984125,0.5510565924434773,-0.4991647188135746,1.2545432978103996,3,1,0,0.25,0.75,0.125
lstm_cnn,regime_shap_specificity,balanced_accuracy_delta_pp,4,-1.1013521347380317,1.3634981609656258,-3.270981977051125,1.0682777075750614,1,3,0,0.25,1.0,0.125
