model,fold,arm,test_year,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_1,Regime-All,2022,5,241,12.855530324888441,10.634812162795011,1.084550155042571,0.6663669831549544,0.5125,0.496205466938374,-0.007908681828760145,1.0,240,1,0,37,70,47,86,0.65
lstm,fold_1,Regime-SHAP,2022,5,241,14.385907755807017,11.753507151101147,1.1959208030330906,0.5822046801515413,0.5125,0.496205466938374,-0.007908681828760145,1.0,240,1,0,37,70,47,86,0.65
lstm,fold_1,Regime-Spearman,2022,5,241,11.057202398941834,9.056357828888157,0.9167476184301445,0.753180455298929,0.45416666666666666,0.4819408333918909,-0.041936841567629356,1.0,240,1,0,79,28,103,30,0.24166666666666667
lstm,fold_2,Global-All,2023,5,243,11.676269723237398,9.38779422579871,1.0097458328891504,0.9311350876630139,0.5041322314049587,0.508703399122807,0.01759592906029163,1.0,242,1,0,55,73,47,67,0.5785123966942148
lstm,fold_2,Global3-All,2023,5,243,11.498401696226967,9.302349266430323,0.999641289094951,0.9332171859869505,0.5289256198347108,0.5340597587719298,0.06905335783341875,1.0,242,1,0,57,71,43,71,0.5867768595041323
lstm,fold_2,Global-SHAP,2023,5,243,11.676269723237398,9.38779422579871,1.0097458328891504,0.9311350876630139,0.5041322314049587,0.508703399122807,0.01759592906029163,1.0,242,1,0,55,73,47,67,0.5785123966942148
lstm,fold_2,Global-Spearman,2023,5,243,11.676269723237398,9.38779422579871,1.0097458328891504,0.9311350876630139,0.5041322314049587,0.508703399122807,0.01759592906029163,1.0,242,1,0,55,73,47,67,0.5785123966942148
lstm,fold_2,Regime-All,2023,5,243,11.020534920987723,8.627994883105586,0.9255259617549854,0.9386527482695742,0.5413223140495868,0.5381030701754386,0.07659291593361134,1.0,242,1,0,76,52,59,55,0.44214876033057854
lstm,fold_2,Regime-SHAP,2023,5,243,10.80452089886203,8.494918886467257,0.9126221478229051,0.9410341193114087,0.5413223140495868,0.5385827850877193,0.0774179933886195,1.0,242,1,0,75,53,58,56,0.45041322314049587
lstm,fold_2,Regime-Spearman,2023,5,243,10.396155808626284,8.113150837851158,0.8691740508078919,0.9454072060719501,0.5702479338842975,0.5668859649122807,0.1345860403704382,1.0,242,1,0,80,48,56,58,0.4380165289256198
lstm,fold_3,Global-All,2024,5,244,10.852245171323467,8.693474360413255,1.0105664201958153,0.9392691128579089,0.4959016393442623,0.5090181035062925,0.02343681903101102,1.0,244,0,0,24,103,20,97,0.819672131147541
lstm,fold_3,Global3-All,2024,5,244,10.48340802525862,8.457504427822586,0.9774828031710042,0.9433271033791506,0.4918032786885246,0.5023891244363685,0.0055750874922672194,1.0,244,0,0,31,96,28,89,0.7581967213114754
lstm,fold_3,Global-SHAP,2024,5,244,10.852245171323467,8.693474360413255,1.0105664201958153,0.9392691128579089,0.4959016393442623,0.5090181035062925,0.02343681903101102,1.0,244,0,0,24,103,20,97,0.819672131147541
lstm,fold_3,Global-Spearman,2024,5,244,10.852245171323467,8.693474360413255,1.0105664201958153,0.9392691128579089,0.4959016393442623,0.5090181035062925,0.02343681903101102,1.0,244,0,0,24,103,20,97,0.819672131147541
lstm,fold_3,Regime-All,2024,5,244,9.524994116067143,7.460404338885518,0.8698443317209493,0.9532157292800614,0.4918032786885246,0.49364021804966685,-0.012760852916218207,1.0,244,0,0,57,70,54,63,0.5450819672131147
lstm,fold_3,Regime-SHAP,2024,5,244,10.92706281688707,8.376047193341563,0.967617808387222,0.9384288434629078,0.47950819672131145,0.4788007268322229,-0.04238571190319248,1.0,244,0,0,63,64,63,54,0.48360655737704916
lstm,fold_3,Regime-Spearman,2024,5,244,10.444659835615061,8.16469513003942,0.9510443181087238,0.9437452715598761,0.5081967213114754,0.5110707315431725,0.02234081729780528,1.0,244,0,0,56,71,49,68,0.569672131147541
lstm,fold_4,Global-All,2025,5,234,14.647007791173174,11.49350442298356,1.4715922697535644,0.9171835646781371,0.5512820512820513,0.5517543859649123,0.10353526460484141,1.0,234,0,0,64,56,49,65,0.5170940170940171
lstm,fold_4,Global3-All,2025,5,234,15.71535732780463,12.171842546956412,1.5672661856815768,0.9046617384508503,0.5341880341880342,0.5357456140350877,0.07198492324495284,1.0,234,0,0,57,63,46,68,0.5598290598290598
lstm,fold_4,Global-SHAP,2025,5,234,14.647007791173174,11.49350442298356,1.4715922697535644,0.9171835646781371,0.5512820512820513,0.5517543859649123,0.10353526460484141,1.0,234,0,0,64,56,49,65,0.5170940170940171
lstm,fold_4,Global-Spearman,2025,5,234,14.647007791173174,11.49350442298356,1.4715922697535644,0.9171835646781371,0.5512820512820513,0.5517543859649123,0.10353526460484141,1.0,234,0,0,64,56,49,65,0.5170940170940171
lstm,fold_4,Regime-All,2025,5,234,16.51523119627968,12.672844552050805,1.642417844708445,0.8947097823287838,0.5213675213675214,0.5230263157894737,0.04642056790565327,1.0,234,0,0,55,65,47,67,0.5641025641025641
lstm,fold_4,Regime-SHAP,2025,5,234,17.392459017923983,13.00351325956829,1.6942524523073668,0.8832274711651433,0.5299145299145299,0.5333333333333333,0.06911490355306128,1.0,234,0,0,48,72,38,76,0.6324786324786325
lstm,fold_4,Regime-Spearman,2025,5,234,14.990451171049445,11.751754044078886,1.5183786389182854,0.9132542679815716,0.5042735042735043,0.5111842105263158,0.026536597994814663,1.0,234,0,0,29,91,25,89,0.7692307692307693
lstm_attention,fold_1,Global-All,2022,5,241,19.222542051699886,14.803504870758983,1.499292804400888,0.25404836953780263,0.4791666666666667,0.5035837256693134,0.007978768612179261,1.0,240,1,0,78,29,96,37,0.275
lstm_attention,fold_1,Global3-All,2022,5,241,22.071529137410035,16.996609499757206,1.7286357746446792,0.016546402434287066,0.4583333333333333,0.48204623708804717,-0.03978714144826077,1.0,240,1,0,75,32,98,35,0.2791666666666667
lstm_attention,fold_1,Global-SHAP,2022,5,241,19.222542051699886,14.803504870758983,1.499292804400888,0.25404836953780263,0.4791666666666667,0.5035837256693134,0.007978768612179261,1.0,240,1,0,78,29,96,37,0.275
lstm_attention,fold_1,Global-Spearman,2022,5,241,19.222542051699886,14.803504870758983,1.499292804400888,0.25404836953780263,0.4791666666666667,0.5035837256693134,0.007978768612179261,1.0,240,1,0,78,29,96,37,0.275
lstm_attention,fold_1,Regime-All,2022,5,241,17.478627228148245,14.279508375571467,1.4491242774861028,0.3832577958944857,0.5125,0.5099079474386902,0.019723941272736495,1.0,240,1,0,52,55,62,71,0.525
lstm_attention,fold_1,Regime-SHAP,2022,5,241,17.965357699070058,14.831181056307555,1.5050857017823942,0.34843047184604015,0.5083333333333333,0.5052350502424285,0.010426234219117444,1.0,240,1,0,51,56,62,71,0.5291666666666667
lstm_attention,fold_1,Regime-Spearman,2022,5,241,16.79007238281414,13.720463639445327,1.3915463791802671,0.43089268863285046,0.5083333333333333,0.5070620476424706,0.014045359557418187,1.0,240,1,0,53,54,64,69,0.5125
lstm_attention,fold_2,Global-All,2023,5,243,29.861800560876013,24.404498562958047,2.68383634916609,0.5495757720646751,0.5413223140495868,0.5587308114035088,0.14590719639533886,1.0,242,1,0,33,95,16,98,0.7975206611570248
lstm_attention,fold_2,Global3-All,2023,5,243,21.977791459688163,17.39005596305968,1.880294427381421,0.7560179601496949,0.5330578512396694,0.5422834429824561,0.08892423564377722,1.0,242,1,0,49,79,34,80,0.6570247933884298
