model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,456,Regime-All,20,3,3,0,8.795829599999706,0.6122509999986505,36051,241,17.90635577998892,13.999696091339306,1.427222702249594,0.3527032199282932,0.5875,0.5702691307708524,0.1481860430873682,1.0,240,1,0,44,63,36,97,0.6666666666666666
cnn,fold_1,2022,456,Regime-SHAP,20,3,2,1,8.95271790001425,0.5933596000104444,23187,241,18.80467786782563,14.211939933309916,1.4576141198828296,0.2861272167390426,0.5916666666666667,0.5767690253671562,0.1595726362845894,1.0,240,1,0,47,60,38,95,0.6458333333333334
cnn,fold_1,2022,456,Regime-Spearman,20,3,2,1,8.948204900007113,0.5757353999943007,23187,241,21.45712375557873,15.868441892738666,1.6278665308625258,0.070537140752681,0.5791666666666667,0.5664043285784555,0.1363569286907252,1.0,240,1,0,48,59,42,91,0.625
cnn,fold_1,2022,789,Global-All,20,1,1,0,5.213530300010461,0.2019006000045919,12017,241,17.939757709026022,14.230606978503491,1.448142030205655,0.3502860752121016,0.475,0.4760733609725247,-0.0475865167094616,1.0,240,1,0,52,55,71,62,0.4875
cnn,fold_1,2022,789,Global3-All,20,3,3,0,16.021976700008963,0.5478548000101,36051,241,20.33145242882397,15.92531419941334,1.6193837727360303,0.1655009673288606,0.525,0.5065701637270746,0.0138994435334307,1.0,240,1,0,36,71,43,90,0.6708333333333333
cnn,fold_1,2022,789,Global-SHAP,20,1,0,1,5.213530300010461,0.2019006000045919,12017,241,17.939757709026022,14.230606978503491,1.448142030205655,0.3502860752121016,0.475,0.4760733609725247,-0.0475865167094616,1.0,240,1,0,52,55,71,62,0.4875
cnn,fold_1,2022,789,Global-Spearman,20,1,0,1,5.213530300010461,0.2019006000045919,12017,241,17.939757709026022,14.230606978503491,1.448142030205655,0.3502860752121016,0.475,0.4760733609725247,-0.0475865167094616,1.0,240,1,0,52,55,71,62,0.4875
cnn,fold_1,2022,789,Regime-All,20,3,3,0,9.187909500004023,0.6053910000046017,36051,241,21.234938726046305,17.102180232784065,1.7476237336831222,0.0896863549975319,0.5583333333333333,0.5613098165975687,0.122003922937788,1.0,240,1,0,63,44,62,71,0.4791666666666667
cnn,fold_1,2022,789,Regime-SHAP,20,3,2,1,9.305628999994951,0.6039886000071419,23187,241,18.01009750313441,14.203511595409438,1.4539523837592163,0.3451811748887576,0.5541666666666667,0.5612044129014124,0.1225251123831249,1.0,240,1,0,67,40,67,66,0.4416666666666666
cnn,fold_1,2022,789,Regime-Spearman,20,3,2,1,9.117627200015704,0.595960600025137,23187,241,12.64326144381536,10.259757115395738,1.044129574324057,0.6772938326510733,0.5083333333333333,0.5052350502424285,0.0104262342191174,1.0,240,1,0,51,56,62,71,0.5291666666666667
