protocol_id,market,stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,training_sequences,feature_count,roc_auc,nrmse_percent,nmae_percent,fit_seconds,inference_seconds,total_model_seconds,trainable_parameters
track-a-final-point-in-time-v2,SET50,outer_test,lstm_cnn_attention,full_ta_vmd,20,456,fold_4,2012.0,2024.0,2025,3086,234,109.42287653123196,81.32909332367093,10.745770514887658,-3.62205344417196,0.5170940170940171,0.5269736842105263,0.0844007407615903,1.0,234,0,0,17,103,10,104,0.8846153846153846,19.40188299999864,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm_cnn_attention,full_ta_vmd,20,789,fold_4,2012.0,2024.0,2025,3086,234,99.4996494458144,76.39722364492908,10.050856840603576,-2.821745908850105,0.5598290598290598,0.5699561403508772,0.2263892169744991,1.0,234,0,0,21,99,4,110,0.8931623931623932,19.83222559999558,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm_cnn_attention,full_ta_vmd,20,2025,fold_4,2012.0,2024.0,2025,3086,234,97.13780947750048,72.20029243760641,9.522527588733192,-2.6424644287066568,0.5384615384615384,0.5460526315789473,0.1140119583874781,1.0,234,0,0,30,90,18,96,0.7948717948717948,20.5667018000022,,,,,,,,,
set100-same-exchange-robustness-v1,SET100,,cnn,,20,42,fold_1,,,2022,2337,241,81.35185452026953,72.19158710931335,3.245857079566167,-1.2981853425050058,0.5269709543568465,0.4951896456256921,-0.022059850737867568,1.0,241,0,0,5,107,7,122,0.950207468879668,,2318.0,122.0,0.5254706533776301,3.651126184530446,3.240007195311708,4.975304299998243,0.16736329999912414,5.142667599997367,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,123,fold_1,,,2022,2337,241,49.30011641378061,39.62756315703706,1.77880337931182,0.15599304648543844,0.47717842323651455,0.47044573643410853,-0.06001681545118716,1.0,241,0,0,42,70,56,73,0.5933609958506224,,2318.0,122.0,0.4966777408637873,2.2126225271718276,1.778511803142022,4.978016000000935,0.15229360000012093,5.1303096000010555,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,456,fold_1,,,2022,2337,241,49.275940129097386,40.295889932728336,1.805931668902801,0.15682062867689384,0.5145228215767634,0.495328073089701,-0.011104322979581917,1.0,241,0,0,25,87,30,99,0.7717842323651453,,2318.0,122.0,0.5151578073089701,2.2115374791840208,1.8085067602937515,5.521210099999735,0.18302519999997457,5.704235299999709,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,789,fold_1,,,2022,2337,241,45.36189595931762,37.176569382817874,1.6687875504221965,0.28545015161530807,0.4979253112033195,0.48864894795127356,-0.02346135980501549,1.0,241,0,0,40,72,49,80,0.6307053941908713,,2318.0,122.0,0.5051910299003323,2.0358725328842286,1.6685095468942177,5.10530160000053,0.16380869999920833,5.269110299999738,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,2025,fold_1,,,2022,2337,241,45.67185309214402,36.69409754280234,1.6480569998107732,0.27565177340975244,0.5145228215767634,0.5188607419712071,0.03790293309797371,1.0,241,0,0,65,47,70,59,0.43983402489626555,,2318.0,122.0,0.508236434108527,2.049783618383361,1.6468558848017278,5.140336500000558,0.16322399999990012,5.303560500000458,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,42,fold_2,,,2023,2578,243,55.944765357341545,46.51639537944953,2.28627043716266,0.7368970084869587,0.49794238683127573,0.51328125,0.03233735519299576,1.0,243,0,0,29,99,23,92,0.7860082304526749,,2559.0,122.0,0.5683423913043479,2.6920306630195157,2.2383427992729,5.548200599998381,0.16443249999792897,5.71263309999631,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,123,fold_2,,,2023,2578,243,54.482620443381215,45.29501809382134,2.2138720419148386,0.7504699532502586,0.4691358024691358,0.48770380434782606,-0.03417591834036787,1.0,243,0,0,18,110,19,96,0.8477366255144033,,2559.0,122.0,0.5489809782608697,2.6216730716163243,2.1795708108120504,5.734473100001196,0.15769629999704193,5.892169399998238,12017.0
