model,fold,test_year,balanced_accuracy_set100,direction_accuracy_set100,mcc_set100,roc_auc_set100,direction_coverage_set100,mape_set100,nrmse_percent_set100,nmae_percent_set100,balanced_accuracy_set50,direction_accuracy_set50,mcc_set50,roc_auc_set50,direction_coverage_set50,mape_set50,nrmse_percent_set50,nmae_percent_set50,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,roc_auc_delta,direction_coverage_delta_pp,mape_delta_pp,nrmse_percent_delta_pp,nmae_percent_delta_pp
lstm_cnn,fold_3,2024,0.5135798319327731,0.5040983606557377,0.04259385878073792,0.5356638655462185,1.0,2.4782874077295234,2.926160572410794,2.43852263934293,0.5291405881957063,0.5122950819672131,0.10165652809401098,0.5330102967898244,1.0,2.420509952249208,2.904334678414347,2.3738596461895405,-1.5560756262933184,-0.8196721311475419,-0.05906266931327306,0.002653568756394109,0.0,0.05777745548031543,0.0218258939964473,0.06466299315338953
lstm_cnn,fold_4,2025,0.5213675213675214,0.5213675213675214,0.05991139665098729,0.5648330776535905,1.0,6.238322228847683,7.450922928108095,5.937253810356697,0.5486842105263158,0.5427350427350427,0.109721780438439,0.5868421052631579,1.0,5.207089296089489,6.562776582257783,4.936494237471441,-2.731668915879437,-2.136752136752129,-0.04981038378745171,-0.022009027609567466,0.0,1.0312329327581944,0.8881463458503118,1.000759572885256
lstm_attention,fold_1,2022,0.5071636212624585,0.4730290456431535,0.05593225259580312,0.5319767441860466,1.0,3.3441975940030435,3.684541431881512,3.3595836795579896,0.5035837256693134,0.4791666666666667,0.007978768612179261,0.4970135619422388,1.0,1.499292804400888,1.9535969526951562,1.504487904198144,0.3579895593145088,-0.6137621023513173,0.047953483983623854,0.03496318224380779,0.0,1.8449047896021555,1.730944479186356,1.8550957753598456
lstm_attention,fold_2,2023,0.5325067934782608,0.5102880658436214,0.11552391496419849,0.5799592391304348,1.0,3.4858740166976974,4.026542401465763,3.401516534574242,0.5587308114035088,0.5413223140495868,0.14590719639533886,0.5877878289473685,1.0,2.68383634916609,3.202405132791488,2.617159380657476,-2.6224017925247978,-3.1034248205965342,-0.03038328143114037,-0.007828589816933684,0.0,0.8020376675316072,0.8241372686742747,0.784357153916766
lstm_attention,fold_3,2024,0.5,0.48770491803278687,0.0,0.5518655462184874,1.0,5.261332897373423,5.529226053093825,5.203250860963401,0.5118110236220472,0.4918032786885246,0.10708858410046974,0.5529981829194428,1.0,4.175022754453817,4.577888095395338,4.094050146441228,-1.1811023622047223,-0.40983606557377095,-0.10708858410046974,-0.001132636700955425,0.0,1.086310142919606,0.9513379576984873,1.1092007145221725
lstm_attention,fold_4,2025,0.5170940170940171,0.5170940170940171,0.1318760946791574,0.5619840748045876,1.0,7.8539203203648,8.694639956185162,7.544954656784937,0.5208333333333334,0.5085470085470085,0.14402207496978586,0.5711988304093567,1.0,6.284480975046565,7.131820369659013,6.021477902154798,-0.3739316239316226,0.8547008547008628,-0.012145980290628466,-0.009214755604769143,0.0,1.5694393453182354,1.5628195865261487,1.5234767546301393
lstm_cnn_attention,fold_1,2022,0.5059869878183831,0.4730290456431535,0.03333644483550541,0.500968992248062,1.0,4.443957641931258,5.294241607008253,4.457330637271169,0.46265195699529194,0.45,-0.07652471570400234,0.47628416836483733,1.0,2.447674349786713,3.1886766770217583,2.451444888900565,4.33350308230912,2.30290456431535,0.10986116053950774,0.024684823883224682,0.0,1.9962832921445446,2.1055649299864947,2.005885748370604
lstm_cnn_attention,fold_2,2023,0.4675951086956522,0.4567901234567901,-0.07086473481734243,0.526358695652174,1.0,2.780115165001411,3.5564230480747407,2.7441649963145376,0.5008223684210527,0.49173553719008267,0.00172948270295839,0.5476973684210527,1.0,2.4998070668751553,3.0917701917597924,2.474512126157218,-3.322725972540047,-3.494541373329257,-0.07259421752030082,-0.021338672768878686,0.0,0.2803080981262558,0.46465285631494835,0.26965287015731976
lstm_cnn_attention,fold_3,2024,0.5019831932773109,0.4918032786885246,0.007069056381864446,0.5376134453781513,1.0,3.565256453967213,4.205562416357442,3.5129380345255368,0.5327410996702335,0.5163934426229508,0.1078762862869492,0.54633555420957,1.0,3.4020776188021484,4.138188948266408,3.322458873151472,-3.075790639292264,-2.4590163934426257,-0.10080722990508476,-0.008722108831418773,0.0,0.16317883516506448,0.06737346809103428,0.19047916137406462
lstm_cnn_attention,fold_4,2025,0.5256410256410257,0.5256410256410257,0.0878561118986134,0.5674629264372855,1.0,9.838240173413757,11.618925629325876,9.363874574785038,0.5478070175438596,0.5384615384615384,0.13909580152198056,0.5883771929824562,1.0,9.099795852559536,11.198848816371514,8.651722988824826,-2.216599190283397,-1.2820512820512775,-0.051239689623367154,-0.0209142665451707,0.0,0.7384443208542208,0.4200768129543615,0.7121515859602123
