model,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,favourable_direction
lstm_cnn,balanced_accuracy_delta_pp,4,-2.1659474494283275,2.761715100453479,-6.560452458270526,2.228557559413871,1,3,0,0.25,positive_favours_set100
lstm_cnn,direction_accuracy_delta_pp,4,-2.4905871836588918,2.9902326221508275,-7.24871456381025,2.2675401964924657,0,4,0,0.125,positive_favours_set100
lstm_cnn,mcc_delta,4,-0.05041024610075822,0.05476566822438666,-0.13755464534930456,0.036734153147788114,1,3,0,0.25,positive_favours_set100
lstm_cnn,roc_auc_delta,4,-0.0018189490976647377,0.01928338210069988,-0.0325031131575379,0.02886521496220842,2,2,0,1.0,positive_favours_set100
lstm_cnn,direction_coverage_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,positive_favours_set100
lstm_cnn,mape_delta_pp,4,0.4677625707265576,0.41110109982368914,-0.18639101738942654,1.1219161588425417,4,0,0,0.125,negative_favours_set100
lstm_cnn,nrmse_percent_delta_pp,4,0.492317251615231,0.35871289792692124,-0.07847501671734014,1.063109519947802,4,0,0,0.125,negative_favours_set100
lstm_cnn,nmae_percent_delta_pp,4,0.45919028109170046,0.3961155113174266,-0.17111789163715507,1.089498453820556,4,0,0,0.125,negative_favours_set100
lstm_attention,balanced_accuracy_delta_pp,4,-0.9548615548366585,1.2770973572620141,-2.987008437889701,1.0772853282163837,1,3,0,0.25,positive_favours_set100
lstm_attention,direction_accuracy_delta_pp,4,-0.8180805334551898,1.656241291818657,-3.45353002335849,1.8173689564481101,1,3,0,0.5,positive_favours_set100
lstm_attention,mcc_delta,4,-0.025416090459653682,0.06391207366776659,-0.12711446181315567,0.0762822808938483,1,3,0,0.625,positive_favours_set100
lstm_attention,roc_auc_delta,4,0.004196800030287384,0.02081227999611935,-0.028920181758802635,0.0373137818193774,1,3,0,1.0,positive_favours_set100
lstm_attention,direction_coverage_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,positive_favours_set100
lstm_attention,mape_delta_pp,4,1.325672986342901,0.4692235505606537,0.5790336089259734,2.0723123637598286,4,0,0,0.125,negative_favours_set100
lstm_attention,nrmse_percent_delta_pp,4,1.2673098230213167,0.44666290321524954,0.556569469998984,1.9780501760436493,4,0,0,0.125,negative_favours_set100
lstm_attention,nmae_percent_delta_pp,4,1.3180325996072308,0.4687090046584185,0.5722119795430367,2.063853219671425,4,0,0,0.125,negative_favours_set100
lstm_cnn_attention,balanced_accuracy_delta_pp,4,-1.0704031799516471,3.633662294412043,-6.852370751701811,4.711564391798516,1,3,0,0.625,positive_favours_set100
lstm_cnn_attention,direction_accuracy_delta_pp,4,-1.2331761211269527,2.5247252373550433,-5.250577372865498,2.7842251306115924,1,3,0,0.375,positive_favours_set100
lstm_cnn_attention,mcc_delta,4,-0.028694994127311246,0.09457516878906808,-0.1791851923694876,0.12179520411486511,1,3,0,0.625,positive_favours_set100
lstm_cnn_attention,roc_auc_delta,4,-0.0065725560655608695,0.021643838540740257,-0.04101273306362884,0.027867620932507102,1,3,0,0.625,positive_favours_set100
lstm_cnn_attention,direction_coverage_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,positive_favours_set100
lstm_cnn_attention,mape_delta_pp,4,0.7945536365725214,0.8387262235190982,-0.5400469490189341,2.1291542221639768,4,0,0,0.125,negative_favours_set100
lstm_cnn_attention,nrmse_percent_delta_pp,4,0.7644170168367097,0.9115876556384181,-0.6861223664776506,2.21495640015107,4,0,0,0.125,negative_favours_set100
lstm_cnn_attention,nmae_percent_delta_pp,4,0.7945423414655501,0.8395519377774383,-0.5413721397712428,2.1304568227023433,4,0,0,0.125,negative_favours_set100
