protocol_id,market,model,fold,test_year,sequence_window,seeds_averaged,n_test,first_date,last_date,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,roc_auc,nrmse_percent,nmae_percent
set100-same-exchange-robustness-v1,SET50,cnn,fold_2,2023,20,5,243,2023-01-03,2023-12-28,17.21074403866364,14.099039346455545,1.5114926992354392,0.8503802057830854,0.5413223140495868,0.5385827850877193,0.0774179933886195,1.0,242,1,0,75,53,58,56,0.45041322314049587,0.5711348684210527,1.8456949686010526,1.5119930855634198
set100-same-exchange-robustness-v1,SET100,cnn,fold_2,2023,20,5,243,2023-01-03,2023-12-28,51.20848642825826,42.031584785229796,2.0563389159641874,0.7795598225955822,0.5020576131687243,0.5185122282608696,0.046802131512889304,1.0,243,0,0,27,101,20,95,0.8065843621399177,0.5596467391304347,2.464123583165578,2.0225362343448388
set100-same-exchange-robustness-v1,SET50,cnn,fold_3,2024,20,5,244,2024-01-02,2024-12-30,22.688572296805376,18.870831335919835,2.2220217353627514,0.7345487538478843,0.5122950819672131,0.5291405881957063,0.10165652809401098,1.0,244,0,0,15,112,7,110,0.9098360655737705,0.5309240191129955,2.6213313230917175,2.1802474226460014
set100-same-exchange-robustness-v1,SET100,cnn,fold_3,2024,20,5,244,2024-01-02,2024-12-30,39.564066918080165,30.564297998571924,1.6374181490882438,0.7852258717783571,0.5163934426229508,0.5211428571428571,0.04580872184312214,1.0,244,0,0,41,84,34,85,0.6926229508196722,0.5250420168067228,2.0851615810160644,1.6108429921855194
set100-same-exchange-robustness-v1,SET50,cnn,fold_4,2025,20,5,234,2025-01-02,2025-12-18,24.602593339527054,19.072767893360226,2.47176274363586,0.7663420918376593,0.5512820512820513,0.5557017543859649,0.11850774369052149,1.0,234,0,0,46,74,31,83,0.6709401709401709,0.5733187134502924,3.0777733976922397,2.3859947133390778
set100-same-exchange-robustness-v1,SET100,cnn,fold_4,2025,20,5,234,2025-01-02,2025-12-18,51.18011150289815,39.909843715779324,2.400110708610133,0.7842201499373088,0.5470085470085471,0.5470085470085471,0.10146548066977612,1.0,234,0,0,42,75,31,86,0.688034188034188,0.5652713857842063,2.98226455548307,2.3255461708343024
set100-same-exchange-robustness-v1,SET50,lstm_cnn,fold_1,2022,20,5,241,2022-01-04,2022-12-30,22.53640029535074,17.226160403469297,1.7541245387603825,-0.025316920258436904,0.475,0.4833813505726934,-0.033463806813098705,1.0,240,1,0,60,47,79,54,0.42083333333333334,0.48401377274963114,2.2903860906274898,1.750703646809272
set100-same-exchange-robustness-v1,SET100,lstm_cnn,fold_1,2022,20,5,241,2022-01-04,2022-12-30,63.96960829913911,49.2508006710502,2.2145953274383743,-0.42101125572895004,0.4730290456431535,0.4948089700996678,-0.013176230118850022,1.0,241,0,0,90,22,105,24,0.1908713692946058,0.5068521594684385,2.870999232315585,2.21040920332501
set100-same-exchange-robustness-v1,SET50,lstm_cnn,fold_2,2023,20,5,243,2023-01-03,2023-12-28,21.8925082682786,17.661297735877483,1.9017103586124322,0.757907794797738,0.5454545454545454,0.5458470394736843,0.09154363737115015,1.0,242,1,0,69,59,51,63,0.5041322314049587,0.5497532894736843,2.3477713845517294,1.8940127339553015
set100-same-exchange-robustness-v1,SET100,lstm_cnn,fold_2,2023,20,5,243,2023-01-03,2023-12-28,58.738321398225374,45.836897344453284,2.223279464602161,0.7099653167711616,0.4773662551440329,0.4906589673913043,-0.021511870625406666,1.0,243,0,0,31,97,30,85,0.7489711934156379,0.5389945652173913,2.826455009477799,2.2056457357677197
set100-same-exchange-robustness-v1,SET50,lstm_cnn,fold_3,2024,20,5,244,2024-01-02,2024-12-30,25.138068867846545,20.546615275445564,2.420509952249208,0.674137597407474,0.5122950819672131,0.5291405881957063,0.10165652809401098,1.0,244,0,0,15,112,7,110,0.9098360655737705,0.5330102967898244,2.904334678414347,2.3738596461895405
set100-same-exchange-robustness-v1,SET100,lstm_cnn,fold_3,2024,20,5,244,2024-01-02,2024-12-30,55.52126691471806,46.26877540934026,2.4782874077295234,0.5770404411284967,0.5040983606557377,0.5135798319327731,0.04259385878073792,1.0,244,0,0,16,109,12,107,0.8852459016393442,0.5356638655462185,2.926160572410794,2.43852263934293
set100-same-exchange-robustness-v1,SET50,lstm_cnn,fold_4,2025,20,5,234,2025-01-02,2025-12-18,52.46043245176061,39.46052699607256,5.207089296089489,-0.062386248797213995,0.5427350427350427,0.5486842105263158,0.109721780438439,1.0,234,0,0,38,82,25,89,0.7307692307692307,0.5868421052631579,6.562776582257783,4.936494237471441
set100-same-exchange-robustness-v1,SET100,lstm_cnn,fold_4,2025,20,5,234,2025-01-02,2025-12-18,127.86895970009039,101.89213813254125,6.238322228847683,-0.3469103661622679,0.5213675213675214,0.5213675213675214,0.05991139665098729,1.0,234,0,0,20,97,15,102,0.8504273504273504,0.5648330776535905,7.450922928108095,5.937253810356697
