model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
lstm,456,fold_1,2022,5,13.900996721425951,11.036405221243607,1.1237680056191037,0.6098955449345385,0.5103734439834025,4.527558000000681,15.392217812732016,12.399850656837824,1.2631510459772712,0.5217098588534412,0.5435684647302904,5.636594900000091,1.4912210913060644,1.3634454355942172,0.1393830403581675,-0.08818568608109723,1.1090368999994098,3.319502074688796
lstm,456,fold_2,2023,5,16.78008900954786,13.679574444024189,1.4728411138754973,0.8577742338234859,0.51440329218107,5.164023399999678,13.953518692536074,11.334189231224036,1.2163033599607154,0.9016538781810511,0.5390946502057613,5.065522799999599,-2.8265703170117877,-2.345385212800153,-0.25653775391478195,0.043879644357565195,-0.09850060000007943,2.4691358024691357
lstm,456,fold_3,2024,5,10.895959006261712,8.664305204255664,1.0017918899895308,0.9387788683449403,0.5327868852459017,5.508507099999406,10.545133429597708,8.495459058616984,0.9841175907621091,0.9426577683927445,0.5040983606557377,5.470230900000388,-0.35082557666400405,-0.16884614563868006,-0.017674299227421697,0.0038789000478042235,-0.03827619999901799,-2.868852459016402
lstm,456,fold_4,2025,5,12.529633270829583,10.00477470405718,1.265616576304312,0.9393968179867136,0.46153846153846156,5.997742200001085,16.90388382897267,13.583903023527986,1.7429534949249974,0.8896958869563879,0.5042735042735043,5.911341099999845,4.374250558143087,3.579128319470806,0.4773369186206855,-0.04970093103032569,-0.08640110000123968,4.273504273504269
lstm,789,fold_1,2022,5,14.62137873031585,11.325837057734939,1.156655975547774,0.5684156565920293,0.5062240663900415,4.613090199999533,19.842341887922853,16.739734478808014,1.7060806444837249,0.20516883926097906,0.5103734439834025,5.748500000000604,5.220963157607002,5.4138974210730755,0.5494246689359508,-0.36324681733105024,1.1354098000010708,0.4149377593360981
lstm,789,fold_2,2023,5,16.717091063522922,13.449150593290613,1.4412320122572686,0.8588401533044702,0.5349794238683128,5.147057000000132,28.534676425301615,24.20034379886014,2.5887524372733854,0.5887218229543308,0.5432098765432098,5.090249400000175,11.817585361778693,10.751193205569527,1.1475204250161168,-0.2701183303501393,-0.05680759999995644,0.8230452674897082
lstm,789,fold_3,2024,5,18.70801646615041,15.407435568908186,1.8111950456663786,0.8195213146298296,0.4918032786885246,5.609973500000706,21.86971450622108,17.693616485727606,2.0723297980254483,0.7533638915730209,0.5081967213114754,5.447665499999857,3.161698040070668,2.2861809168194203,0.2611347523590697,-0.06615742305680872,-0.16230800000084855,1.6393442622950838
lstm,789,fold_4,2025,5,17.36164743160635,13.32710545147968,1.7151545291104273,0.8836408411065847,0.452991452991453,5.891381299999921,23.869334634763685,19.73726511194155,2.4715011047170816,0.7800624746734448,0.47863247863247865,5.848658599999908,6.507687203157335,6.41015966046187,0.7563465756066543,-0.10357836643313989,-0.04272270000001299,2.564102564102566
lstm,2025,fold_1,2022,5,34.24102462137252,30.675265339227177,3.129713184630319,-1.366914292468096,0.44398340248962653,4.6318671999997605,15.937243696267103,12.522771767387747,1.2774514028237391,0.4872384458188027,0.49377593360995853,4.998654400000305,-18.303780925105414,-18.15249357183943,-1.8522617818065796,1.8541527382868987,0.36678720000054454,4.9792531120331995
lstm,2025,fold_2,2023,5,14.4006442117407,11.52628135689002,1.2339654057070875,0.8952501034034601,0.5432098765432098,5.61058950000006,13.224867313188698,10.412291604045004,1.1223801831859697,0.911656946050872,0.5637860082304527,5.128437000000304,-1.1757768985520016,-1.1139897528450167,-0.1115852225211178,0.01640684264741188,-0.4821524999997564,2.0576131687242816
lstm,2025,fold_3,2024,5,19.44714788798307,16.07402759294528,1.8946584767885501,0.804978601883653,0.5245901639344263,5.570933200000582,19.34269028884521,16.272326980882966,1.91435798474582,0.8070680348350101,0.5163934426229508,5.534454599999663,-0.1044575991378629,0.1982993879376842,0.019699507957269935,0.0020894329513571064,-0.03647860000091896,-0.8196721311475419
lstm,2025,fold_4,2025,5,18.496060905937103,14.110967426775735,1.836161475961077,0.867938203253344,0.5598290598290598,6.2404190999986895,19.735110298138522,15.134231919346965,1.9696997290730454,0.8496519415963735,0.5512820512820513,6.099534199998743,1.2390493922014194,1.0232644925712293,0.13353825311196843,-0.01828626165697056,-0.14088489999994636,-0.8547008547008517
lstm_attention,42,fold_1,2022,20,32.764982198896824,27.566385234688315,2.8061329039392637,-1.1672494476084632,0.4896265560165975,10.401524400000199,32.755682269952004,27.186481744417005,2.767210099203561,-1.1660193291034995,0.4854771784232365,8.551788699999634,-0.009299928944820124,-0.3799034902713103,-0.038922804735702865,0.0012301185049636842,-1.849735700000565,-0.4149377593360981
lstm_attention,42,fold_2,2023,20,33.05385106506197,27.683364570812902,3.016471611229008,0.4481336759110832,0.5061728395061729,9.468051599998944,34.91328281485104,28.77817242210292,3.1304445653372848,0.3842971916923368,0.49382716049382713,9.69247599999835,1.8594317497890671,1.0948078512900175,0.11397295410827679,-0.06383648421874644,0.2244243999994069,-1.2345679012345734
lstm_attention,42,fold_3,2024,20,31.740352500510962,26.506170725607475,3.103906646516427,0.48048998631469075,0.5450819672131147,11.160901100000046,29.453614745068304,22.792340105136883,2.6820743952612145,0.5526498001138609,0.5286885245901639,13.271892799999478,-2.2867377554426582,-3.713830620470592,-0.4218322512552124,0.07215981379917014,2.110991699999431,-1.6393442622950838
lstm_attention,42,fold_4,2025,20,33.97407340559707,27.705970496346804,3.5716601711170983,0.5544320444189408,0.5085470085470085,12.437171399998988,34.95644766377584,28.962711600484248,3.715304778367718,0.5282919444977277,0.4829059829059829,12.415874700000131,0.9823742581787727,1.2567411041374434,0.14364460725061967,-0.026140099921213134,-0.02129669999885664,-2.5641025641025603
lstm_attention,123,fold_1,2022,20,138.43980765294324,136.63905630030578,13.842459246784811,-37.69109337691769,0.44398340248962653,9.94973470000059,40.744001059974686,32.80486342995,3.3326869046946115,-2.351323695209194,0.4605809128630705,8.689112000000023,-97.69580659296855,-103.83419287035579,-10.5097723420902,35.339769681708496,-1.2606227000005674,1.659751037344398
