stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd_news,5,123,fold_4,2019,2024,2025,1456,234,17.981306603005738,13.885740245211327,1.7701813960051043,0.875186603765848,0.5128205128205128,4.682583499999964,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_1,2019,2021,2022,728,241,17.52990853386872,13.941110146411697,1.4164912973073878,0.37963351333163864,0.5186721991701245,3.8226167000002533,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_2,2019,2022,2023,969,243,18.164117057767925,14.804118199829215,1.5906974587008331,0.83334500087449,0.5432098765432098,3.936666999999943,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_3,2019,2023,2024,1212,244,23.856675671181364,19.637654507927213,2.311255112435242,0.7065120432523497,0.5,4.252527700000428,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_4,2019,2024,2025,1456,234,17.062434660524502,13.00429747397574,1.6645732464672718,0.8876169768541811,0.5470085470085471,4.588884700000563,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_1,2019,2021,2022,728,241,16.916117562776297,13.553423261780958,1.3843124125273787,0.42231589551018855,0.48132780082987553,3.8799364999995305,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_2,2019,2022,2023,969,243,17.281111074697332,13.723203026355538,1.4748100171027785,0.849154247836631,0.5679012345679012,3.942673200000172,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_3,2019,2023,2024,1212,244,21.403291897620345,17.934026784564615,2.10465192183919,0.7637718870397233,0.5081967213114754,4.261502299999847,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_4,2019,2024,2025,1456,234,16.51304698982483,12.5670894349895,1.6037717987818358,0.8947376306056545,0.5683760683760684,4.777803300001324,2019
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_1,2019,2021,2022,728,241,28.930789448293492,24.702292062984007,2.516649284625048,-0.6896999742968979,0.4315352697095436,3.9165412000002107,2019
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_2,2019,2022,2023,969,243,14.576082017394691,11.812091009621753,1.2715409403586588,0.892682297069213,0.5596707818930041,3.931390200000351,2019
