model,sequence_window,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
lstm,20,fold_2,2012,2022,2023,2600,243,15.492064765572373,12.757734873108427,1.38405939012561,0.8787704845148954,0.551440329218107,12.867445399984716
lstm,20,fold_3,2012,2023,2024,2843,244,14.730395004182189,12.2214891414369,1.4123488065254552,0.8881079533821676,0.4754098360655737,13.857443999964744
lstm,20,fold_4,2012,2024,2025,3087,234,20.715955219895594,17.267539942210384,2.186774043836085,0.8343358123773688,0.5128205128205128,14.291281700017862
cnn,1,fold_1,2012,2021,2022,2359,241,11.39958372893424,9.616973233005307,0.9776676403952428,0.7376584900856245,0.4481327800829875,7.77294500003336
cnn,1,fold_2,2012,2022,2023,2600,243,11.110492705212971,8.874603294482457,0.9585844915370394,0.9376471370929124,0.48559670781893,6.660794400027953
cnn,1,fold_3,2012,2023,2024,2843,244,9.690826199736335,7.767461045364865,0.9051075617067604,0.951572500931744,0.5532786885245902,7.40296680002939
cnn,1,fold_4,2012,2024,2025,3087,234,12.299207924123756,9.752879359778197,1.2437653490273517,0.941605358693592,0.5128205128205128,7.292449600005057
cnn,3,fold_1,2012,2021,2022,2359,241,9.815549170801292,7.684489752108634,0.7830746319915223,0.8055006142034448,0.5435684647302904,7.767333400028292
cnn,3,fold_2,2012,2022,2023,2600,243,16.523489443646305,13.840074900285718,1.5089135324190106,0.8620907818736645,0.4979423868312757,6.984090199985076
cnn,3,fold_3,2012,2023,2024,2843,244,12.012078798284328,9.552318383738651,1.1172569124503011,0.9255942023448188,0.5204918032786885,7.32464320003055
cnn,3,fold_4,2012,2024,2025,3087,234,19.37676810816485,15.85440531508538,2.0496056882668627,0.8550622911572534,0.5085470085470085,7.541277199983597
cnn,5,fold_1,2012,2021,2022,2359,241,15.07680237400458,12.490568854917614,1.2644879843777803,0.5411111424437038,0.4439834024896265,6.971003499988001
cnn,5,fold_2,2012,2022,2023,2600,243,13.427163894008643,11.15663539380204,1.20510709549579,0.9089335637091704,0.5185185185185185,6.92581510002492
cnn,5,fold_3,2012,2023,2024,2843,244,10.742615543038694,8.400533116205805,0.9770652200605324,0.9404899248329844,0.5081967213114754,7.287180099985562
cnn,5,fold_4,2012,2024,2025,3087,234,14.43652323004939,10.892210165007503,1.394631341899381,0.9195466863721936,0.5042735042735043,8.010687900008634
cnn,10,fold_1,2012,2021,2022,2359,241,15.467102170020722,12.805680878231644,1.3052113239366687,0.5170446994612152,0.5352697095435685,6.76241129997652
cnn,10,fold_2,2012,2022,2023,2600,243,18.1687944333612,14.85920026565284,1.5810484928445574,0.8332591603806128,0.5390946502057613,6.986691800004337
cnn,10,fold_3,2012,2023,2024,2843,244,13.459713398142467,10.78151411211883,1.2586004335748622,0.9065795281025552,0.4918032786885246,7.4141347000258975
cnn,10,fold_4,2012,2024,2025,3087,234,15.48214667613814,11.887140971493514,1.503024670662075,0.907470319361222,0.5384615384615384,7.864080500032287
cnn,20,fold_1,2012,2021,2022,2359,241,25.22345280616436,21.26960661148136,2.164307712772818,-0.2843935054676647,0.5269709543568465,7.23410480003804
cnn,20,fold_2,2012,2022,2023,2600,243,21.166240761543182,17.060697597044484,1.8136788868781764,0.7737038187680564,0.551440329218107,7.564439100038726
cnn,20,fold_3,2012,2023,2024,2843,244,36.81981737901935,31.76232422136872,3.767566470401336,0.3009090305278701,0.5122950819672131,7.8948813999886625
cnn,20,fold_4,2012,2024,2025,3087,234,22.415200493646584,17.76590433713719,2.286572630116732,0.8060436674532097,0.4914529914529914,8.10038750001695
lstm_cnn,1,fold_1,2012,2021,2022,2359,241,9.745614600063792,7.768011825569435,0.7899995768659227,0.8082623086769235,0.5477178423236515,9.743335000006482
lstm_cnn,1,fold_2,2012,2022,2023,2600,243,15.360817447951282,12.652948387660132,1.3740393454102082,0.8808158736232538,0.51440329218107,8.438930900010746
lstm_cnn,1,fold_3,2012,2023,2024,2843,244,15.921389143447062,13.509253323312697,1.566263638579233,0.869282917407121,0.4877049180327868,9.141706799971873
lstm_cnn,1,fold_4,2012,2024,2025,3087,234,29.691097499687835,22.761083896353725,2.981828798739329,0.6596927431403656,0.5341880341880342,9.382995799998753
lstm_cnn,3,fold_1,2012,2021,2022,2359,241,13.067694020868364,10.405146728907376,1.0568352170887336,0.6552637587078541,0.4896265560165975,9.743092800024897
lstm_cnn,3,fold_2,2012,2022,2023,2600,243,17.64902492661649,14.71246293534959,1.5984751116063225,0.8426628806259888,0.5267489711934157,9.780602199956776
lstm_cnn,3,fold_3,2012,2023,2024,2843,244,19.81490031905801,16.89352646741714,1.9713925213409085,0.7975330149936685,0.4918032786885246,10.431912500003818
lstm_cnn,3,fold_4,2012,2024,2025,3087,234,23.762845963619423,17.58511958370862,2.293983737466464,0.7820205192720187,0.5512820512820513,11.040035400015768
lstm_cnn,5,fold_1,2012,2021,2022,2359,241,15.688075656311018,12.565207348404082,1.276472426591029,0.5031464715160134,0.4813278008298755,10.014299099973869
lstm_cnn,5,fold_2,2012,2022,2023,2600,243,21.569631118056854,17.72624044021953,1.9253170040555223,0.7649960308713231,0.5267489711934157,10.67044120002538
lstm_cnn,5,fold_3,2012,2023,2024,2843,244,22.01712210275681,19.204634278035584,2.2421762192697297,0.7500279028432146,0.4959016393442623,10.932798900001217
lstm_cnn,5,fold_4,2012,2024,2025,3087,234,33.980566075055215,24.888212603880827,3.285893215439127,0.5542617261971157,0.5470085470085471,11.949329899973236
lstm_cnn,10,fold_1,2012,2021,2022,2359,241,18.33488733189609,14.211117912624871,1.4443061613176806,0.3213505220217226,0.4605809128630705,12.11316710000392
lstm_cnn,10,fold_2,2012,2022,2023,2600,243,18.812137876192065,14.795644589687086,1.591295323773812,0.8212417609540539,0.5596707818930041,12.500202500028536
lstm_cnn,10,fold_3,2012,2023,2024,2843,244,21.38248909351731,17.670798117625935,2.076226056988314,0.7642308649402832,0.5163934426229508,12.905973299988544
lstm_cnn,10,fold_4,2012,2024,2025,3087,234,28.67549518081864,21.485332754585496,2.798302003796905,0.6825754149936311,0.5470085470085471,13.77131580002606
lstm_cnn,20,fold_1,2012,2021,2022,2359,241,23.439759169942867,18.243518006158567,1.8563446605865492,-0.1091628595125071,0.4854771784232365,14.468614100012928
lstm_cnn,20,fold_2,2012,2022,2023,2600,243,23.868406715977585,19.61462004428046,2.1077724855427773,0.7122358945783327,0.5390946502057613,15.414915599976666
lstm_cnn,20,fold_3,2012,2023,2024,2843,244,27.525891500297668,22.80945530983271,2.6813008085359384,0.6092911764279162,0.5,17.926162199990358
lstm_cnn,20,fold_4,2012,2024,2025,3087,234,45.367464028376354,32.44423206840828,4.311251809254879,0.2054747289712469,0.5427350427350427,19.725827100046445
lstm_attention,1,fold_1,2012,2021,2022,2359,241,9.416686223901966,7.404371888251716,0.7532070597053715,0.8209867294809235,0.5352697095435685,10.437992900027892
lstm_attention,1,fold_2,2012,2022,2023,2600,243,15.023766641952044,12.30323011588659,1.3354759317799516,0.8859888253736405,0.5432098765432098,9.577354400011243
lstm_attention,1,fold_3,2012,2023,2024,2843,244,20.3565061459664,17.165593035250446,2.0065975435847183,0.7863135848891578,0.4795081967213114,10.36530980002135
lstm_attention,1,fold_4,2012,2024,2025,3087,234,13.316635638509348,10.387173047696152,1.3002400185150216,0.9315445953382652,0.5256410256410257,14.770610000006856
lstm_attention,3,fold_1,2012,2021,2022,2359,241,11.535804501852272,9.165974385847202,0.9342624189470404,0.73135126304848,0.5809128630705395,14.264528800034896
lstm_attention,3,fold_2,2012,2022,2023,2600,243,17.70209136925333,14.41126474048867,1.5649473463761463,0.8417153072080228,0.5473251028806584,14.236037500028033
lstm_attention,3,fold_3,2012,2023,2024,2843,244,21.91115557765772,18.15850082156113,2.1240427832780124,0.752428301089813,0.4754098360655737,14.183782700041776
lstm_attention,3,fold_4,2012,2024,2025,3087,234,17.29134052052209,13.791016780441112,1.7444315302926818,0.8845813381039375,0.5299145299145299,15.565477299969643
lstm_attention,5,fold_1,2012,2021,2022,2359,241,15.935179358460962,12.609454844443125,1.2795974647691812,0.4873712723636997,0.5103734439834025,13.681822500017006
lstm_attention,5,fold_2,2012,2022,2023,2600,243,20.08379400868379,16.152079201333326,1.7552928891487445,0.7962576653825721,0.5349794238683128,14.86647410003934
lstm_attention,5,fold_3,2012,2023,2024,2843,244,23.346733040652115,19.348484331398744,2.263756371984422,0.7189247105055022,0.4836065573770491,16.210555500001647
lstm_attention,5,fold_4,2012,2024,2025,3087,234,15.927193184830667,12.655008200529284,1.6017125070915406,0.9020741830070684,0.5341880341880342,17.32267070002854
lstm_attention,10,fold_1,2012,2021,2022,2359,241,20.60250933166251,15.675492957182437,1.5928355804053582,0.1431017275175633,0.4730290456431535,16.040498899994418
lstm_attention,10,fold_2,2012,2022,2023,2600,243,20.92109270943708,16.650829608567953,1.8011851399387484,0.7789154012956825,0.5349794238683128,16.805509899975732
lstm_attention,10,fold_3,2012,2023,2024,2843,244,25.20085569498921,20.079814706610875,2.358437296822581,0.6725077651764466,0.5122950819672131,17.620574600005057
lstm_attention,10,fold_4,2012,2024,2025,3087,234,19.471642266588837,15.25711299296628,1.941709775692644,0.8536395041280005,0.5128205128205128,19.076929899980318
lstm_attention,20,fold_1,2012,2021,2022,2359,241,29.40882492527029,23.32721889723386,2.3682119142285822,-0.7460005338168416,0.4688796680497925,19.8951640999876
