model,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total,window_20_rmse,window_20_direction_accuracy,rmse_delta_vs_window_20,direction_accuracy_delta_vs_window_20_pp,direction_accuracy_rank,rmse_rank
lstm_cnn,1,17.679729672787495,8.479234524883601,14.172824358223997,6.259131328360614,1.6780328398986732,0.9297654502788527,0.804513460711916,0.1016599475960384,0.5210035216813856,0.026075827451358603,9.176742124996963,0.5505030857251006,36.70696849998785,30.05038035364862,0.5168267178410102,-12.370650680861125,0.41768038403754426,1,1
lstm_cnn,3,18.573616307540572,4.458659733945836,14.899063928845681,3.236401681366779,1.7301716468756072,0.53128696227629,0.7693700433998825,0.08030207905912659,0.5148652142951473,0.029643731432762766,10.248910725000314,0.6149613941616263,40.99564290000126,30.05038035364862,0.5168267178410102,-11.476764046108048,-0.1961503545862886,4,2
lstm_cnn,5,23.313848738044975,7.6736577309284915,18.596073667635004,5.069165507046887,2.182464716338852,0.8382654494498356,0.6431080328569168,0.13387985598776939,0.5127467395940251,0.029669518884778673,10.891717274993425,0.8039605959742635,43.5668690999737,30.05038035364862,0.5168267178410102,-6.736531615603646,-0.40799782469851387,5,4
lstm_cnn,10,21.801252370606026,4.77427372969977,17.040723343630848,3.326589471884569,1.977532386469178,0.6101673216197074,0.6473496407274226,0.22465972092623188,0.5209134210968931,0.0441343795221449,12.822664675011765,0.7104571174540456,51.29065870004706,30.05038035364862,0.5168267178410102,-8.249127983042595,0.40867032558828953,2,3
lstm_cnn,20,30.05038035364862,10.37470010427005,23.277956357170005,6.403272759489553,2.7391674409800357,1.1034541916874538,0.3544597351162472,0.3786314329559139,0.5168267178410102,0.028478261683978035,16.8838797500066,2.3912605657585124,67.5355190000264,30.05038035364862,0.5168267178410102,0.0,0.0,3,5
lstm_attention,1,14.52839866258244,4.539096824814832,11.815092021771225,4.097134957785611,1.3488801383962659,0.5131484956559826,0.8562084337704967,0.06503400986409305,0.5209072021122788,0.028518868835963232,11.287816775016836,2.3543399585844793,45.151267100067344,29.25581615034304,0.5133516431760504,-14.7274174877606,0.755555893622839,2,1
lstm_attention,3,17.110097992321354,4.2624799850150525,13.881689182084529,3.6886201392703764,1.59192101972347,0.49653984107069643,0.8025190523625633,0.07267393557053645,0.5333905829828254,0.04406959612376105,14.562456575018587,0.6695159569658563,58.249826300074346,29.25581615034304,0.5133516431760504,-12.145718158021687,2.003893980677496,1,2
lstm_attention,5,18.823224898156884,3.595319509287222,15.191256644426119,3.2302723688443575,1.725089808248472,0.4101866565042484,0.7261569578147107,0.1760036820621889,0.5157868648541997,0.024302501031862263,15.520380700021633,1.584558886562966,62.08152280008653,29.25581615034304,0.5133516431760504,-10.432591252186157,0.24352216781492464,3,3
lstm_attention,10,21.54902500066941,2.5127393629184978,16.915812566331887,2.1886679753615166,1.9235419482148328,0.3234202242888574,0.6120410995294232,0.3213394746846917,0.508281016074798,0.025769660156311384,17.38587832498888,1.2989240517620937,69.54351329995552,29.25581615034304,0.5133516431760504,-7.706791149673631,-0.507062710125239,5,4
lstm_attention,20,29.25581615034304,2.549525991041629,22.827704105925122,1.244428381340957,2.61220660989362,0.34523841843628555,0.260512383084777,0.6778207741068635,0.5133516431760504,0.032748404305791144,22.26350134999666,1.936555537243489,89.05400539998664,29.25581615034304,0.5133516431760504,0.0,0.0,4,5
lstm_cnn_attention,1,13.93145066397906,5.365840292915208,11.091273227275675,4.26083026896283,1.2883468624617014,0.6285862804701592,0.8715240523081048,0.05828011420975412,0.5284256140211706,0.028693302207886233,14.805058374986402,0.8311635020636617,59.22023349994561,40.927154611511995,0.5084267497226933,-26.995703947532935,1.9998864298477304,1,1
lstm_cnn_attention,3,18.841143141809418,7.49807145299413,14.968053873995991,5.512025569111626,1.7520638820692764,0.8350100633002265,0.7592870683353687,0.11740733331131332,0.5168575395648005,0.04523247033222174,16.27588819999073,1.3050815318926923,65.10355279996293,40.927154611511995,0.5084267497226933,-22.086011469702576,0.8430789842107211,3,2
lstm_cnn_attention,5,28.480612224041593,15.08403885410172,22.28024803460093,10.394555532115204,2.6510283323797577,1.5663284628229537,0.4631965260542289,0.34731263443260246,0.5199881651148194,0.025858761543103518,17.1575203500106,0.3615670344449952,68.6300814000424,40.927154611511995,0.5084267497226933,-12.446542387470402,1.1561415392126073,2,3
lstm_cnn_attention,10,33.363778415695414,15.870673323108702,25.76275439324764,10.968191133390022,3.058565456785594,1.6671539933477943,0.27519576217830466,0.3995357388028918,0.5054359147268548,0.039632033893512233,20.560302774989395,1.8510512097017002,82.24121109995758,40.927154611511995,0.5084267497226933,-7.563376195816581,-0.29908349958385205,5,4
lstm_cnn_attention,20,40.927154611511995,16.668703056740977,32.48107303226042,12.579906429510713,3.852099402919784,1.9476426398381441,-0.16446188570966003,0.6491063556705681,0.5084267497226933,0.027354139321866294,26.05263087498315,4.379553894108161,104.2105234999326,40.927154611511995,0.5084267497226933,0.0,0.0,4,5
