inner_fold,validation_year,seed,variant,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,456,simple_average_shap,243,0.5,0.48559670781893,0.0,0.8459499584485328,0.3151325538983783
inner_2020,2020,456,leader_no_disagreement_shap,243,0.4990508474576271,0.48559670781893,-0.0053172012301346,3.690286488397239,0.4445214383046568
inner_2020,2020,456,pit_tldn_all_features,243,0.5,0.48559670781893,0.0,2.9125280852317847,0.4799981153403017
inner_2020,2020,456,pit_tldn,243,0.5110508474576271,0.4979423868312757,0.0531350697348375,1.8225968960303411,0.4177456163253814
inner_2020,2020,789,cnn_trend_shap,243,0.5,0.48559670781893,0.0,4.266092369915162,0.4851058103958045
inner_2020,2020,789,lstm_price_shap,243,0.5126779661016949,0.5020576131687243,0.0374765302623878,0.8481975771789412,0.3145544913804919
inner_2020,2020,789,simple_average_shap,243,0.5,0.48559670781893,0.0,1.0559614414769083,0.3721756951802019
inner_2020,2020,789,leader_no_disagreement_shap,243,0.5044406779661017,0.4938271604938271,0.0131268060544727,0.8628287977869595,0.3169870182690864
inner_2020,2020,789,pit_tldn_all_features,243,0.5,0.48559670781893,0.0,1.2278348118553974,0.3999469313023674
inner_2020,2020,789,pit_tldn,243,0.5,0.48559670781893,0.0,1.9501743746534428,0.4549670133368065
inner_2021,2021,123,cnn_trend_shap,240,0.5065152254198313,0.4916666666666666,0.0151055043768603,0.690112449051908,0.2484955354335934
inner_2021,2021,123,lstm_price_shap,240,0.5213225559194481,0.5125,0.0446281000173348,0.6984089393729591,0.2525563130535176
inner_2021,2021,123,simple_average_shap,240,0.51686293638074,0.5041666666666667,0.0373581704791917,0.6908635150888732,0.2488693162894795
inner_2021,2021,123,leader_no_disagreement_shap,240,0.5681485610758832,0.5708333333333333,0.1367505006199724,0.6865427241300411,0.2467054645590443
inner_2021,2021,123,pit_tldn_all_features,240,0.4892341997073375,0.4666666666666667,-0.0340130606438201,0.730511707698945,0.2675005009991432
inner_2021,2021,123,pit_tldn,240,0.5163751654936939,0.5041666666666667,0.035965267516996,0.6934183410918926,0.2501077313301008
inner_2021,2021,2025,cnn_trend_shap,240,0.5212528743641558,0.5041666666666667,0.052242860730358,0.6984996875207695,0.2526528202530671
inner_2021,2021,2025,lstm_price_shap,240,0.5243188627970177,0.5208333333333334,0.0488887584804678,0.6947754354225032,0.2507609172438231
inner_2021,2021,2025,simple_average_shap,240,0.5114626158455857,0.5,0.0248733997764273,0.6949000957510978,0.2508705030388196
inner_2021,2021,2025,leader_no_disagreement_shap,240,0.5342484844261725,0.5416666666666666,0.0707829988955531,0.6963350686299586,0.2515644777485992
inner_2021,2021,2025,pit_tldn_all_features,240,0.5070029963068776,0.4916666666666666,0.0164282764530952,0.7170102775885904,0.2616310551429743
inner_2021,2021,2025,pit_tldn,240,0.5256776531252177,0.5083333333333333,0.0635933468442743,0.7001097375167492,0.2534488690839352
inner_2021,2021,42,cnn_trend_shap,240,0.5099644624068009,0.4958333333333333,0.0227257960589755,0.7088736917046733,0.2573421060393709
inner_2021,2021,42,lstm_price_shap,240,0.5110445265138318,0.5083333333333333,0.0221446735891723,0.6963374462259663,0.2516208507464836
inner_2021,2021,42,simple_average_shap,240,0.509546373075047,0.5041666666666667,0.0193888598122192,0.6983898090789803,0.2525103973309214
inner_2021,2021,42,leader_no_disagreement_shap,240,0.4731726012124591,0.4708333333333333,-0.0537503905549727,0.7103319085570107,0.2582945870875805
inner_2021,2021,42,pit_tldn_all_features,240,0.4962720367918611,0.4916666666666666,-0.0075383206810874,0.7100579914276423,0.2580887708670324
inner_2021,2021,42,pit_tldn,240,0.4864120967179987,0.4791666666666667,-0.0280192586678057,0.7011303436809591,0.2539165173527326
inner_2021,2021,456,cnn_trend_shap,240,0.4382621420110096,0.4375,-0.1233339946775262,0.7061783718852495,0.2564811130402804
inner_2021,2021,456,lstm_price_shap,240,0.5439342206118041,0.5333333333333333,0.0939582327455919,0.6887073949024829,0.2477780869515671
inner_2021,2021,456,simple_average_shap,240,0.5178733189324786,0.5083333333333333,0.0377342055879078,0.6952333748204762,0.2510355218689914
inner_2021,2021,456,leader_no_disagreement_shap,240,0.5156086683854784,0.5291666666666667,0.0352363253131217,0.6953713158557353,0.2510902779086548
inner_2021,2021,456,pit_tldn_all_features,240,0.5000696815552923,0.4791666666666667,0.0001994875721168,0.7017655244313479,0.2543164563301824
inner_2021,2021,456,pit_tldn,240,0.5499616751445893,0.5541666666666667,0.100894720139618,0.6906175966528068,0.2487397967792198
inner_2021,2021,789,cnn_trend_shap,240,0.5083966274127238,0.4833333333333333,0.032673756498734,0.7312834555764807,0.2680795373296218
inner_2021,2021,789,lstm_price_shap,240,0.5080830604139084,0.5041666666666667,0.0162839881938361,0.6979131117952992,0.2523428042062569
inner_2021,2021,789,simple_average_shap,240,0.510870322625601,0.4875,0.0361727073978297,0.7070758827027405,0.2568051830682429
inner_2021,2021,789,leader_no_disagreement_shap,240,0.4867953452721064,0.4666666666666667,-0.0365047389218477,0.7086517126589733,0.2576708983290048
inner_2021,2021,789,pit_tldn_all_features,240,0.4990941397811999,0.4791666666666667,-0.0024772211696783,0.7197255604229847,0.262767270234894
inner_2021,2021,789,pit_tldn,240,0.5272454881192948,0.5208333333333334,0.055721822967636,0.7002496997695776,0.253473183616509
