worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
lstm_price,3.907482099995832,0.0537946999975247,9050,103,34,122,0.6819194555282593,worker_fit,crossfit_1,all_features,
cnn_trend,2.7812777000071947,0.2942945000104373,2633,137,34,30,0.6344146728515625,worker_fit,crossfit_2,shap,
lstm_price,3.5921036999934586,0.0520389999874169,3162,137,34,30,0.7062848806381226,worker_fit,crossfit_2,shap,
cnn_trend,3.117361999989953,0.2874165999965044,9993,137,34,122,0.6225913763046265,worker_fit,crossfit_2,all_features,
lstm_price,3.4401053999899887,0.0454240000108256,9050,137,34,122,0.6271763443946838,worker_fit,crossfit_2,all_features,
cnn_trend,2.803834100006497,0.2803471999941394,2633,171,34,30,0.6387070417404175,worker_fit,crossfit_3,shap,
lstm_price,3.407397700008005,0.0535177999990992,3162,171,34,30,0.7241066098213196,worker_fit,crossfit_3,shap,
cnn_trend,3.287765600005514,0.4019687999971211,9993,171,34,122,0.6252626776695251,worker_fit,crossfit_3,all_features,
lstm_price,3.43955530000676,0.0515031999966595,9050,171,34,122,0.6367990374565125,worker_fit,crossfit_3,all_features,
cnn_trend,2.949243099996238,0.3067006999917794,2633,225,243,30,0.6463321447372437,worker_fit,final_train,shap,
lstm_price,3.751840700002504,0.047683800003142,3162,225,243,30,0.7507310509681702,worker_fit,final_train,shap,
cnn_trend,3.5962056999997003,0.4153285999927902,9993,225,243,122,0.6378263235092163,worker_fit,final_train,all_features,
lstm_price,4.074000199994771,0.0932561000081477,9050,225,243,122,0.6486070156097412,worker_fit,final_train,all_features,
debate_leader,3.191896499993163,0.0173386999958893,50,102,243,9,0.6930437088012695,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,2.9847893999976804,0.0165560000023106,50,102,243,9,0.7535672783851624,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.071196200005943,0.0155397000053199,50,102,243,9,0.6814214587211609,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,2.763344599996344,0.3415203000040492,2633,103,34,30,0.6471527814865112,worker_fit,crossfit_1,shap,
lstm_price,3.4582571999926586,0.0542196000023977,3162,103,34,30,0.7306259870529175,worker_fit,crossfit_1,shap,
cnn_trend,3.2553046999964863,0.267343500003335,9993,103,34,122,0.6204479336738586,worker_fit,crossfit_1,all_features,
lstm_price,3.520390600009705,0.0493529999948805,9050,103,34,122,0.670713484287262,worker_fit,crossfit_1,all_features,
cnn_trend,3.055373499999405,0.2837687999999616,2633,137,34,30,0.6336148381233215,worker_fit,crossfit_2,shap,
lstm_price,3.517809099997976,0.0501725000067381,3162,137,34,30,0.7444648742675781,worker_fit,crossfit_2,shap,
cnn_trend,2.7928670999972383,0.2834092999983113,9993,137,34,122,0.6510915756225586,worker_fit,crossfit_2,all_features,
lstm_price,3.393048700003419,0.0461410999996587,9050,137,34,122,0.6312136650085449,worker_fit,crossfit_2,all_features,
cnn_trend,2.7162915999942925,0.2784599000005983,2633,171,34,30,0.6513240933418274,worker_fit,crossfit_3,shap,
lstm_price,3.5910384000017075,0.0521503000054508,3162,171,34,30,0.7268783450126648,worker_fit,crossfit_3,shap,
cnn_trend,2.927182300001732,0.2893131000018911,9993,171,34,122,0.6207776665687561,worker_fit,crossfit_3,all_features,
lstm_price,3.752976600007969,0.0513750999962212,9050,171,34,122,0.6589365005493164,worker_fit,crossfit_3,all_features,
cnn_trend,3.006955000004382,0.3141685000009602,2633,225,243,30,0.653893232345581,worker_fit,final_train,shap,
lstm_price,3.896187500009546,0.0558582999947248,3162,225,243,30,0.748313844203949,worker_fit,final_train,shap,
cnn_trend,3.353155299992068,0.3159235000057379,9993,225,243,122,0.6482695937156677,worker_fit,final_train,all_features,
lstm_price,3.807996000003186,0.0603654000005917,9050,225,243,122,0.6262615323066711,worker_fit,final_train,all_features,
debate_leader,2.8364713999908417,0.0180667999957222,50,102,243,9,0.668163537979126,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,2.8477989999955757,0.0161498000088613,50,102,243,9,0.7416470646858215,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,2.987091999995755,0.0161377000040374,50,102,243,9,0.68148273229599,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,3.3852058999909787,0.3029685999936191,2633,237,71,30,0.658258318901062,worker_fit,crossfit_1,shap,
lstm_price,3.679090999998152,0.0568598000099882,3162,237,71,30,0.7298917770385742,worker_fit,crossfit_1,shap,
cnn_trend,3.2905457000015303,0.257751900004223,9993,237,71,122,0.6527515649795532,worker_fit,crossfit_1,all_features,
lstm_price,3.605115799990017,0.0479170999897178,9050,237,71,122,0.7105929255485535,worker_fit,crossfit_1,all_features,
cnn_trend,3.16545309999492,0.3079162999929394,2633,308,70,30,0.6615790128707886,worker_fit,crossfit_2,shap,
lstm_price,3.8217342999996617,0.051456799992593,3162,308,70,30,0.6865553259849548,worker_fit,crossfit_2,shap,
cnn_trend,3.3738079000031576,0.2860580999986268,9993,308,70,122,0.6537043452262878,worker_fit,crossfit_2,all_features,
lstm_price,3.867785599999479,0.0669479999924078,9050,308,70,122,0.6027202606201172,worker_fit,crossfit_2,all_features,
cnn_trend,3.0642324999935227,0.2751964000053704,2633,378,70,30,0.6579864025115967,worker_fit,crossfit_3,shap,
lstm_price,3.985398300006637,0.0491095000033965,3162,378,70,30,0.6830790042877197,worker_fit,crossfit_3,shap,
cnn_trend,3.7126133999991,0.3409912000061013,9993,378,70,122,0.6539684534072876,worker_fit,crossfit_3,all_features,
lstm_price,4.006312999990769,0.0518302000127732,9050,378,70,122,0.6536100506782532,worker_fit,crossfit_3,all_features,
cnn_trend,3.466378600001917,0.2701022999972338,2633,468,240,30,0.6657369136810303,worker_fit,final_train,shap,
lstm_price,4.04008399999293,0.0545411999919451,3162,468,240,30,0.6930844783782959,worker_fit,final_train,shap,
cnn_trend,3.965852699999232,0.382635299989488,9993,468,240,122,0.6696781516075134,worker_fit,final_train,all_features,
lstm_price,4.538720199998352,0.0666646999889053,9050,468,240,122,0.6451746225357056,worker_fit,final_train,all_features,
debate_leader,3.0720014999969862,0.0204361000069184,50,211,240,9,0.7093247771263123,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,3.144497900007991,0.0166444999922532,50,211,240,9,0.9789828062057496,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.2834987999958685,0.0171206999948481,50,211,240,9,0.7303590178489685,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,3.050503700011177,0.2857048000005306,2633,237,71,30,0.6446967720985413,worker_fit,crossfit_1,shap,
lstm_price,3.7594416000065394,0.0532644000049913,3162,237,71,30,0.7345185875892639,worker_fit,crossfit_1,shap,
cnn_trend,3.254189200000837,0.2926627999986522,9993,237,71,122,0.6357278227806091,worker_fit,crossfit_1,all_features,
lstm_price,3.61683389999962,0.0542898999992758,9050,237,71,122,0.6668872833251953,worker_fit,crossfit_1,all_features,
cnn_trend,3.104189799996675,0.3060238999896683,2633,308,70,30,0.6586235165596008,worker_fit,crossfit_2,shap,
lstm_price,3.7453798000060488,0.0455439999932423,3162,308,70,30,0.6980759501457214,worker_fit,crossfit_2,shap,
cnn_trend,3.698057899993728,0.3069919999979902,9993,308,70,122,0.6491492390632629,worker_fit,crossfit_2,all_features,
lstm_price,3.8547993000102,0.0448869000101694,9050,308,70,122,0.6677940487861633,worker_fit,crossfit_2,all_features,
cnn_trend,3.166869199994835,0.2564006000029621,2633,378,70,30,0.6555947065353394,worker_fit,crossfit_3,shap,
lstm_price,4.028887899999972,0.0645930999889969,3162,378,70,30,0.6950955390930176,worker_fit,crossfit_3,shap,
cnn_trend,4.11425239998789,0.288326700014295,9993,378,70,122,0.6535905003547668,worker_fit,crossfit_3,all_features,
lstm_price,4.395662299997639,0.0536107999942032,9050,378,70,122,0.6151770949363708,worker_fit,crossfit_3,all_features,
cnn_trend,3.812971999999718,0.3354952999943634,2633,468,240,30,0.6737337112426758,worker_fit,final_train,shap,
lstm_price,4.291032900000573,0.050940700006322,3162,468,240,30,0.720212996006012,worker_fit,final_train,shap,
cnn_trend,4.573923300005845,0.3045350999891525,9993,468,240,122,0.6558031439781189,worker_fit,final_train,all_features,
lstm_price,4.2847441000049,0.0704630000109318,9050,468,240,122,0.6420902609825134,worker_fit,final_train,all_features,
debate_leader,3.195585099994787,0.0179117000079713,50,211,240,9,0.7125183939933777,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,3.0751444999914384,0.0181442000030074,50,211,240,9,0.7097775340080261,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
