model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,balanced_accuracy_technical,mcc_technical,direction_coverage_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,balanced_accuracy_news,mcc_news,direction_coverage_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,mcc_delta_news_minus_technical,direction_coverage_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp,balanced_accuracy_delta_pp
cnn,2025,fold_1,2022,20,28.07476638292769,22.428613392876382,2.2826945592768455,-0.5911873973662161,0.5,0.49314875974984185,-0.013729520448667598,1.0,3.2647626000034506,25.546333150536046,20.324643798111875,2.0670301783609184,-0.31748649244811755,0.5,0.49040826364977863,-0.01936947208074939,1.0,3.1764813999980106,-2.528433232391645,-2.103969594764507,-0.2156643809159271,0.2737009049180985,-0.00563995163208179,0.0,-0.08828120000544004,0.0,-0.27404961000632166
cnn,2025,fold_2,2023,20,20.93094089882357,17.314398660870744,1.855801762122446,0.778707209927754,0.5495867768595041,0.5463952850877193,0.09326151814218503,1.0,3.562401100003626,19.62243378169277,16.00548761159305,1.7167795673726467,0.805510792819351,0.5537190082644629,0.5527001096491229,0.105313648261628,1.0,3.549378200004867,-1.3085071171308016,-1.3089110492776932,-0.13902219474979938,0.02680358289159701,0.012052130119442978,0.0,-0.013022899998759385,0.4132231404958775,0.6304824561403577
cnn,2025,fold_3,2024,20,31.982676834884586,26.95793077181595,3.1929272997138316,0.47252722177151163,0.5122950819672131,0.5274581061982637,0.08127415217550073,1.0,3.8512341999958153,28.34810958336652,22.792192911657136,2.6936699890595146,0.5856010582189983,0.5040983606557377,0.5165556228548355,0.04161229388863484,1.0,3.9011780000000726,-3.6345672515180674,-4.1657378601588135,-0.499257310654317,0.1130738364474867,-0.039661858286865886,0.0,0.049943800004257355,-0.8196721311475419,-1.0902483343428249
cnn,2025,fold_4,2025,20,21.097961277670166,16.70083385456577,2.1324297355461046,0.8281697231414048,0.5384615384615384,0.5385964912280702,0.0771704213033989,1.0,4.255477400001837,21.5317826194578,17.667999941827656,2.229253886065227,0.8210306415596534,0.5384615384615384,0.5368421052631579,0.07427290864904523,1.0,4.16530849999981,0.43382134178763465,0.9671660872618872,0.0968241505191223,-0.007139081581751361,-0.0028975126543536733,0.0,-0.09016890000202693,0.0,-0.17543859649122862
lstm,42,fold_1,2022,5,23.541394887221646,18.814365346812636,1.9194248704471333,-0.11880246067586087,0.5041666666666667,0.5371021010470101,0.09220935323096642,1.0,4.4596882999976515,14.977331986878418,11.789874104607662,1.1981530788933643,0.5471462784272656,0.525,0.5367156208277704,0.07463675983519243,1.0,4.337326499997289,-8.564062900343227,-7.024491242204974,-0.721271791553769,0.6659487391031265,-0.017572593395773994,0.0,-0.12236180000036256,2.083333333333337,-0.03864802192397043
lstm,42,fold_2,2023,5,17.680745760523113,13.315041063994554,1.4223416064055086,0.8420968040606926,0.5206611570247934,0.5032209429824561,0.008063971040457649,1.0,4.563891400001012,15.556514906952653,12.105045829300035,1.2933856694072037,0.8777597074615637,0.5826446280991735,0.5771655701754386,0.15719586123433882,1.0,4.5804234000024735,-2.1242308535704595,-1.209995234694519,-0.12895593699830488,0.03566290340087108,0.14913189019388118,0.0,0.01653200000146171,6.198347107438007,7.394462719298245
lstm,42,fold_3,2024,5,13.89579982499326,10.915611608568273,1.2777941056536786,0.9004279312156688,0.48360655737704916,0.4783632815128878,-0.044704348494179376,1.0,4.868809500003408,14.76807017007931,11.92197235174842,1.3830196281738492,0.8875348604860019,0.5081967213114754,0.5198196379298742,0.04802483539707046,1.0,4.850041300000157,0.8722703450860507,1.0063607431801476,0.10522552252017059,-0.012893070729666833,0.09272918389124984,0.0,-0.018768200003250968,2.4590163934426257,4.145635641698636
lstm,42,fold_4,2025,5,14.653188793990914,11.717330768692952,1.4906572523491555,0.9171136532484068,0.5042735042735043,0.4975877192982456,-0.005651931272574853,1.0,5.243459500001336,15.914560121077855,12.752104277819809,1.6138247916129433,0.9022294661702309,0.5341880341880342,0.5289473684210526,0.0634622718962488,1.0,5.286877400001686,1.261371327086941,1.0347735091268575,0.12316753926378787,-0.014884187078175848,0.06911420316882365,0.0,0.04341790000034962,2.991452991452992,3.135964912280703
lstm,123,fold_1,2022,5,29.58738840698859,25.979943547199415,2.646928049357135,-0.7672675132487781,0.44583333333333336,0.5,0.0,1.0,4.772893000001204,16.496533176495983,13.370029531118751,1.3641934919581413,0.45061803571159886,0.5375,0.5096268709156068,0.022355436944611756,1.0,4.235132800000429,-13.090855230492608,-12.609914016080664,-1.282734557398994,1.217885548960377,0.022355436944611756,0.0,-0.5377602000007755,9.166666666666663,0.9626870915606767
lstm,123,fold_2,2023,5,10.940817913207265,8.844751292108986,0.9491162282314219,0.9395370487071271,0.5413223140495868,0.5457785087719298,0.09243214578410554,1.0,4.506162999998196,14.076513055933598,11.214667282972817,1.2071316781376689,0.8999124781003042,0.5743801652892562,0.5621573464912281,0.1374460537766235,1.0,4.501144800000475,3.135695142726332,2.3699159908638308,0.2580154499062469,-0.039624570606822895,0.04501390799251796,0.0,-0.00501819999772124,3.3057851239669422,1.6378837719298267
