stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd_news,20,42,fold_4,2019,2024,2025,1455,234,50.04950546064483,40.09908538975522,5.243016553695531,0.033018224348245195,0.5427350427350427,0.5484649122807017,0.10816840970588222,1.0,234,0,0,39,81,26,88,0.7222222222222222,4.171923100002459,2019
track_b_fusion,cnn,technical_vmd_news,20,123,fold_1,2019,2021,2022,727,241,28.16932575352532,23.732832993541,2.420925339006743,-0.6019240897925693,0.5083333333333333,0.4878785749420279,-0.025997332093113952,1.0,240,1,0,32,75,43,90,0.6875,3.7486063000033027,2019
track_b_fusion,cnn,technical_vmd_news,20,123,fold_2,2019,2022,2023,968,243,22.42124336803109,17.352392445998927,1.859274516702996,0.7460728449296969,0.5413223140495868,0.5285087719298246,0.06360767040899656,1.0,242,1,0,96,32,79,35,0.2768595041322314,3.5168802000043797,2019
track_b_fusion,cnn,technical_vmd_news,20,123,fold_3,2019,2023,2024,1211,244,24.994685667506225,21.072050990095875,2.476502023014518,0.6778443215704928,0.5122950819672131,0.5207281782084932,0.0454104127271385,1.0,244,0,0,40,87,32,85,0.7049180327868853,3.8842440000007628,2019
track_b_fusion,cnn,technical_vmd_news,20,123,fold_4,2019,2024,2025,1455,234,25.52075905979481,20.570788085874593,2.6142332543838753,0.7485764913052053,0.49572649572649574,0.49473684210526314,-0.010554126447688392,1.0,234,0,0,64,56,62,52,0.46153846153846156,4.192845800003852,2019
track_b_fusion,cnn,technical_vmd_news,20,456,fold_1,2019,2021,2022,727,241,24.72594894637662,20.229395558784603,2.057831233362007,-0.234226777747776,0.44166666666666665,0.44143067950249454,-0.11645327982627288,1.0,240,1,0,47,60,74,59,0.49583333333333335,3.352039400000649,2019
track_b_fusion,cnn,technical_vmd_news,20,456,fold_2,2019,2022,2023,968,243,18.64420829870913,14.757505264463743,1.5833049000730108,0.8244189449557346,0.5785123966942148,0.5761376096491229,0.1526522942939816,1.0,242,1,0,79,49,53,61,0.45454545454545453,3.4845045000038226,2019
track_b_fusion,cnn,technical_vmd_news,20,456,fold_3,2019,2023,2024,1211,244,28.022838949392426,22.69946655322292,2.6784785652636383,0.5950562562810752,0.5122950819672131,0.5284675953967293,0.09218508296953769,1.0,244,0,0,17,110,9,108,0.8934426229508197,3.8810817999983556,2019
track_b_fusion,cnn,technical_vmd_news,20,456,fold_4,2019,2024,2025,1455,234,22.62223523930292,18.17685140806513,2.3217002919238805,0.8024442219665906,0.5085470085470085,0.5094298245614035,0.0188976761324291,1.0,234,0,0,57,63,52,62,0.5341880341880342,4.219768700000714,2019
track_b_fusion,cnn,technical_vmd_news,20,789,fold_1,2019,2021,2022,727,241,25.553426688064295,20.406515771036805,2.0818279062744516,-0.3182182559728415,0.4875,0.469081582460825,-0.06520185895844204,1.0,240,1,0,32,75,48,85,0.6666666666666666,3.405741399998078,2019
track_b_fusion,cnn,technical_vmd_news,20,789,fold_2,2019,2022,2023,968,243,23.660176732597684,18.995588276665895,2.033884849394608,0.7172349493691763,0.5619834710743802,0.5571546052631579,0.11587625841664233,1.0,242,1,0,82,46,60,54,0.4132231404958678,3.6278548999980558,2019
track_b_fusion,cnn,technical_vmd_news,20,789,fold_3,2019,2023,2024,1211,244,32.73443693287939,27.099617376718342,3.2182250431967283,0.4474390599155996,0.5081967213114754,0.524194091123225,0.07705881922672725,1.0,244,0,0,17,110,10,107,0.889344262295082,3.8346999999994296,2019
track_b_fusion,cnn,technical_vmd_news,20,789,fold_4,2019,2024,2025,1455,234,50.033919280575795,40.510324036749,5.301881119161297,0.0336203963451267,0.5042735042735043,0.5138157894736842,0.041311697456643266,1.0,234,0,0,17,103,13,101,0.8717948717948718,4.118757500000356,2019
