model,objective,threshold,threshold_role,strategy,cost_bps,rows,coverage,round_trip_units,position_change_units,gross_cumulative_return,net_cumulative_return,net_mean_daily_return,net_annualized_sharpe,maximum_drawdown,active_win_rate,trade_entries,break_even_cost_bps,deflated_sharpe_probability
cnn,multitask,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,multitask,0.65,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.5,validation_selected_primary,long_flat,5.0,137,0.34306569343065696,47.0,2.0,0.1376426772702093,0.11128369358580814,0.000785980819148436,2.2239107502757816,-0.03126310019803269,0.574468085106383,47,27.91050472836931,0.5962153136757458
lstm_cnn,direct,0.5,validation_selected_primary,long_flat,10.0,137,0.34306569343065696,47.0,2.0,0.1376426772702093,0.08552274296909901,0.0006144479724331074,1.7515033222690746,-0.03539244072649461,0.5106382978723404,47,27.91050472836931,0.44109570074347026
lstm_cnn,direct,0.5,validation_selected_primary,long_flat,20.0,137,0.34306569343065696,47.0,2.0,0.1376426772702093,0.03574211036556951,0.0002713822790024506,0.7810001477019244,-0.04502996329366049,0.46808510638297873,47,27.91050472836931,0.18941330507537374
lstm_cnn,direct,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,3.0,0.127064945860476,0.05248866547193143,0.0004031607987889585,0.8263002867347317,-0.07491465767828764,0.5620437956204379,137,9.03160798788959,0.20450741328262773
lstm_cnn,direct,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,3.0,0.127064945860476,-0.01718664956389082,-9.683920121104176e-05,-0.19847728243472684,-0.1106177832829528,0.5109489051094891,137,9.03160798788959,0.059279278853081076
lstm_cnn,direct,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,3.0,0.127064945860476,-0.14309311644428258,-0.0010968392012110414,-2.2480324207736424,-0.18127109473808978,0.40145985401459855,137,9.03160798788959,0.0016951684133065348
lstm_cnn,direct,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,direct,0.65,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.5,validation_selected_primary,long_flat,5.0,137,1.0,137.0,1.0,0.1439806594586832,0.06829305637074734,0.0005118665329385699,1.050937144234305,-0.07882235450644781,0.45255474452554745,137,10.118665329385705,0.2531384338990459
lstm_cnn,multitask,0.5,validation_selected_primary,long_flat,10.0,137,1.0,137.0,1.0,0.1439806594586832,-0.002421071725000168,1.1866532938569772e-05,0.024363734364167732,-0.10929484716472881,0.41605839416058393,137,10.118665329385705,0.0801910862485628
lstm_cnn,multitask,0.5,validation_selected_primary,long_flat,20.0,137,1.0,137.0,1.0,0.1439806594586832,-0.13020612639032392,-0.0009881334670614299,-2.0287830853761055,-0.1775706007603638,0.3795620437956204,137,10.118665329385705,0.0028659005734180194
lstm_cnn,multitask,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,1.0,0.1439806594586832,0.06829305637074734,0.0005118665329385699,1.050937144234305,-0.07882235450644781,0.45255474452554745,137,10.118665329385705,0.2531384338990459
lstm_cnn,multitask,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,1.0,0.1439806594586832,-0.002421071725000168,1.1866532938569772e-05,0.024363734364167732,-0.10929484716472881,0.41605839416058393,137,10.118665329385705,0.0801910862485628
lstm_cnn,multitask,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,1.0,0.1439806594586832,-0.13020612639032392,-0.0009881334670614299,-2.0287830853761055,-0.1775706007603638,0.3795620437956204,137,10.118665329385705,0.0028659005734180194
lstm_cnn,multitask,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
