stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,lstm_cnn,full_ta,5,42,fold_3,2012,2019,2020,1874,243,49.80746750094415,34.92046403380314,4.151304628218944,0.6901362966960594,0.4710743801652892,0.476079825041006,-0.0523064787963015,1.0,242,1,0,34,90,38,80,0.7024793388429752,7.351325399999041
window_selection,lstm_cnn,full_ta,5,42,fold_4,2012,2020,2021,2117,240,28.556727482300023,21.62805454011757,2.259523928583904,-0.7780881250004383,0.4541666666666666,0.4686433001184586,-0.0722918850696505,1.0,240,0,0,81,32,99,28,0.25,8.255146500006958
window_selection,lstm_cnn,full_ta,10,42,fold_1,2012,2017,2018,1385,245,38.18449925152557,33.42840727746718,2.909786977322671,0.2120523054256649,0.5265306122448979,0.5247567639610823,0.1002025122558419,1.0,245,0,0,118,5,111,11,0.0653061224489796,7.205805900004634
window_selection,lstm_cnn,full_ta,10,42,fold_2,2012,2018,2019,1630,244,34.35952566339765,30.939565158178432,2.840898031879563,-0.931226094378236,0.4754098360655737,0.4953899993270071,-0.0417981083241149,1.0,244,0,0,1,126,2,115,0.9877049180327868,8.488885899998422
window_selection,lstm_cnn,full_ta,10,42,fold_3,2012,2019,2020,1874,243,64.91341152906726,49.01391998990552,5.819727958154037,0.4736790531274588,0.4793388429752066,0.4872197922361946,-0.0331253764594343,1.0,242,1,0,21,103,23,95,0.8181818181818182,9.213652400001592
window_selection,lstm_cnn,full_ta,10,42,fold_4,2012,2020,2021,2117,240,29.079209276206477,22.181875549515084,2.313351184194216,-0.8437481321080096,0.4833333333333333,0.4874224792697372,-0.0253680581045731,1.0,240,0,0,63,50,74,53,0.4291666666666666,10.220373399999517
window_selection,lstm_cnn,full_ta,20,42,fold_1,2012,2017,2018,1385,245,32.73653588219213,28.66676342466404,2.5013713830405093,0.4208532381828233,0.5346938775510204,0.5334199653471945,0.0855781724839252,1.0,245,0,0,104,19,95,27,0.1877551020408163,8.404558399997768
window_selection,lstm_cnn,full_ta,20,42,fold_2,2012,2018,2019,1630,244,39.8881578043971,34.875296057807,3.20375059014154,-1.6027158693029446,0.4795081967213114,0.4989905108015344,-0.0065127192892501,1.0,244,0,0,3,124,3,114,0.9754098360655736,8.856570300005842
window_selection,lstm_cnn,full_ta,20,42,fold_3,2012,2019,2020,1874,243,68.27996599572937,48.77487885164435,5.7927138638253854,0.4176710532605374,0.4834710743801653,0.4904319300164024,-0.0231279611009595,1.0,242,1,0,26,98,27,91,0.78099173553719,10.189610099994752
window_selection,lstm_cnn,full_ta,20,42,fold_4,2012,2020,2021,2117,240,33.39882109133315,26.82519649559257,2.7954905143316595,-1.4321966287199022,0.4583333333333333,0.4755069333147516,-0.0606595967863295,1.0,240,0,0,87,26,104,23,0.2041666666666666,11.103085999995528
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_1,2012,2017,2018,1385,245,38.92397251314876,34.885295973792246,3.033075322557803,0.1812383279528164,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,5.705965599998308
