model,seed,fold,test_year,sequence_window,rmse_full_ta,mae_full_ta,mape_full_ta,r2_full_ta,direction_accuracy_full_ta,balanced_accuracy_full_ta,mcc_full_ta,direction_coverage_full_ta,runtime_seconds_full_ta,rmse_full_ta_vmd,mae_full_ta_vmd,mape_full_ta_vmd,r2_full_ta_vmd,direction_accuracy_full_ta_vmd,balanced_accuracy_full_ta_vmd,mcc_full_ta_vmd,direction_coverage_full_ta_vmd,runtime_seconds_full_ta_vmd,rmse_delta_vmd_minus_full_ta,mae_delta_vmd_minus_full_ta,mape_delta_vmd_minus_full_ta,r2_delta_vmd_minus_full_ta,runtime_seconds_delta_vmd_minus_full_ta,direction_accuracy_delta_pp,balanced_accuracy_delta_pp,mcc_delta_vmd_minus_full_ta,direction_coverage_delta_pp
cnn,2025,fold_1,2022,20,22.76232985577698,18.328261969514912,1.8623913221258088,-0.0459777668621748,0.5041666666666667,0.4713301946454922,-0.0712526820421104,1.0,5.9118419000005815,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,5.9851797000010265,0.6952389957471645,0.552153882307632,0.06108765132714322,-0.0648712312965116,0.07333780000044499,0.0,-0.18269974000421074,-0.0070988768974126065,0.0
cnn,2025,fold_2,2023,20,18.74255433716717,15.458862118151943,1.6516501452164756,0.8225617200764601,0.5371900826446281,0.5317982456140351,0.0646690203234979,1.0,6.246631400004844,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,6.214561100001447,-0.49330565363917245,-0.4196922012415456,-0.04042884122910739,0.009217461965723928,-0.03207030000339728,-0.4132231404958664,-0.5345394736842146,-0.010378340316188603,0.0
cnn,2025,fold_3,2024,20,24.943479516507367,20.79521386871576,2.4499789848667413,0.6791629582317278,0.5163934426229508,0.5334140924692106,0.1190398520003483,1.0,6.689533100005065,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,6.97957999999926,-2.1737363992185657,-2.486650094673287,-0.2873100819119556,0.05348303696389767,0.290046899994195,0.0,-0.06729927989770346,-0.011163565713399104,0.0
cnn,2025,fold_4,2025,20,26.737891957025724,20.596018407568987,2.662639944822983,0.7240229067260251,0.5427350427350427,0.5464912280701755,0.0971441254359745,1.0,7.004406899999594,29.953481427154884,23.522087382445,3.062747613790428,0.6536514916756951,0.5427350427350427,0.55,0.1210688496072652,1.0,7.042735499999253,3.21558947012916,2.9260689748760136,0.4001076689674452,-0.07037141505032996,0.03832859999965876,0.0,0.35087719298245723,0.0239247241712907,0.0
lstm_cnn,42,fold_1,2022,20,22.10910535799897,16.913028670841225,1.7189132008104249,0.0131949421783236,0.5,0.5150727285503478,0.0311698161837447,1.0,12.666469299998424,23.666640152261344,18.28730725327962,1.8605137290501896,-0.1307386656569442,0.4833333333333333,0.4936406436652378,-0.0128827025570593,1.0,12.58778970000276,1.5575347942623736,1.3742785824383965,0.14160052823976477,-0.1439336078352678,-0.0786795999956631,-1.6666666666666718,-2.143208488511,-0.044052518740804,0.0
lstm_cnn,42,fold_2,2023,20,21.817450075058694,17.7646099823885,1.9085792522028215,0.7595649693674728,0.5495867768595041,0.5478344298245614,0.0957180694973691,1.0,13.827014099995722,23.474587434252797,19.17646644798326,2.0654424597080507,0.7216535426715319,0.5413223140495868,0.5371436403508771,0.0749973398427922,1.0,14.41698730000644,1.6571373591941025,1.4118564655947594,0.1568632075052292,-0.03791142669594083,0.5899732000107178,-0.8264462809917328,-1.0690789473684292,-0.0207207296545769,0.0
lstm_cnn,42,fold_3,2024,20,25.0618717703915,19.911835816336488,2.348872026774623,0.6761100749338187,0.5040983606557377,0.5189110976512551,0.0545622684907679,1.0,14.234037700000044,26.748637216699205,22.310484458266743,2.6358885593117094,0.6310447002190668,0.5081967213114754,0.5252035803216906,0.0897893747716625,1.0,15.085751599996,1.686765446307703,2.3986486419302544,0.28701653253708637,-0.045065374714751916,0.8517138999959553,0.4098360655737765,0.6292482670435473,0.0352271062808946,0.0
lstm_cnn,42,fold_4,2025,20,23.687118582459508,18.376509181892786,2.3867507298609763,0.7834076185267864,0.5042735042735043,0.5072368421052632,0.0148702969369865,1.0,15.230707999995502,26.50929370216781,19.79492141788843,2.592158770458386,0.7287217209749215,0.5384615384615384,0.5423245614035088,0.0886822678181109,1.0,15.839919099998951,2.8221751197083016,1.4184122359956426,0.2054080405974097,-0.054685897551864926,0.6092111000034492,3.4188034188034178,3.508771929824561,0.0738119708811244,0.0
lstm_cnn,123,fold_1,2022,20,27.92355346890044,22.23062862156833,2.264123870724872,-0.5740930349230464,0.4875,0.4718220785608882,-0.0584180522637316,1.0,12.558997899999667,26.90280261628271,19.416014862495825,1.9764265228676563,-0.4611139216005124,0.4875,0.5010540369615628,0.0021643956935035,1.0,13.075745599999207,-1.0207508526177307,-2.814613759072504,-0.28769734785721557,0.11297911332253402,0.5167476999995397,0.0,2.9231958400674607,0.060582447957235094,0.0
lstm_cnn,123,fold_2,2023,20,24.760835053186486,19.863815875328125,2.1371102172887566,0.6903148819818825,0.5413223140495868,0.5400219298245614,0.0800082279533671,1.0,13.412209499998426,23.77743911208361,18.985903020042453,2.0452362702346667,0.7144251758313336,0.5537190082644629,0.5574972587719298,0.1156943523266369,1.0,13.883361799998966,-0.9833959411028772,-0.8779128552856719,-0.09187394705408991,0.02411029384945107,0.47115230000054,1.2396694214876103,1.7475328947368363,0.035686124373269804,0.0
