stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,lstm,full_ta,5,456,fold_3,2012,2023,2024,2842,244,12.45089541332614,9.968022186443475,1.161592460199737,0.9200586271775236,0.5081967213114754,0.5231846019247594,0.0677370428414339,1.0,244,0,0,20,107,13,104,0.8647540983606558,9.585745399999723
outer_test,lstm,full_ta,5,456,fold_4,2012,2024,2025,3086,234,22.02340330642848,16.728849133752355,2.1738508523275506,0.8127647685405898,0.5213675213675214,0.5208333333333333,0.0416910545333533,1.0,234,0,0,65,55,57,57,0.4786324786324786,8.9284514999963
outer_test,lstm,full_ta,5,789,fold_1,2012,2021,2022,2358,241,10.423097923991993,8.411073951839901,0.8545664625014718,0.7806777643831322,0.4958333333333333,0.5286698053545078,0.0712526820421104,1.0,240,1,0,89,18,103,30,0.2,7.639085399998294
outer_test,lstm,full_ta,5,789,fold_2,2012,2022,2023,2599,243,12.845279374280835,10.507157865924611,1.1323900368938913,0.9166555144703576,0.5165289256198347,0.5290570175438596,0.0642526205085869,1.0,242,1,0,40,88,29,85,0.7148760330578512,7.455945500005328
outer_test,lstm,full_ta,5,789,fold_3,2012,2023,2024,2842,244,13.126996977828252,10.702459689290816,1.2460172675866232,0.911141044824598,0.4877049180327868,0.5018170805572381,0.0050069535217991,1.0,244,0,0,20,107,18,99,0.8442622950819673,8.564503900001
outer_test,lstm,full_ta,5,789,fold_4,2012,2024,2025,3086,234,13.771468535969108,10.787935668972562,1.3531652589805057,0.9267885149331008,0.5213675213675214,0.5168859649122807,0.036046540234402,1.0,234,0,0,83,37,75,39,0.3247863247863248,8.458585300002596
outer_test,lstm,full_ta,5,2025,fold_1,2012,2021,2022,2358,241,11.454246677758706,9.10484561682737,0.9259790299230792,0.7351365132993757,0.5708333333333333,0.5515775419858057,0.1102248778173639,1.0,240,1,0,40,67,36,97,0.6833333333333333,6.990566799999215
outer_test,lstm,full_ta,5,2025,fold_2,2012,2022,2023,2599,243,13.177707674799745,10.81583288757891,1.178797389544581,0.912285882135549,0.4876033057851239,0.5122669956140351,0.0466729610435389,1.0,242,1,0,11,117,7,107,0.9256198347107438,7.2965397000007215
outer_test,lstm,full_ta,5,2025,fold_3,2012,2023,2024,2842,244,12.651984380342698,10.389613456843351,1.2193943327454304,0.917455578908006,0.5122950819672131,0.5284675953967293,0.0921850829695376,1.0,244,0,0,17,110,9,108,0.8934426229508197,7.836604400006763
outer_test,lstm,full_ta,5,2025,fold_4,2012,2024,2025,3086,234,14.989012312634696,11.821875127632904,1.4896045413843306,0.913270919760075,0.5470085470085471,0.5480263157894737,0.0963064038351565,1.0,234,0,0,61,59,47,67,0.5384615384615384,8.26244339999539
