stage,model,feature_set,sequence_window,completed_fits,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
window_selection,lstm_attention,full_ta_vmd,5,4,9.381737249999787,0.8959973650255395,37.52694899999915
window_selection,lstm_attention,full_ta_vmd,10,4,10.177232800002457,1.3676722753883246,40.70893120000983
window_selection,lstm_attention,full_ta_vmd,20,4,12.976516274999085,1.6668130992906116,51.90606509999634
window_selection,lstm_cnn_attention,full_ta,1,4,9.216838325002755,0.693630149469198,36.86735330001102
window_selection,lstm_cnn_attention,full_ta,3,4,9.889222899999368,0.8878566622681916,39.55689159999747
window_selection,lstm_cnn_attention,full_ta,5,4,10.917660824999984,0.979980961736168,43.67064329999994
window_selection,lstm_cnn_attention,full_ta,10,4,13.065972349999356,1.7808032638602902,52.263889399997424
window_selection,lstm_cnn_attention,full_ta,20,4,14.058851000001596,1.3732672404569517,56.23540400000638
window_selection,lstm_cnn_attention,full_ta_vmd,1,4,9.210191475000101,0.733621615601756,36.840765900000406
window_selection,lstm_cnn_attention,full_ta_vmd,3,4,9.954412525003136,0.9366839700344265,39.81765010001254
window_selection,lstm_cnn_attention,full_ta_vmd,5,4,11.144124275002468,1.2649085842897472,44.576497100009874
window_selection,lstm_cnn_attention,full_ta_vmd,10,4,11.594544425001004,1.3882922601384389,46.37817770000402
window_selection,lstm_cnn_attention,full_ta_vmd,20,4,14.173830725001608,1.7778053267903984,56.69532290000643
outer_test,lstm,full_ta,5,20,7.835224170000219,0.6755920457956427,156.7044834000044
outer_test,lstm,full_ta_vmd,5,20,7.708659039999475,0.4576373788893167,154.1731807999895
outer_test,cnn,full_ta,20,20,6.546934035000959,0.4675896824535943,130.93868070001918
outer_test,cnn,full_ta_vmd,20,20,6.570232284999657,0.45081269519016826,131.40464569999313
outer_test,lstm_cnn,full_ta,20,20,14.26222891000034,1.0862608377116034,285.2445782000068
outer_test,lstm_cnn,full_ta_vmd,20,20,14.547365085000274,1.1441683021738502,290.9473017000055
outer_test,lstm_attention,full_ta,10,20,14.206420960000106,1.1551109067967926,284.1284192000021
outer_test,lstm_attention,full_ta_vmd,10,20,15.549495269999534,1.2828667419698545,310.9899053999907
outer_test,lstm_cnn_attention,full_ta,20,20,20.379255225000087,1.6533760718871462,407.58510450000176
outer_test,lstm_cnn_attention,full_ta_vmd,20,20,19.643273739999493,1.6986033580127338,392.8654747999899
