regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
bear,Close_D_lag10,0.3553719008264463,0.1876025256265342,15,39
bear,Open_D,0.359228650137741,0.29993554045602233,15,40
bear,Direction_lag3,0.36198347107438017,0.18072009287442928,15,41
bear,MinusDI_14,0.36749311294765835,0.14204530249356825,15,42
bear,Open_M,0.38071625344352616,0.2853927632365301,15,43
bear,ADX_14,0.38292011019283745,0.20726382679434777,15,44
bear,RSI_14,0.3911845730027548,0.15096318191537472,15,45
bear,Return_60D,0.39283746556473825,0.2172888479832075,15,46
bear,Momentum_60,0.40055096418732783,0.1999606415424704,15,47
bear,Down_Ratio_5,0.4016528925619835,0.20389716352751008,15,48
bear,Body_to_Range_D,0.4292011019283747,0.23623452907304224,15,49
bear,VMD_Noise_Energy_Ratio,0.4446280991735537,0.18525252746338391,15,50
bear,Close_Position_W,0.446831955922865,0.1730601478482432,15,51
bear,Body_M,0.45068870523415977,0.1749777599939439,15,52
bear,Close_Position_D,0.45950413223140496,0.195143350737671,15,53
bear,Close_Position_M,0.46115702479338844,0.1968707352336674,15,54
bear,Close_to_SMA_60,0.46556473829201106,0.18769785432107491,15,55
bear,Volatility_5,0.47052341597796143,0.22842290620218134,15,56
bear,Up_Ratio_20,0.47768595041322315,0.22028431356582176,15,57
bear,Up_Ratio_5,0.4898071625344353,0.2587839717873629,15,58
bear,Return_20D,0.4925619834710744,0.1467727644429113,15,59
bear,MACD_Signal_9,0.5024793388429752,0.19600147872850915,15,60
bear,Down_Ratio_10,0.5140495867768595,0.22484373351087017,15,61
bear,MACD_12_26,0.5195592286501377,0.22919902066684394,15,62
bear,Momentum_20,0.5228650137741047,0.21608656081481944,15,63
bear,Change_pct_M,0.525068870523416,0.191663939189285,15,64
bear,Volatility_10,0.5283746556473828,0.2512269824257902,15,65
bear,Down_Ratio_20,0.5377410468319559,0.2510715794711842,15,66
bear,ROC_20,0.5443526170798898,0.1934879678715767,15,67
bear,Volatility_60,0.5526170798898071,0.23756078191759245,15,68
bear,Spread_M,0.5542699724517905,0.23978067414748305,15,69
bear,ROC_60,0.5796143250688706,0.2155983379507392,15,70
bear,Up_Ratio_10,0.5884297520661157,0.22125664181338742,15,71
bear,Volatility_20,0.5900826446280992,0.19293076957909286,15,72
bear,CCI_20,0.5955922865013774,0.20803445505000207,15,73
bear,VMD_IMF_2,0.6038567493112947,0.2254562304246074,15,74
bear,Body_abs_D,0.609366391184573,0.19142451942171226,15,75
bear,Close_to_SMA_20,0.6110192837465565,0.2067170136289204,15,76
bear,Change_pct_D,0.6165289256198346,0.1967120724484246,15,77
bear,Change_pct_D_lag5,0.6308539944903582,0.17527862308714656,15,78
bear,Volume_MA_20,0.6319559228650138,0.20834846478430874,15,79
bear,Volume_Change_1D,0.6363636363636364,0.20351876424632995,15,80
bear,Body_W,0.665564738292011,0.1484604962949009,15,81
bear,Volume_W,0.6705234159779614,0.21070019843540583,15,82
bear,Close_to_SMA_5,0.671625344352617,0.1990705683150739,15,83
bear,Volume_MA_5,0.6743801652892562,0.19873535398423461,15,84
bear,Momentum_5,0.6771349862258954,0.22638479906029327,15,85
bear,ROC_5,0.6776859504132232,0.19248013218516025,15,86
bear,Change_pct_D_lag2,0.6804407713498623,0.11930087774948622,15,87
bear,Momentum_10,0.6865013774104683,0.20410442637343373,15,88
bear,Return_10D,0.6936639118457301,0.2012156471451243,15,89
bear,Spread_W,0.7019283746556474,0.20235199876609433,15,90
bear,Change_pct_D_lag10,0.7046831955922865,0.20053561098688968,15,91
bear,Volume_Change_5D,0.7090909090909091,0.17756097853878722,15,92
bear,Volume_Ratio_5,0.7101928374655647,0.20290576657994777,15,93
bear,MACD_Histogram,0.7146005509641873,0.1376497139148214,15,94
bear,Close_to_SMA_10,0.7151515151515151,0.16134208690380697,15,95
bear,VMD_IMF_4,0.7151515151515151,0.20620660825008436,15,96
bear,Volume_Ratio_20,0.7168044077134986,0.1785546614301382,15,97
bear,ROC_10,0.7179063360881542,0.17408326102772093,15,98
bear,Ratio_Close_D_to_M,0.7201101928374656,0.1917911683601129,15,99
bear,Return_3D,0.7393939393939394,0.16185531719031834,15,100
bear,Return_5D,0.7404958677685951,0.1540069157677859,15,101
bear,Return_1D,0.7410468319559229,0.158498849766591,15,102
bear,Change_pct_D_lag1,0.749862258953168,0.16721040164302114,15,103
bear,Volume_D_lag5,0.7526170798898072,0.17272152949860092,15,104
bear,Ratio_Close_D_to_W,0.7559228650137741,0.22766128996630497,15,105
bear,Volume_D_lag1,0.7614325068870523,0.1369746486557857,15,106
bear,Change_pct_D_lag3,0.7663911845730027,0.15679056247460074,15,107
bear,Upper_Shadow_D,0.771900826446281,0.1641578752746119,15,108
bear,VMD_IMF_3,0.7724517906336088,0.1547043695730576,15,109
bear,Volume_M,0.7730027548209366,0.1624570417196849,15,110
bear,Volume_D_lag3,0.7790633608815427,0.17682492756566512,15,111
bear,Volume_D_lag2,0.7878787878787878,0.10724106307910966,15,112
bear,Spread_D,0.790633608815427,0.09671624420683385,15,113
bear,Change_pct_W,0.8011019283746557,0.18188435703176478,15,114
bear,Change_pct_D_lag20,0.8165289256198347,0.11027053537783149,15,115
bear,Volume_D,0.8192837465564738,0.11815856091145982,15,116
bear,Body_D,0.8347107438016529,0.16804085131838434,15,117
bear,Volume_D_lag10,0.8842975206611571,0.1298486619586071,15,118
bear,Volume_Change_20D,0.887603305785124,0.08615904204615239,15,119
bear,Ratio_Volume_D_to_W,0.8914600550964188,0.10183686075514217,15,120
bear,Volume_D_lag20,0.9057851239669421,0.10815310115702031,15,121
bear,Lower_Shadow_D,0.9548209366391185,0.05867740880479531,15,122
bull,Close_D,0.0,0.0,15,1
bull,WMA_60,0.07493112947658402,0.13516761700390034,15,2
bull,Close_D_lag1,0.0997245179063361,0.08331877737058771,15,3
bull,SMA_60,0.10964187327823692,0.1963065705489819,15,4
bull,VMD_Denoised_Close,0.15702479338842976,0.1490551977272785,15,5
bull,WMA_5,0.1575757575757576,0.20789369994661083,15,6
bull,Low_D,0.162534435261708,0.10400784660290059,15,7
bull,WMA_10,0.17575757575757578,0.19478468163853932,15,8
bull,SMA_5,0.17851239669421487,0.22996261576263746,15,9
bull,Low_W,0.19559228650137742,0.09741988803395811,15,10
bull,Close_W_lag2,0.2071625344352617,0.16703524899601455,15,11
bull,Direction_lag1,0.2132231404958678,0.13889637473145314,15,12
bull,Close_D_lag20,0.2181818181818182,0.1400367524510578,15,13
bull,Close_W_lag1,0.22699724517906336,0.24245956953432274,15,14
bull,Close_D_lag5,0.2347107438016529,0.09985011257537323,15,15
bull,Close_D_lag2,0.237465564738292,0.10215255562132579,15,16
bull,SMA_10,0.23856749311294767,0.2414918027078563,15,17
bull,High_M,0.24077134986225895,0.1448342826708307,15,18
bull,Close_M_lag1,0.24462809917355371,0.21489419594474876,15,19
bull,Close_D_lag60,0.2490358126721763,0.1467417375396066,15,20
bull,Open_W,0.2528925619834711,0.1763644883680536,15,21
bull,WMA_20,0.2534435261707989,0.14979525436827212,15,22
bull,Low_M,0.2606060606060606,0.14816444561512887,15,23
bull,Close_M,0.26170798898071623,0.27092652017948754,15,24
bull,Close_W_lag4,0.2628099173553719,0.21526619740683178,15,25
bull,Close_M_lag3,0.274931129476584,0.17161640563870037,15,26
bull,High_D,0.27768595041322314,0.20608670049669733,15,27
bull,Direction_lag2,0.29476584022038566,0.1802461465890423,15,28
bull,High_W,0.29531680440771346,0.2505269100037142,15,29
bull,SMA_20,0.30192837465564737,0.24718238463113362,15,30
bull,WilliamsR_14,0.3024793388429752,0.23429215879790574,15,31
bull,StochK_14,0.30468319559228646,0.24386401192905474,15,32
bull,Close_W,0.3228650137741047,0.26282452022328073,15,33
bull,Direction_lag5,0.32672176308539946,0.20267481267947543,15,34
bull,Close_D_lag3,0.33112947658402203,0.24184710019439784,15,35
bull,VMD_Noise_Energy_Ratio,0.3349862258953168,0.2528606647528181,15,36
bull,Open_D,0.3608815426997245,0.29012631259708443,15,37
bull,StochD_3,0.36584022038567493,0.21253530881437144,15,38
bull,Body_M,0.36749311294765846,0.2303455820474513,15,39
bull,VMD_IMF_1,0.36804407713498627,0.24308253792929066,15,40
bull,Open_M,0.3757575757575758,0.27507604865084667,15,41
bull,Volatility_60,0.3845730027548209,0.24645102936303154,15,42
bull,ADX_14,0.3889807162534435,0.2607746566907277,15,43
bull,Close_D_lag10,0.3950413223140496,0.22393056161651578,15,44
bull,Return_60D,0.40495867768595045,0.22832748698855376,15,45
bull,Direction_lag3,0.4110192837465565,0.1902741878379317,15,46
bull,PlusDI_14,0.4137741046831956,0.21855596222296816,15,47
