model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,fallback
spearman_filter,fold_1,global,Volume_Change_20D,0.053187255727051845,0.4628099173553719,244,none
spearman_filter,fold_1,global,Direction_lag1,0.0345621748278656,0.6942148760330579,244,none
spearman_filter,fold_1,global,Direction_lag2,0.0757018519442793,0.2892561983471074,244,none
spearman_filter,fold_1,global,Direction_lag3,0.07796854254097628,0.2644628099173554,244,none
spearman_filter,fold_1,global,Direction_lag5,0.003898558093979025,0.9504132231404959,244,none
spearman_filter,fold_1,global,Up_Ratio_5,0.04883366976960624,0.5247933884297521,244,none
spearman_filter,fold_1,global,Up_Ratio_10,0.005781136772172453,0.9214876033057852,244,none
spearman_filter,fold_1,global,Up_Ratio_20,0.02230397811302568,0.7644628099173554,244,none
spearman_filter,fold_1,global,Down_Ratio_5,0.04883366976960624,0.5247933884297521,244,none
spearman_filter,fold_1,global,Down_Ratio_10,0.005781136772172453,0.9214876033057852,244,none
spearman_filter,fold_1,global,Down_Ratio_20,0.02230397811302568,0.7644628099173554,244,none
spearman_filter,fold_1,global,WMA_5,0.09933916115038503,0.09090909090909091,244,none
spearman_filter,fold_1,global,WMA_10,0.09873734557575306,0.10743801652892562,244,none
spearman_filter,fold_1,global,WMA_20,0.09689850439264959,0.11570247933884298,244,none
spearman_filter,fold_1,global,WMA_60,0.08045797553994274,0.2231404958677686,244,none
spearman_filter,fold_1,global,StochK_14,0.014896599237657578,0.8305785123966942,244,none
spearman_filter,fold_1,global,StochD_3,0.05972764333420071,0.4132231404958678,244,none
spearman_filter,fold_1,global,RSI_14,0.04856655473361171,0.5371900826446281,244,none
spearman_filter,fold_1,global,MACD_12_26,0.05710072735833859,0.4297520661157025,244,none
spearman_filter,fold_1,global,MACD_Signal_9,0.039769690511298625,0.6115702479338843,244,none
spearman_filter,fold_1,global,MACD_Histogram,0.05159329062529687,0.48760330578512395,244,none
spearman_filter,fold_1,global,WilliamsR_14,0.014896599237657578,0.8305785123966942,244,none
spearman_filter,fold_1,global,CCI_20,0.0456141655204887,0.5454545454545454,244,none
spearman_filter,fold_1,global,ADX_14,0.1314845792597549,0.01652892561983471,244,none
spearman_filter,fold_1,global,PlusDI_14,0.07175197948031671,0.30578512396694213,244,none
spearman_filter,fold_1,global,MinusDI_14,0.02710184255851703,0.71900826446281,244,none
spearman_filter,fold_1,global,VMD_IMF_1,0.045206084862603205,0.5537190082644629,244,none
spearman_filter,fold_1,global,VMD_IMF_2,0.1023572027475228,0.06611570247933884,244,none
spearman_filter,fold_1,global,VMD_IMF_3,0.020219818346282045,0.7851239669421488,244,none
spearman_filter,fold_1,global,VMD_IMF_4,0.05935756208980252,0.4214876033057851,244,none
spearman_filter,fold_1,global,VMD_Denoised_Close,0.10376483319496589,0.05785123966942149,244,none
spearman_filter,fold_1,global,VMD_Noise_Energy_Ratio,0.023489420054603503,0.743801652892562,244,none
spearman_filter,fold_1,bull,Open_D,0.20323013723514483,0.19008264462809918,72,none
spearman_filter,fold_1,bull,High_D,0.19850151135121236,0.21487603305785125,72,none
spearman_filter,fold_1,bull,Low_D,0.22107531030934469,0.0743801652892562,72,none
spearman_filter,fold_1,bull,Close_D,0.203614380346003,0.18181818181818182,72,none
spearman_filter,fold_1,bull,Volume_D,0.18885887396550602,0.2644628099173554,72,none
spearman_filter,fold_1,bull,Change_pct_D,0.18265288189162063,0.2892561983471074,72,none
spearman_filter,fold_1,bull,Open_W,0.1647262022606268,0.3305785123966942,72,none
spearman_filter,fold_1,bull,High_W,0.15290482638466865,0.33884297520661155,72,none
spearman_filter,fold_1,bull,Low_W,0.19535870487107967,0.2396694214876033,72,none
spearman_filter,fold_1,bull,Close_W,0.1455607563581878,0.371900826446281,72,none
spearman_filter,fold_1,bull,Volume_W,0.07610730318953025,0.6198347107438017,72,none
spearman_filter,fold_1,bull,Change_pct_W,0.22602341831498204,0.04132231404958678,72,none
spearman_filter,fold_1,bull,Open_M,0.1469291264060585,0.36363636363636365,72,none
spearman_filter,fold_1,bull,High_M,0.07503599771004593,0.628099173553719,72,none
spearman_filter,fold_1,bull,Low_M,0.21869130222648636,0.09090909090909091,72,none
spearman_filter,fold_1,bull,Close_M,0.2107686532536107,0.1652892561983471,72,none
spearman_filter,fold_1,bull,Volume_M,0.23312885675970205,0.024793388429752067,72,none
spearman_filter,fold_1,bull,Change_pct_M,0.017416732452768074,0.9504132231404959,72,none
spearman_filter,fold_1,bull,Close_D_lag1,0.23609235320599398,0.01652892561983471,72,none
spearman_filter,fold_1,bull,Close_D_lag2,0.19618624991960903,0.23140495867768596,72,none
spearman_filter,fold_1,bull,Close_D_lag3,0.12756447359958842,0.4132231404958678,72,none
spearman_filter,fold_1,bull,Close_D_lag5,0.12569940189079684,0.4214876033057851,72,none
spearman_filter,fold_1,bull,Close_D_lag10,0.1256672454820246,0.4297520661157025,72,none
spearman_filter,fold_1,bull,Close_D_lag20,0.22011061804617663,0.08264462809917356,72,none
spearman_filter,fold_1,bull,Close_D_lag60,0.058428194739211535,0.71900826446281,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag1,0.0034090452579751533,0.9917355371900827,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag2,0.2146452065916666,0.11570247933884298,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag3,0.024039041426687353,0.8842975206611571,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag5,0.05680977675579308,0.7272727272727273,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag10,0.17546934837275882,0.3140495867768595,72,none
spearman_filter,fold_1,bull,Change_pct_D_lag20,0.003923460381662472,0.9834710743801653,72,none
spearman_filter,fold_1,bull,Volume_D_lag1,0.09118247951863326,0.5950413223140496,72,none
spearman_filter,fold_1,bull,Volume_D_lag2,0.09396761341904175,0.5702479338842975,72,none
spearman_filter,fold_1,bull,Volume_D_lag3,0.0463156552216774,0.7933884297520661,72,none
spearman_filter,fold_1,bull,Volume_D_lag5,0.12819915149792732,0.4049586776859504,72,none
