regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank,selection_fold
sideway,StochD_3,0.22148760330578515,0.09320907226361444,5,21,fold_2
sideway,Direction_lag2,0.22644628099173553,0.18121613320549745,5,22,fold_2
sideway,High_M,0.228099173553719,0.16316820918956748,5,23,fold_2
sideway,Close_D_lag5,0.23140495867768598,0.06481151711305008,5,24,fold_2
sideway,Close_W_lag4,0.23140495867768598,0.1889112305894622,5,25,fold_2
sideway,SMA_10,0.23471074380165285,0.27370223927553267,5,26,fold_2
sideway,Open_W,0.24793388429752064,0.1912468837257212,5,27,fold_2
sideway,WMA_20,0.2578512396694215,0.17584089150245102,5,28,fold_2
sideway,High_D,0.25785123966942153,0.25287095462167636,5,29,fold_2
sideway,High_W,0.25950413223140495,0.19457501337758112,5,30,fold_2
sideway,Close_W_lag1,0.2611570247933884,0.3560727281320743,5,31,fold_2
sideway,Close_D_lag10,0.26776859504132233,0.1379942576181276,5,32,fold_2
sideway,Body_to_Range_D,0.287603305785124,0.11201320089639591,5,33,fold_2
sideway,Close_D_lag3,0.2892561983471074,0.265172086068338,5,34,fold_2
sideway,SMA_20,0.2909090909090909,0.28785967485024777,5,35,fold_2
sideway,VMD_IMF_1,0.2909090909090909,0.16082822996810983,5,36,fold_2
sideway,Direction_lag3,0.3008264462809917,0.11608555239284882,5,37,fold_2
sideway,Close_M,0.31239669421487604,0.3398191944234058,5,38,fold_2
sideway,Up_Ratio_20,0.34049586776859503,0.12539126661176977,5,39,fold_2
sideway,Close_M_lag3,0.3404958677685951,0.1969128585468076,5,40,fold_2
sideway,PlusDI_14,0.3404958677685951,0.05707866661101489,5,41,fold_2
sideway,Close_Position_D,0.343801652892562,0.14452180273254225,5,42,fold_2
sideway,ADX_14,0.3487603305785124,0.15399424395176353,5,43,fold_2
sideway,Close_W,0.35041322314049583,0.2849502405224456,5,44,fold_2
sideway,MinusDI_14,0.37355371900826445,0.10279211134370984,5,45,fold_2
sideway,Open_D,0.37355371900826445,0.3198357785020723,5,46,fold_2
sideway,Close_Position_M,0.38347107438016526,0.1267726571652583,5,47,fold_2
sideway,Down_Ratio_5,0.39834710743801655,0.18813228658850123,5,48,fold_2
sideway,Down_Ratio_20,0.41487603305785126,0.21617534692022156,5,49,fold_2
sideway,RSI_14,0.41487603305785126,0.251245106509241,5,50,fold_2
sideway,Down_Ratio_10,0.42148760330578516,0.16559888354970145,5,51,fold_2
sideway,Open_M,0.42644628099173554,0.3593188465244473,5,52,fold_2
sideway,Return_60D,0.4429752066115702,0.2764953816232965,5,53,fold_2
sideway,Momentum_60,0.4512396694214876,0.21745119340882874,5,54,fold_2
sideway,Close_Position_W,0.4661157024793388,0.19788168534778428,5,55,fold_2
sideway,Up_Ratio_5,0.4677685950413223,0.30782211854055624,5,56,fold_2
sideway,Volatility_60,0.4776859504132231,0.18894738238973366,5,57,fold_2
sideway,Up_Ratio_10,0.487603305785124,0.19963425337489527,5,58,fold_2
sideway,Body_M,0.49752066115702476,0.12498206961080122,5,59,fold_2
sideway,VMD_Noise_Energy_Ratio,0.5173553719008265,0.15110638574479343,5,60,fold_2
sideway,Volatility_5,0.5322314049586777,0.2109948269998469,5,61,fold_2
sideway,Spread_M,0.543801652892562,0.23414843595923127,5,62,fold_2
sideway,Volume_Change_1D,0.543801652892562,0.24104761904633404,5,63,fold_2
sideway,Close_to_SMA_60,0.5537190082644627,0.12492740874240474,5,64,fold_2
sideway,Return_20D,0.5603305785123966,0.10411255225304808,5,65,fold_2
sideway,Momentum_20,0.5636363636363637,0.1928827180276538,5,66,fold_2
sideway,Change_pct_D_lag5,0.5669421487603306,0.16116761991024636,5,67,fold_2
sideway,Volume_Change_5D,0.5702479338842975,0.15864755223514437,5,68,fold_2
sideway,Body_abs_D,0.5719008264462809,0.17844351288046198,5,69,fold_2
