track,comparison_id,comparison_label,model,metric,control_label,treatment_label,control_value,treatment_value,delta,delta_unit,better_when,improved,improved_count_within_comparison_metric,raw_pvalue,holm_adjusted_pvalue,statistical_status,evidence_class,temporal_units,seeds,source_artifact,note
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn,rmse,Technical + VMD,Technical + VMD + predicted news,30.867534035496888,33.43634091288601,2.5688068773891217,index_points,lower,False,3,0.375,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_attention,balanced_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5241269551758888,0.5277039780570402,0.35770228811513594,percentage_points,higher,True,2,0.625,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_attention,direction_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5152630649901514,0.5192356117346804,0.397254674452896,percentage_points,higher,True,2,0.5,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_attention,rmse,Technical + VMD,Technical + VMD + predicted news,38.99778790887538,25.491160235686237,-13.506627673189143,index_points,lower,True,3,0.125,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn_attention,balanced_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5280076055786035,0.5191327936576071,-0.8874811920996373,percentage_points,higher,False,2,0.125,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn_attention,direction_accuracy,Technical + VMD,Technical + VMD + predicted news,0.5231091031836188,0.5131900463131834,-0.9919056870435372,percentage_points,higher,False,2,0.125,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
B,track_b_news_vs_technical,Predicted news feature versus technical-only,lstm_cnn_attention,rmse,Technical + VMD,Technical + VMD + predicted news,40.56236576963677,40.44073948605801,-0.12162628357876315,index_points,lower,True,3,1.0,,not_raw_significant,corrected_paired_fusion_ablation_low_power,4,5,outputs/track_b/four_fold_ablation_point_in_time_v2/paper_track_b_four_fold_table.csv,News fusion only; intrinsic LLM benchmark is a separate Track B result.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm,balanced_accuracy,Global-All,Regime-SHAP,0.5312207745517072,0.5117305780479124,-1.9490196503794799,percentage_points,higher,False,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm,direction_accuracy,Global-All,Regime-SHAP,0.5232456471744847,0.515811260171357,-0.7434387003127707,percentage_points,higher,False,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm,rmse,Global-All,Regime-SHAP,12.092484040484157,13.377487622370024,1.2850035818858672,index_points,lower,False,4,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,cnn,balanced_accuracy,Global-All,Regime-SHAP,0.5307947964279232,0.5452792987333088,1.4484502305385671,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,cnn,direction_accuracy,Global-All,Regime-SHAP,0.5283081951580462,0.5426800425729263,1.437184741488018,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,cnn,rmse,Global-All,Regime-SHAP,20.830704935602192,19.668918921582787,-1.1617860140194054,index_points,lower,True,4,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn,balanced_accuracy,Global-All,Regime-SHAP,0.5267632971920999,0.5323351867140959,0.5571889521995943,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn,direction_accuracy,Global-All,Regime-SHAP,0.5188711675392003,0.5321378732006526,1.3266705661452383,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn,rmse,Global-All,Regime-SHAP,30.506852470809125,18.890702976134172,-11.616149494674954,index_points,lower,True,4,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_attention,balanced_accuracy,Global-All,Regime-SHAP,0.5237397235070507,0.4961326267579658,-2.760709674908485,percentage_points,higher,False,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_attention,direction_accuracy,Global-All,Regime-SHAP,0.5052098169879466,0.4957253305148238,-0.9484486473122833,percentage_points,higher,False,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_attention,rmse,Global-All,Regime-SHAP,36.429195676650934,17.680164594912117,-18.749031081738817,index_points,lower,True,4,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn_attention,balanced_accuracy,Global-All,Regime-SHAP,0.5110056106576094,0.5300825050284987,1.907689437088933,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn_attention,direction_accuracy,Global-All,Regime-SHAP,0.499147629568643,0.5291872749911126,3.003964542246962,percentage_points,higher,True,3,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_global_all_descriptive,End-to-end Regime-SHAP versus single Global-All,lstm_cnn_attention,rmse,Global-All,Regime-SHAP,46.38558997521622,21.76716498821932,-24.6184249869969,index_points,lower,True,4,,,descriptive_no_inference,descriptive_capacity_confounded,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Descriptive only: routing capacity differs; not an isolated SHAP effect.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm,balanced_accuracy,Regime-All,Regime-SHAP,0.5127437677382383,0.5117305780479124,-0.1013189690325822,percentage_points,higher,False,2,1.0,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm,direction_accuracy,Regime-All,Regime-SHAP,0.5167482785264081,0.515811260171357,-0.09370183550511113,percentage_points,higher,False,2,1.0,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
