feature_index,feature,cnn_shap_importance,lstm_shap_importance,selected_cnn,selected_lstm
35,Volume_D_lag10,0.0002522058112316039,0.0029850258162070985,False,False
36,Volume_D_lag20,0.000932942641834739,0.0027211730729106874,True,False
37,Close_W_lag1,0.00020206774133290083,0.0033827995336842775,False,False
38,Close_W_lag2,0.0007173982287971947,0.004480239161614464,True,False
39,Close_W_lag4,0.000532617631936061,0.002966152300655267,False,False
40,Close_M_lag1,0.0005206291590153178,0.004162770792959236,False,False
41,Close_M_lag3,0.00029703569486584647,0.002455781299621074,False,False
42,Return_1D,0.00031473730840728684,0.006225418979846608,False,True
43,Return_3D,0.0003930115286202962,0.0030079525284055996,False,False
44,Return_5D,0.00026002607695509996,0.00940810508985237,False,True
45,Return_10D,0.000691875336528161,0.003268529828329747,True,False
46,Return_20D,0.0001758432768776963,0.003434222103027196,False,False
47,Return_60D,0.0003179952319539714,0.0026465490265131565,False,False
48,SMA_5,0.0007927522409488186,0.003912828029970683,True,False
49,SMA_10,0.0008696898367241523,0.0028084704710437335,True,False
50,SMA_20,0.0005282505808230642,0.003629460723411748,False,False
51,SMA_60,0.0003861928286037042,0.002940482934114641,False,False
52,Close_to_SMA_5,0.00022571847869918838,0.0028007974887373165,False,False
53,Close_to_SMA_10,0.0005830704315866713,0.006555640534519114,True,True
54,Close_to_SMA_20,0.0002789014416435975,0.004364349927300282,False,False
55,Close_to_SMA_60,0.0003578605901662257,0.002975489140644072,False,False
56,Volatility_5,0.0003657099190647717,0.002533884035219103,False,False
57,Volatility_10,0.00040146700530195866,0.0032078558504970546,False,False
58,Volatility_20,0.000368833930548923,0.003580964899319383,False,False
59,Volatility_60,0.00041935980534556493,0.0023468015755724993,False,False
60,Momentum_5,0.00032027076493939264,0.0034703997834647283,False,False
61,Momentum_10,0.0005176136937448117,0.0030523435625752883,False,False
62,Momentum_20,0.00030350312402753764,0.0030156149873732828,False,False
63,Momentum_60,0.0003551992536077957,0.00206675965272467,False,False
64,ROC_5,0.0002780012926328068,0.002895710372754934,False,False
65,ROC_10,0.0004949626466186574,0.003010634470297191,False,False
66,ROC_20,0.00030625271147617926,0.004805596216746722,False,False
67,ROC_60,0.0002708307497862883,0.003336380206022227,False,False
68,Ratio_Close_D_to_W,0.00022928859610220272,0.0033382033166759585,False,False
69,Ratio_Close_D_to_M,0.0004598955110680869,0.009023884698252615,False,True
70,Ratio_Volume_D_to_W,0.00043986304075278594,0.00533043662402406,False,True
71,Spread_D,0.0005472732617830989,0.004048884575240663,False,False
72,Body_D,0.0003341041186578408,0.002587285446522003,False,False
73,Body_abs_D,0.0002447101117376713,0.003432823852574174,False,False
74,Upper_Shadow_D,0.0005434071861348145,0.006878876690325342,False,True
75,Lower_Shadow_D,0.0002467432432534999,0.002630491330069873,False,False
76,Body_to_Range_D,0.000521678805485326,0.004542400893859622,False,False
77,Close_Position_D,0.0003006597400958211,0.005717183782238067,False,True
78,Spread_W,0.0005622896945638445,0.007367686682425756,True,True
79,Body_W,0.0005678690753693427,0.005817550997437593,True,True
80,Close_Position_W,0.0005620695703018486,0.010805774490268049,True,True
81,Spread_M,0.0002846583250433632,0.012694149326819115,False,True
82,Body_M,0.0005941581215737734,0.008254303301669097,True,True
83,Close_Position_M,0.0005268368938498025,0.003986799166082733,False,False
84,Volume_MA_5,0.0008366216889799203,0.003583935160389018,True,False
85,Volume_MA_20,0.0002726191049265081,0.0030391388388466114,False,False
86,Volume_Ratio_5,0.00041131171645458764,0.002630416303875549,False,False
87,Volume_Ratio_20,0.000299899631180911,0.004457292178153693,False,False
88,Volume_Change_1D,0.0006235222050928746,0.005975298699473797,True,True
89,Volume_Change_5D,0.0003883316613026766,0.006689824808790945,False,True
90,Volume_Change_20D,0.0004969689873557837,0.0022407315362671376,False,False
91,Direction_lag1,0.00034669559022834087,0.00741017880096706,False,True
92,Direction_lag2,0.00027050704264541814,0.0038038448216781264,False,False
93,Direction_lag3,0.0006724291350725942,0.005328953222010569,True,True
