model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_cmm_lstm,fold_1,2022,789,Global-Numeric-News,5,1,8.712605699998676,1.031625100004021,10006,241,11.381365463423077,8.826640490169842,0.8989306954256114,0.7384963431663243,0.575,0.5772609092825521,0.1536604262027989,1.0,240,1,0,64,43,59,74,0.4875
pit_cmm_lstm,fold_1,2022,789,Regime-SHAP-Numeric,5,3,23.02988629999163,3.0575345999968704,19274,241,17.960953062149137,14.191904831367887,1.4472760490533174,0.3487499283726164,0.5083333333333333,0.488792073642049,-0.0238689771624389,1.0,240,1,0,33,74,44,89,0.6791666666666667
pit_cmm_lstm,fold_1,2022,789,Regime-SHAP-Numeric-News,5,3,24.294471200017146,2.9221183999907225,20906,241,23.74923896126579,19.00727895819793,1.9431462528637773,-0.1386452083529494,0.5041666666666667,0.4850326751458084,-0.0317677957044527,1.0,240,1,0,33,74,45,88,0.675
pit_cmm_lstm,fold_2,2023,123,Global-Numeric,5,1,10.103315700005624,0.9315216999966652,9462,243,18.30700449853277,13.321528580635173,1.4535032698186063,0.8307127156971503,0.5206611570247934,0.5161732456140351,0.0326979469151875,1.0,242,1,0,76,52,64,50,0.4214876033057851
pit_cmm_lstm,fold_2,2023,123,Global-Numeric-News,5,1,9.867393299995456,0.970641499996418,10006,243,13.927407453541488,11.22359212318074,1.215256159251101,0.9020216042655655,0.5,0.5038377192982456,0.0077304660830223,1.0,242,1,0,56,72,49,65,0.5661157024793388
pit_cmm_lstm,fold_2,2023,123,Regime-SHAP-Numeric,5,3,23.21017249999568,2.687659100018209,19274,243,17.703620896410044,14.203787606493428,1.5234477248240952,0.8416879532428587,0.5289256198347108,0.52734375,0.0546875,1.0,242,1,0,71,57,57,57,0.4710743801652892
pit_cmm_lstm,fold_2,2023,123,Regime-SHAP-Numeric-News,5,3,22.84962729999097,2.683462699991651,20906,243,28.45219977914689,22.65200841660852,2.4374175472962563,0.5910959043533573,0.5619834710743802,0.5667489035087719,0.1349483063364098,1.0,242,1,0,62,66,40,74,0.5785123966942148
pit_cmm_lstm,fold_2,2023,2025,Global-Numeric,5,1,9.858669500012184,0.9118865999917034,9462,243,18.43734522604499,14.745816345744686,1.585202365445744,0.8282935786728449,0.5702479338842975,0.5491365131578947,0.1448128511755828,1.0,242,1,0,117,11,93,21,0.1322314049586777
pit_cmm_lstm,fold_2,2023,2025,Global-Numeric-News,5,1,9.927609699996538,0.868353500001831,10006,243,22.0872572171807,18.22958723899271,1.951893589559116,0.7535814832257833,0.5867768595041323,0.5652412280701754,0.1976427899122078,1.0,242,1,0,120,8,92,22,0.1239669421487603
pit_cmm_lstm,fold_2,2023,2025,Regime-SHAP-Numeric,5,3,22.91348149998521,2.696140899992315,19274,243,16.129027961209868,13.352093321722707,1.439280549785078,0.8685967365544559,0.5082644628099173,0.5087719298245614,0.0175168704638958,1.0,242,1,0,64,64,55,59,0.5082644628099173
