inner_fold,validation_year,seed,variant,training_sequences,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,456,concat_lstm,225,9553,2.6522127999924123,0.3376313999906415,0.5044898986816406,243,0.4957627118644068,0.4814814814814814,-0.0661616488340434,0.9361247340364796,0.3423265652741845
inner_2020,2020,456,bounded_residual,225,9347,3.997606100005214,0.0264998000056948,0.6579796075820923,243,0.4948135593220339,0.4814814814814814,-0.0274515099339397,1.0147289896656284,0.3601970075533391
inner_2020,2020,456,random_control_fcg,225,9347,4.554852399989613,0.0496831000054953,0.7442008852958679,243,0.4955254237288136,0.4814814814814814,-0.0405052831875262,1.029637408310493,0.3616202127795383
inner_2020,2020,456,matched_control_fcg,225,9347,4.830585399991833,0.0532215999992331,0.7338627576828003,243,0.5037627118644068,0.4897119341563786,0.0340612608622379,0.9560024979310664,0.3471192039436347
inner_2020,2020,789,direct_numeric_lstm,225,9041,2.8342479999992065,0.3261635999951977,0.4929188787937164,243,0.4679322033898305,0.4609053497942387,-0.0735292259380615,1.0064032560742897,0.3618049031616841
inner_2020,2020,789,concat_lstm,225,9553,2.629019400003017,0.3481094000017037,0.4743494093418121,243,0.4486440677966102,0.4403292181069959,-0.1260610500313043,1.011365286739716,0.3703721658433678
inner_2020,2020,789,bounded_residual,225,9347,3.977891000002274,0.0285524000064469,0.6328909397125244,243,0.4368474576271186,0.4320987654320987,-0.1339111772401038,1.082694491563136,0.3813159547086872
inner_2020,2020,789,random_control_fcg,225,9347,4.390298599988455,0.052624799995101,0.7205310463905334,243,0.4566101694915254,0.4526748971193415,-0.0902415974032141,1.0267267032038772,0.3705563597584398
inner_2020,2020,789,matched_control_fcg,225,9347,4.512445999993361,0.049981200005277,0.713627278804779,243,0.457322033898305,0.4526748971193415,-0.0902214610379287,1.106661217870072,0.3848624983666754
inner_2021,2021,123,direct_numeric_lstm,468,9041,3.1796738999983063,0.3295940999960294,0.54262375831604,240,0.504633823426939,0.5,0.0093700621549965,0.7339068520815687,0.2669685322934965
inner_2021,2021,123,concat_lstm,468,9553,3.052838500007056,0.3336515000119107,0.5142801403999329,240,0.51595707616194,0.5125,0.0320788701777281,0.7349453156700625,0.2680233491845516
inner_2021,2021,123,bounded_residual,468,9347,4.474384899993311,0.0258847000077366,0.7982757687568665,240,0.5036931224304926,0.5041666666666667,0.0073746916111129,0.7368490339044406,0.2687249701556483
inner_2021,2021,123,random_control_fcg,468,9347,4.953099499995005,0.0504630000068573,0.8905274271965027,240,0.5031705107658002,0.5,0.0063677000935549,0.7321120714412591,0.2673668376074254
inner_2021,2021,123,matched_control_fcg,468,9347,4.82899819999875,0.0542596000013873,0.8803510069847107,240,0.5238659326876176,0.525,0.0476920029989796,0.7476814021600475,0.273226493829673
inner_2021,2021,2025,direct_numeric_lstm,468,9041,3.0936722999904305,0.3282708000042476,0.5476247072219849,240,0.522855550135879,0.5208333333333334,0.0457350081694186,0.7420715621848977,0.2721448240368989
inner_2021,2021,2025,concat_lstm,468,9553,2.9362376000062795,0.4027136000077007,0.4960291385650635,240,0.5021949689917079,0.5,0.0043948405470803,0.7499210073251338,0.2749587464092558
inner_2021,2021,2025,bounded_residual,468,9347,4.44092159999127,0.0276558000041404,0.7923337817192078,240,0.5223329384711867,0.5166666666666667,0.0454321261357882,0.738069610926351,0.2696236751656077
inner_2021,2021,2025,random_control_fcg,468,9347,4.965905700009898,0.0535076000087428,0.8538047671318054,240,0.5085708313009547,0.5041666666666667,0.0173082992708131,0.7444184348681283,0.2727035324613879
inner_2021,2021,2025,matched_control_fcg,468,9347,4.837699999989127,0.0536850999924354,0.8461727499961853,240,0.491359487143753,0.4875,-0.0174070218623766,0.7437615500292755,0.2731108666135743
inner_2021,2021,42,direct_numeric_lstm,468,9041,3.1134770000062417,0.3252839999913703,0.4909545481204986,240,0.5271409657863564,0.5083333333333333,0.0706527441643688,0.7990347015646808,0.2900523559871671
inner_2021,2021,42,concat_lstm,468,9553,2.964263799993205,0.3288762000011047,0.4398400783538818,240,0.5133788586161243,0.4958333333333333,0.0333901914441505,0.8318169555709917,0.296768581581384
inner_2021,2021,42,bounded_residual,468,9347,4.323423699999694,0.0248830999917117,0.6898802518844604,240,0.5438993798341579,0.5291666666666667,0.1012086390975107,0.8283378341333749,0.2967689471416001
inner_2021,2021,42,random_control_fcg,468,9347,4.891964800001006,0.0519363999919733,0.8022220730781555,240,0.5064803846421853,0.4875,0.0170260781181752,0.8513775718058444,0.3057179729952141
inner_2021,2021,42,matched_control_fcg,468,9347,4.814056000002893,0.0516590000042924,0.7801398634910583,240,0.5059926137551389,0.4875,0.0154608366169819,0.8476483764310025,0.3056058379195876
inner_2021,2021,456,direct_numeric_lstm,468,9041,3.1039138000051025,0.3788802000053692,0.5294531583786011,240,0.4800013936311058,0.4708333333333333,-0.0420954678372109,0.8108265232528159,0.2977632548659532
inner_2021,2021,456,concat_lstm,468,9553,2.9184934999939287,0.3172780000022612,0.5711019039154053,240,0.4952616542401226,0.4875,-0.0098160033085998,0.7777949211308458,0.2869573742919382
inner_2021,2021,456,bounded_residual,468,9347,4.795890600013081,0.0276558000041404,0.7580052614212036,240,0.5045989826492927,0.4958333333333333,0.0096256686311898,0.8047755970110093,0.2954531676492429
inner_2021,2021,456,random_control_fcg,468,9347,4.952267999993637,0.0524273999908473,0.8554592132568359,240,0.4879102501567834,0.4833333333333333,-0.0244467035171715,0.802687627972193,0.2947100119045648
inner_2021,2021,456,matched_control_fcg,468,9347,4.873563100001775,0.0506208000006154,0.8267695903778076,240,0.4751236847606438,0.4708333333333333,-0.0502362832494332,0.7992315887361863,0.2944311587611969
inner_2021,2021,789,direct_numeric_lstm,468,9041,3.117183300011675,0.3364331000047968,0.5238528251647949,240,0.5064803846421853,0.4875,0.0170260781181752,0.7906264820430887,0.289045479238012
inner_2021,2021,789,concat_lstm,468,9553,2.983901699990384,0.3989460000011604,0.4889825284481048,240,0.5133440178384782,0.4916666666666666,0.0397194935007549,0.8430754035132169,0.3069705676949789
inner_2021,2021,789,bounded_residual,468,9347,4.449743300006958,0.0259896000061417,0.7691546082496643,240,0.5315657445474183,0.5125,0.0829334772853054,0.8407167115628881,0.3050271208700871
inner_2021,2021,789,random_control_fcg,468,9347,4.874174699987634,0.0575011000037193,0.8548057675361633,240,0.5335168280956031,0.5125,0.0959535221882069,0.8283611907370967,0.3023774010121222
inner_2021,2021,789,matched_control_fcg,468,9347,4.866102999993018,0.0514126000052783,0.8774868249893188,240,0.5246672705734792,0.5041666666666667,0.0689645396196615,0.840715093679637,0.3070801407306043
