protocol_id,variant,validation_year,seed,device,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,training_sequences,validation_sequences,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score,rmse,mae,predicted_up_share,turning_observations,turning_accuracy
tcrc-lstm-posthoc-development-v1,lstm_anchor,2020,42,cpu,21420,1.3677882000047248,0.0181381000147666,0.7211600542068481,224,243,243,0.4356610169491525,0.4320987654320987,-0.132879415100923,0.730870542892738,0.2684494148105888,18.24044136841712,12.060476595036665,0.6255144032921811,241,0.4605809128630705
tcrc-lstm-posthoc-development-v1,cnn_residual,2020,42,cpu,21420,1.2684293999918737,0.007861199992476,0.5983238816261292,224,243,243,0.4768474576271186,0.4732510288065844,-0.0478169865721445,0.9780725300554324,0.3599559979818528,20.10858841588028,14.262574661060093,0.6255144032921811,241,0.4605809128630705
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2020,42,cpu,21420,1.303606500005117,0.0059941999788861,0.5836196541786194,224,243,243,0.4789830508474576,0.4732510288065844,-0.0458257718512816,0.9833397919944216,0.3566428495414391,20.14185960467325,14.250906957395287,0.6995884773662552,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2020,42,cpu,21420,1.3590470999770332,0.0084526999853551,0.7752259373664856,224,243,243,0.4825084745762712,0.4773662551440329,-0.037451086190138,0.9420246757276676,0.3439582071014734,19.762593112375203,13.81500599281289,0.6790123456790124,241,0.5643153526970954
tcrc-lstm-posthoc-development-v1,tcrc_full,2020,42,cpu,21420,1.4596951999992598,0.0067683999950531,0.8865005970001221,224,243,243,0.4337627118644068,0.4320987654320987,-0.1333727807891683,0.7435806960290595,0.2741302401640938,18.43271664303849,12.259746188186025,0.5596707818930041,241,0.4647302904564315
tcrc-lstm-posthoc-development-v1,lstm_anchor,2020,456,cpu,21420,1.3391925999894738,0.009110100014368,0.8015773892402649,224,243,243,0.5,0.48559670781893,0.0,0.705635328804838,0.2561907705769345,18.11969738644828,11.771483424300994,1.0,241,0.4854771784232365
tcrc-lstm-posthoc-development-v1,cnn_residual,2020,456,cpu,21420,1.3606976000010036,0.0065918999898713,0.6499798893928528,224,243,243,0.4688474576271186,0.4650205761316872,-0.0646344618929224,0.8571464855604871,0.3186332574860909,19.407658639454382,13.183714300789308,0.6337448559670782,241,0.5518672199170125
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2020,456,cpu,21420,1.4109608000144362,0.0074824999901466,0.642589807510376,224,243,243,0.4464745762711864,0.4444444444444444,-0.1081339456557048,0.787242263100686,0.2909809961971724,19.050465852258256,12.600270327776348,0.5720164609053497,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2020,456,cpu,21420,1.3698883000179194,0.0070636000018566,0.8099484443664551,224,243,243,0.4730847457627118,0.4691358024691358,-0.0559779908891812,0.8188634365413495,0.3044808055658908,19.130710689586028,12.75345432907701,0.6378600823045267,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,tcrc_full,2020,456,cpu,21420,1.4296095999889076,0.0080668999871704,0.9301424026489258,224,243,243,0.4940338983050847,0.4897119341563786,-0.0125048547433649,0.7296927698137649,0.2672563563213306,18.42997215172914,12.038651546481857,0.6502057613168725,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,lstm_anchor,2020,789,cpu,21420,1.2919372000033036,0.0056872999994084,0.7272099256515503,224,243,243,0.4716949152542373,0.4650205761316872,-0.063918089549055,0.7497625554409905,0.2766698647948812,18.445397985063032,12.152941051644602,0.7325102880658436,241,0.5435684647302904
