fit_id,protocol_id,model,fold,test_year,arm,base_seed,window,feature_count,feature_hash,training_sequences,memory_up,memory_down,fit_seconds,inference_seconds,retrieval_seconds,trainable_parameters,final_training_loss
d7f6fe3c8e49ae23e4f8,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric-News,123,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1207,606,601,7.200756199992611,0.5131401999969967,0.163861100008944,9108,0.9897983074188232
8141c70a7e649e02a0de,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,1207,606,601,6.858294899997418,0.5228568999882555,0.1385526999947615,8988,0.98551207780838
50eb352c0bbd4dbfc341,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,1207,606,601,6.824731400003657,0.538824699993711,0.0497127999988151,9180,0.9513943791389464
50c4205277a40798907b,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric,2025,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1207,606,601,6.507001599995419,0.5062188000010792,0.1234601000032853,8916,0.9173051118850708
b6dd83c2857a853805e4,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric-News,2025,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1207,606,601,6.588158899990958,0.5486364999960642,0.1573004000092623,9108,0.8915192484855652
324f5c40ecf27cbd378c,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Regime-SHAP-Numeric,2025,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,1207,606,601,6.487604900001315,0.5114854999992531,0.1521337000012863,8988,0.9325795769691468
6a8619cd34e771fa6289,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,2025,5,133,575a8c387a14e32dd236a1d627c5a005e4370d777ca533c4b60272e5687148ea,1207,606,601,6.378670800011605,0.5022852999973111,0.0155090000043855,9180,0.923137068748474
e92d85204069b05ad5e8,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric,42,5,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1207,606,601,7.85468239999318,0.5621941999997944,0.1006804000062402,8916,0.9496910572052002
8e9f606edd0317b52e8b,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Global-Numeric-News,42,5,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1207,606,601,8.331552599993302,0.6268508000066504,0.0884162000002106,9108,0.909264862537384
bc78dcfa02277000819b,pit-dern-exploratory-v1,pit_dern,fold_3,2024,Regime-SHAP-Numeric,42,5,125,f9f73c978d7d4b0246529d54df3c6ccc278517349dcf8ec33bb376d0c73b587e,1207,606,601,8.411183199990774,0.6952154999889899,0.0465165000059641,8988,0.9743413925170898
