model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_1,2022,Global-Numeric,456,241,24.134475205880484,19.55028716102707,1.9877252567892487,-0.1758847218399264,0.4666666666666667,0.47403555618017,-0.0521492219336893,1.0,240,1,0,58,49,79,54,0.4291666666666666
pit_dern,fold_1,2022,Global-Numeric-News,456,241,26.948390132189733,21.298604303623808,2.163831530822688,-0.4660699100214018,0.4583333333333333,0.4774787435879418,-0.0479624274643364,1.0,240,1,0,70,37,93,40,0.3208333333333333
pit_dern,fold_1,2022,Regime-SHAP-Numeric,456,241,22.5772157500332,17.66153999795531,1.7982622778113329,-0.0290341662871043,0.4791666666666667,0.498102733469187,-0.0040269036808461,1.0,240,1,0,72,35,90,43,0.325
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,456,241,22.290763374286247,18.170481958163265,1.8473264318239928,-0.003087715096808,0.4875,0.5056215304616681,0.0118548834469894,1.0,240,1,0,72,35,88,45,0.3333333333333333
pit_dern,fold_1,2022,Global-Numeric,789,241,19.987859249273235,15.90293873708594,1.617623690285629,0.1934680181700055,0.5,0.5050242428501159,0.0100315820885713,1.0,240,1,0,59,48,72,61,0.4541666666666666
pit_dern,fold_1,2022,Global-Numeric-News,789,241,23.120686419024707,18.022025598471977,1.833720790857582,-0.0791715193371471,0.4958333333333333,0.5103998313540861,0.0214541282122093,1.0,240,1,0,69,38,83,50,0.3666666666666666
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,21.983740361246262,16.673665021217808,1.6986336734570875,0.0243541521868315,0.425,0.436441571217764,-0.1296942481591558,1.0,240,1,0,58,49,89,44,0.3875
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,27.9084293713049,21.229546213879708,2.165574275375435,-0.5723883600830044,0.5041666666666667,0.5087836413463565,0.0175248488380266,1.0,240,1,0,59,48,71,62,0.4583333333333333
pit_dern,fold_2,2023,Global-Numeric,123,243,25.578273328458373,20.934735143689288,2.260190575947332,0.6695298714180093,0.5082644628099173,0.5140487938596492,0.0286191399227703,1.0,242,1,0,53,75,44,70,0.5991735537190083
pit_dern,fold_2,2023,Global-Numeric-News,123,243,22.42562119306367,18.143424279884467,1.960407051173484,0.7459736749448496,0.4462809917355372,0.454015899122807,-0.0954318644800852,1.0,242,1,0,41,87,47,67,0.6363636363636364
pit_dern,fold_2,2023,Regime-SHAP-Numeric,123,243,20.124834416414835,15.860810393234107,1.710554266252838,0.7954241364343941,0.5165289256198347,0.520422149122807,0.0411371230846546,1.0,242,1,0,58,70,47,67,0.5661157024793388
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,123,243,21.45686991486505,16.623132862814693,1.7868018831131371,0.7674467045880498,0.5165289256198347,0.517064144736842,0.0340757870742973,1.0,242,1,0,65,63,54,60,0.5082644628099173
pit_dern,fold_2,2023,Global-Numeric,2025,243,25.063906205434154,19.74596225875092,2.1309340962842143,0.6826874312021756,0.4669421487603306,0.46875,-0.0625321485541551,1.0,242,1,0,56,72,57,57,0.5330578512396694
pit_dern,fold_2,2023,Global-Numeric-News,2025,243,21.7223476175966,17.30643976199302,1.856604141913951,0.7616565177133097,0.5371900826446281,0.5389939692982456,0.0779879385964912,1.0,242,1,0,65,63,49,65,0.5289256198347108
pit_dern,fold_2,2023,Regime-SHAP-Numeric,2025,243,20.00898751982296,15.721853147137784,1.6965181000950142,0.7977726046409896,0.5165289256198347,0.5189830043859649,0.0380325300441836,1.0,242,1,0,61,67,50,64,0.5413223140495868
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,2025,243,20.77487771910005,16.643120002920796,1.802767943582735,0.7819948696644061,0.4752066115702479,0.4823190789473684,-0.0364403988106158,1.0,242,1,0,46,82,45,69,0.6239669421487604
pit_dern,fold_2,2023,Global-Numeric,42,243,20.48447673831375,15.720595520829084,1.6937149686842945,0.7880470278284573,0.4917355371900826,0.4984237938596491,-0.0032349368916272,1.0,242,1,0,49,79,44,70,0.6157024793388429
pit_dern,fold_2,2023,Global-Numeric-News,42,243,21.648386562505536,17.3593194578886,1.871447386071235,0.7632767960799987,0.4834710743801653,0.4954084429824561,-0.0100674656926413,1.0,242,1,0,37,91,34,80,0.7066115702479339
