model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_2,2023,Global-Numeric,5,243,19.74036512201195,16.230237435012203,1.7472320208110435,0.8031659973432275,0.5743801652892562,0.5727110745614035,0.14549695091218998,1.0,242,1,0,77,51,52,62,0.4669421487603306
lstm_attention,fold_2,2023,Global-Numeric-News,5,243,21.453524426368617,17.078808661713992,1.8482523433677907,0.7675192169093419,0.5165289256198347,0.5256990131578947,0.054046334467449685,1.0,242,1,0,47,81,36,78,0.6570247933884298
lstm_attention,fold_2,2023,Regime-SHAP-Numeric,5,243,19.687249937657146,15.028994436482835,1.637832998108271,0.8042238104957101,0.5165289256198347,0.5117872807017544,0.023863315814044515,1.0,242,1,0,76,52,65,49,0.41735537190082644
lstm_attention,fold_2,2023,Regime-SHAP-Numeric-News,5,243,19.234872163076897,14.349091583912745,1.5656466118627446,0.8131176140411168,0.5289256198347108,0.5244654605263158,0.049462572240347336,1.0,242,1,0,77,51,63,51,0.4214876033057851
lstm_attention,fold_3,2024,Global-Numeric,5,244,26.438998488425998,22.402956369732248,2.646226771559446,0.6395372165850356,0.5368852459016393,0.5470421966484958,0.10796446606688857,1.0,244,0,0,38,89,24,93,0.7459016393442623
lstm_attention,fold_3,2024,Global-Numeric-News,5,244,22.408843478962805,18.172253789921253,2.1410512597310603,0.7410539335467958,0.5532786885245902,0.5661551921394441,0.16899630579268238,1.0,244,0,0,32,95,14,103,0.8114754098360656
lstm_attention,fold_3,2024,Regime-SHAP-Numeric,5,244,20.00541083305429,15.862911152288058,1.84921736912219,0.7936210583767607,0.48360655737704916,0.4961975906857797,-0.009633888377599027,1.0,244,0,0,24,103,23,94,0.8073770491803278
lstm_attention,fold_3,2024,Regime-SHAP-Numeric-News,5,244,20.312429181832826,15.272619157046556,1.7828895892309307,0.7872379529033796,0.5245901639344263,0.5359041658254257,0.08585337673287284,1.0,244,0,0,33,94,22,95,0.7745901639344263
lstm_attention,fold_4,2025,Global-Numeric,5,234,39.45854000147318,31.18863530865794,4.083967091215138,0.3989636589789398,0.5085470085470085,0.5182017543859649,0.055221775315869207,1.0,234,0,0,17,103,12,102,0.8760683760683761
lstm_attention,fold_4,2025,Global-Numeric-News,5,234,23.641338364629895,18.75376443277516,2.4095869663684346,0.7842440279329191,0.5085470085470085,0.5116228070175438,0.02393343679045498,1.0,234,0,0,47,73,42,72,0.6196581196581197
