model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_3,2024,789,Regime-SHAP-Numeric-News,10,3,18.13206259999424,1.790546300006099,23347,244,22.825612735740204,16.327002261647422,1.8998700486279223,0.7313323842852348,0.5286885245901639,0.5374856989030217,0.0828069436356647,1.0,244,0,0,41,86,29,88,0.7131147540983607
lstm_attention,fold_4,2025,123,Global-Numeric,10,1,7.842283099991619,0.4976433999981964,10129,234,131.67266735189077,121.60314171868508,15.686461163532869,-5.692832786353995,0.4871794871794871,0.5,0.0,1.0,234,0,0,0,120,0,114,1.0
lstm_attention,fold_4,2025,123,Global-Numeric-News,10,1,7.644227099997806,0.5211508999927901,10641,234,27.74473610196645,21.9761170712037,2.8295653036509107,0.7028471467713621,0.5555555555555556,0.5607456140350877,0.1326224439348282,1.0,234,0,0,43,77,27,87,0.7008547008547008
lstm_attention,fold_4,2025,123,Regime-SHAP-Numeric,10,3,15.707200500022736,1.4764313000050606,21811,234,20.65598620174186,15.597549723113891,2.011596696400173,0.8352935610252026,0.4829059829059829,0.4857456140350877,-0.0292302711096833,1.0,234,0,0,45,75,46,68,0.6111111111111112
lstm_attention,fold_4,2025,123,Regime-SHAP-Numeric-News,10,3,15.613773500008392,1.500283599991235,23347,234,25.28481612591554,18.89324208021689,2.425711383794672,0.7532038914515087,0.5256410256410257,0.531140350877193,0.068865373796793,1.0,234,0,0,38,82,29,85,0.7136752136752137
lstm_attention,fold_4,2025,2025,Global-Numeric,10,1,7.855133199991542,0.4910249999957159,10129,234,22.917709702163197,18.27474771897508,2.340775679061914,0.797249872545127,0.5128205128205128,0.5151315789473684,0.0307526207697901,1.0,234,0,0,51,69,45,69,0.5897435897435898
lstm_attention,fold_4,2025,2025,Global-Numeric-News,10,1,7.813920600005076,0.5199199000053341,10641,234,21.59728815960685,17.464422304676134,2.232526042987358,0.819940038174249,0.5170940170940171,0.519078947368421,0.0386049480851588,1.0,234,0,0,53,67,46,68,0.5769230769230769
lstm_attention,fold_4,2025,2025,Regime-SHAP-Numeric,10,3,15.470848800017848,1.7401017000083812,21811,234,24.858973701435275,19.20145913812912,2.4700927588046966,0.7614468817421889,0.5299145299145299,0.5361842105263158,0.0828403445552069,1.0,234,0,0,35,85,25,89,0.7435897435897436
lstm_attention,fold_4,2025,2025,Regime-SHAP-Numeric-News,10,3,16.079288399996585,1.537310300001991,23347,234,29.69716935469496,24.035030721440968,3.0688694542855903,0.6595535426543457,0.5213675213675214,0.5278508771929824,0.0644824591909279,1.0,234,0,0,33,87,25,89,0.7521367521367521
lstm_attention,fold_4,2025,42,Global-Numeric,10,1,9.341909800001304,0.7293355000001611,10129,234,24.43354049363273,19.34158368965627,2.4701923681041804,0.7695421466405473,0.5085470085470085,0.5092105263157894,0.0184392582554902,1.0,234,0,0,58,62,53,61,0.5256410256410257
lstm_attention,fold_4,2025,42,Global-Numeric-News,10,1,9.038268800009972,0.6357866000034846,10641,234,22.829227366679223,17.926475472669317,2.2837089295842428,0.7988124347197748,0.5128205128205128,0.5135964912280702,0.0272328256752466,1.0,234,0,0,58,62,52,62,0.5299145299145299
lstm_attention,fold_4,2025,42,Regime-SHAP-Numeric,10,3,18.056074199994328,1.8838322999945376,21811,234,30.83415152442885,24.088986603862192,3.064499514994976,0.63298593108459,0.5470085470085471,0.5530701754385965,0.1202163393853834,1.0,234,0,0,38,82,24,90,0.7350427350427351
lstm_attention,fold_4,2025,42,Regime-SHAP-Numeric-News,10,3,16.8522621000011,1.551094499998726,23347,234,26.807064345824543,21.193609230538712,2.6968882326443797,0.7225931239849979,0.5085470085470085,0.5155701754385965,0.0371868445369832,1.0,234,0,0,29,91,24,90,0.7735042735042735
lstm_attention,fold_4,2025,456,Global-Numeric,10,1,8.225704500000575,0.5362472999986494,10129,234,39.321685116136486,31.239955202499004,4.072959036747097,0.4031256029623269,0.5170940170940171,0.5199561403508772,0.0409223795535567,1.0,234,0,0,49,71,42,72,0.6111111111111112
lstm_attention,fold_4,2025,456,Global-Numeric-News,10,1,7.944271699991077,0.523071899995557,10641,234,40.71214554803182,33.10136895398044,4.297443872231755,0.3601669211252826,0.5042735042735043,0.5072368421052632,0.0148702969369865,1.0,234,0,0,47,73,43,71,0.6153846153846154
lstm_attention,fold_4,2025,456,Regime-SHAP-Numeric,10,3,16.152607399999397,1.5759881999983918,21811,234,25.162034032218003,19.25859559684482,2.4875686877069385,0.7555949367139079,0.5341880341880342,0.5383771929824561,0.0811272688406513,1.0,234,0,0,45,75,34,80,0.6623931623931624
lstm_attention,fold_4,2025,456,Regime-SHAP-Numeric-News,10,3,15.700728099996924,1.504057600031956,23347,234,24.496362452217564,18.650656801980528,2.4150984408652816,0.768355546120005,0.5128205128205128,0.5182017543859649,0.0400753933443302,1.0,234,0,0,37,83,31,83,0.7094017094017094
lstm_attention,fold_4,2025,789,Global-Numeric,10,1,7.815538900002139,0.7337478999979794,10129,234,20.26122228279083,15.846320478607954,2.010481198421141,0.841528929985127,0.5256410256410257,0.5252192982456141,0.0504515060574439,1.0,234,0,0,65,55,56,58,0.4829059829059829
lstm_attention,fold_4,2025,789,Global-Numeric-News,10,1,8.083923099999083,0.5733361999882618,10641,234,20.54574244834587,16.432505135615155,2.0811547512521336,0.8370469898292724,0.5042735042735043,0.5041666666666667,0.0083308977543442,1.0,234,0,0,61,59,57,57,0.4957264957264957
lstm_attention,fold_4,2025,789,Regime-SHAP-Numeric,10,3,15.446373200014932,1.5151705000171205,21811,234,27.51869294459131,22.33087603457335,2.847942621478014,0.7076693765646903,0.5085470085470085,0.5144736842105263,0.0326199887789953,1.0,234,0,0,34,86,29,85,0.7307692307692307
lstm_attention,fold_4,2025,789,Regime-SHAP-Numeric-News,10,3,15.538192100008018,1.7257476999948267,23347,234,28.62091075473268,22.80010136740712,2.9001197650373536,0.6837827139827685,0.5299145299145299,0.5364035087719299,0.0842841592574333,1.0,234,0,0,34,86,24,90,0.7521367521367521
lstm_cnn,fold_1,2022,123,Global-Numeric,20,1,6.8373100999888266,0.52237310000055,10737,241,30.575451115402856,23.384479199969416,2.3862330142073622,-0.8872732098484752,0.4916666666666666,0.4984189445576558,-0.0031683508727694,1.0,240,1,0,60,47,75,58,0.4375
lstm_cnn,fold_1,2022,123,Global-Numeric-News,20,1,6.7639170000038575,0.5248087999934796,11249,241,37.97130927572528,27.594406743910323,2.8115955019717807,-1.9107182746058355,0.4833333333333333,0.5155646124657438,0.03838586161193,1.0,240,1,0,87,20,104,29,0.2041666666666666
lstm_cnn,fold_1,2022,123,Regime-SHAP-Numeric,20,3,13.875166500016348,1.5818376000097487,23635,241,23.90437730446308,19.44320420828596,1.9835644783585475,-0.1535698544150894,0.5291666666666667,0.5240320427236315,0.048021923220998,1.0,240,1,0,51,56,57,76,0.55
lstm_cnn,fold_1,2022,123,Regime-SHAP-Numeric-News,20,3,13.906946400005836,1.5256750999978976,25171,241,17.70634333152501,14.080132593144018,1.436568269718841,0.367082956992372,0.5458333333333333,0.5390696367085939,0.078379223041772,1.0,240,1,0,51,56,53,80,0.5666666666666667
lstm_cnn,fold_1,2022,2025,Global-Numeric,20,1,7.270031699998071,0.513334000002942,10737,241,32.73307937005409,26.78236032597256,2.7299329590142625,-1.1630310581864602,0.4708333333333333,0.4640924741760944,-0.0718832748883775,1.0,240,1,0,43,64,63,70,0.5583333333333333
lstm_cnn,fold_1,2022,2025,Global-Numeric-News,20,1,6.765926399995806,0.5155263000051491,11249,241,41.03655549854573,30.829642309049365,3.1480088710646377,-2.399623545162356,0.45,0.4653924530953551,-0.0719354904990025,1.0,240,1,0,65,42,90,43,0.3541666666666667
lstm_cnn,fold_1,2022,2025,Regime-SHAP-Numeric,20,3,14.524562300008256,1.5547143999865511,23635,241,24.32157241007798,20.48359251221184,2.093865799280043,-0.1941869646850604,0.5,0.48310027404961,-0.0353214476353308,1.0,240,1,0,35,72,48,85,0.6541666666666667
lstm_cnn,fold_1,2022,2025,Regime-SHAP-Numeric-News,20,3,15.577537300006952,1.788021000000299,25171,241,23.413938063228667,19.68763782811361,2.009074991796976,-0.1067205103720358,0.4916666666666666,0.4819759679572764,-0.0363975794044851,1.0,240,1,0,42,65,57,76,0.5875
lstm_cnn,fold_1,2022,42,Global-Numeric,20,1,6.759612800000468,0.5490437999978894,10737,241,21.8230279920544,17.0088935331487,1.7312722237792546,0.0385669490174329,0.5083333333333333,0.511629541142576,0.0231616344062273,1.0,240,1,0,58,49,69,64,0.4708333333333333
lstm_cnn,fold_1,2022,42,Global-Numeric-News,20,1,6.824507299999823,0.48093869999866,11249,241,23.05262022214139,18.5764018634147,1.893667863652403,-0.0728268135077816,0.4875,0.4718220785608882,-0.0584180522637316,1.0,240,1,0,35,72,51,82,0.6416666666666667
lstm_cnn,fold_1,2022,42,Regime-SHAP-Numeric,20,3,14.258134900010193,1.543736000006902,23635,241,29.034382710687527,20.307913957769923,2.0871967731067294,-0.7018223480122643,0.5541666666666667,0.5447614363010329,0.0905304144607913,1.0,240,1,0,49,58,49,84,0.5916666666666667
lstm_cnn,fold_1,2022,42,Regime-SHAP-Numeric-News,20,3,14.050143799991927,1.7416221000021324,25171,241,40.59460476737858,32.13293893367423,3.285314451754082,-2.326792112271597,0.5458333333333333,0.5527721172089101,0.1056444998848757,1.0,240,1,0,66,41,68,65,0.4416666666666666
lstm_cnn,fold_1,2022,456,Global-Numeric,20,1,6.888730100006796,0.6152559999900404,10737,241,30.076133365697704,24.588749059329857,2.5054593084087484,-0.8261356383340674,0.5333333333333333,0.5095214672194505,0.0211004213942831,1.0,240,1,0,31,76,36,97,0.7208333333333333
