model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,holm_adjusted_pvalue,holm_family_size,minimum_attainable_nonzero_pvalue
lstm_cnn_attention,regime_shap_effect_without_news,mcc_delta,4,0.028329115286382253,0.06716013142373115,-0.0785376407695471,0.1351958713423116,2,2,0,0.5,1.0,5,0.125
lstm_cnn_attention,regime_shap_effect_without_news,rmse_delta,4,-8.49760006449079,12.904821025929504,-29.0320500616528,12.03684993267122,1,3,0,0.375,1.0,5,0.125
lstm_cnn_attention,regime_shap_effect_without_news,mae_delta,4,-6.913511523121839,7.95784794826895,-19.576223423613072,5.749200377369396,1,3,0,0.25,0.75,5,0.125
cnn,regime_pipeline_news_effect,balanced_accuracy_delta_pp,4,-1.7896945928421115,6.139566744838056,-11.559115344420112,7.979726158735889,1,3,0,0.625,1.0,5,0.125
cnn,regime_pipeline_news_effect,direction_accuracy_delta_pp,4,-1.7881783413638832,6.728673375871327,-12.494999203617029,8.918642520889263,1,3,0,0.625,1.0,5,0.125
cnn,regime_pipeline_news_effect,mcc_delta,4,-0.037783591685206425,0.1261302198012784,-0.23848491768084162,0.16291773431042877,1,3,0,0.625,1.0,5,0.125
cnn,regime_pipeline_news_effect,rmse_delta,4,2.5836220783964428,4.381553148579224,-4.388406736154847,9.555650892947734,3,1,0,0.375,1.0,5,0.125
cnn,regime_pipeline_news_effect,mae_delta,4,2.079008525103384,4.160980369928632,-4.542039777216476,8.700056827423243,2,2,0,0.5,1.0,5,0.125
lstm,regime_pipeline_news_effect,balanced_accuracy_delta_pp,4,0.12800378377651334,3.597742844258715,-5.5968079272605085,5.852815494813536,3,1,0,0.875,1.0,5,0.125
lstm,regime_pipeline_news_effect,direction_accuracy_delta_pp,4,0.11520288578783378,3.4479111226756216,-5.371193120865939,5.601598892441608,2,1,1,1.0,1.0,5,0.125
lstm,regime_pipeline_news_effect,mcc_delta,4,-0.0005070779542907557,0.07981297547099207,-0.12750733240499187,0.12649317649641037,3,1,0,1.0,1.0,5,0.125
lstm,regime_pipeline_news_effect,rmse_delta,4,0.6401500609851984,1.2516694738013232,-1.3515353851828609,2.6318355071532578,3,1,0,0.375,1.0,5,0.125
lstm,regime_pipeline_news_effect,mae_delta,4,0.8324384069982216,1.3787219905089667,-1.3614159453564914,3.0262927593529345,3,1,0,0.375,1.0,5,0.125
lstm_attention,regime_pipeline_news_effect,balanced_accuracy_delta_pp,4,1.033805216128468,2.138635209815322,-2.3692406447853345,4.43685107704227,2,2,0,0.5,1.0,5,0.125
lstm_attention,regime_pipeline_news_effect,direction_accuracy_delta_pp,4,1.0166656389644477,2.243734158005636,-2.5536161016281187,4.586947379557014,2,2,0,0.625,1.0,5,0.125
lstm_attention,regime_pipeline_news_effect,mcc_delta,4,0.027577254443020862,0.04768062411804443,-0.04829325858603825,0.10344776747207998,2,2,0,0.5,1.0,5,0.125
lstm_attention,regime_pipeline_news_effect,rmse_delta,4,-0.034561930561600285,1.245565719098593,-2.0165349409286266,1.9474110798054263,2,2,0,1.0,1.0,5,0.125
lstm_attention,regime_pipeline_news_effect,mae_delta,4,-0.4843331476049366,1.2199644247209305,-2.42556878562062,1.4569024904107466,1,3,0,0.5,1.0,5,0.125
lstm_cnn,regime_pipeline_news_effect,balanced_accuracy_delta_pp,4,-1.2627590103914414,2.9744502516368834,-5.995773117178264,3.4702550963953813,1,3,0,0.5,1.0,5,0.125
lstm_cnn,regime_pipeline_news_effect,direction_accuracy_delta_pp,4,-1.5258095832797776,3.0562035273176273,-6.388911395134135,3.33729222857458,1,3,0,0.5,1.0,5,0.125
lstm_cnn,regime_pipeline_news_effect,mcc_delta,4,-0.029152362517824045,0.07188822115605446,-0.1435425644235958,0.08523783938794771,1,3,0,0.375,1.0,5,0.125
lstm_cnn,regime_pipeline_news_effect,rmse_delta,4,6.359397341936034,5.75812019082299,-2.803056821397637,15.521851505269705,4,0,0,0.125,0.625,5,0.125
lstm_cnn,regime_pipeline_news_effect,mae_delta,4,4.941277263894603,4.586679528672539,-2.3571533958788393,12.239707923668046,4,0,0,0.125,0.625,5,0.125
lstm_cnn_attention,regime_pipeline_news_effect,balanced_accuracy_delta_pp,4,-0.40493814454054533,1.1832606584278145,-2.2877698998414564,1.4778936107603657,1,3,0,0.5,1.0,5,0.125
lstm_cnn_attention,regime_pipeline_news_effect,direction_accuracy_delta_pp,4,-0.41689970900105067,1.0654819171390009,-2.112319204274154,1.2785197862720525,1,2,1,0.5,1.0,5,0.125
lstm_cnn_attention,regime_pipeline_news_effect,mcc_delta,4,-0.011850446562100249,0.025815533600863486,-0.05292872132560512,0.02922782820140462,1,3,0,0.5,1.0,5,0.125
lstm_cnn_attention,regime_pipeline_news_effect,rmse_delta,4,1.2594579854787717,2.343293269909276,-2.4692445190313554,4.988160489988899,2,2,0,0.5,1.0,5,0.125
lstm_cnn_attention,regime_pipeline_news_effect,mae_delta,4,1.2751929106052344,2.376845699070312,-2.5068989960133186,5.057284817223787,2,2,0,0.5,1.0,5,0.125
cnn,final_integrated_effect,balanced_accuracy_delta_pp,4,-0.30310087106264216,3.356773193990287,-5.644476095508463,5.038274353383179,2,2,0,1.0,1.0,5,0.125
cnn,final_integrated_effect,direction_accuracy_delta_pp,4,0.08501521867766404,3.7015905626672447,-5.80504138624007,5.975071823595398,2,2,0,1.0,1.0,5,0.125
cnn,final_integrated_effect,mcc_delta,4,-0.012281060073138938,0.06194599907114825,-0.110850968008698,0.08628884786242012,2,2,0,0.75,1.0,5,0.125
cnn,final_integrated_effect,rmse_delta,4,-2.768462121886402,8.567276703483923,-16.400911167561578,10.863986923788772,1,3,0,0.625,1.0,5,0.125
cnn,final_integrated_effect,mae_delta,4,-3.131803153060122,7.561782720267717,-15.16428689279931,8.900680586679066,1,3,0,0.375,1.0,5,0.125
lstm,final_integrated_effect,balanced_accuracy_delta_pp,4,0.16005295040387446,2.3935484286575504,-3.6486167262462126,3.9687226270539617,2,2,0,0.875,1.0,5,0.125
lstm,final_integrated_effect,direction_accuracy_delta_pp,4,1.1688625478677634,3.605258275306989,-4.5679078910553566,6.905632986790883,3,1,0,0.5,1.0,5,0.125
lstm,final_integrated_effect,mcc_delta,4,-0.008787901475133707,0.06424549295658633,-0.11101681732056086,0.09344101437029344,1,3,0,0.875,1.0,5,0.125
lstm,final_integrated_effect,rmse_delta,4,1.9358675895521484,6.7272710897803565,-8.768721922606417,12.640457101710716,3,1,0,0.625,1.0,5,0.125
lstm,final_integrated_effect,mae_delta,4,1.5029977730439628,5.591491395608691,-7.39431279344785,10.400308339535776,3,1,0,0.625,1.0,5,0.125
lstm_attention,final_integrated_effect,balanced_accuracy_delta_pp,4,-0.9944712540283729,2.860347738577249,-5.545922800260055,3.5569802922033085,1,3,0,0.625,1.0,5,0.125
lstm_attention,final_integrated_effect,direction_accuracy_delta_pp,4,0.5487806819774053,4.4557713120044085,-6.541345792562616,7.638907156517426,2,2,0,0.75,1.0,5,0.125
lstm_attention,final_integrated_effect,mcc_delta,4,-0.028185237043893967,0.057702767942604934,-0.1200032173657031,0.06363274327791518,1,3,0,0.5,1.0,5,0.125
