fit_id,model,fold,test_year,base_seed,arm,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
618233d346897aad697d,cnn,fold_3,2024,789,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1192,4.194982799999707,0.2618234999972628,1073
01a7ebb95343eac45b2f,cnn,fold_3,2024,789,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.518435899997712,0.2420434000014211,12785
06921440b058898c9223,cnn,fold_3,2024,789,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.422957100003259,0.2597519999981159,12785
2f33c3d9dbed25ec4da8,cnn,fold_3,2024,789,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.505127399999765,0.2300574000037158,12785
adddff7d2e5f10ff7246,cnn,fold_3,2024,2025,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1192,4.021612900003674,0.2472553999978117,1073
bb5fae6d0141d7369ef7,cnn,fold_3,2024,2025,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.494577099998423,0.2364792000007582,12785
4d1d47da9a5f6e87c557,cnn,fold_3,2024,2025,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.467448700001114,0.4249541000026511,12785
813df9509d14557c5b89,cnn,fold_3,2024,2025,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1192,5.630716399995436,0.2510531000007177,12785
e6be9f3476609338fd8b,cnn,fold_4,2025,42,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,4.691161599999759,0.252777400004561,1073
b091898b6153efd0e60a,cnn,fold_4,2025,42,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.865011299996695,0.2394877999977325,12785
4930279ffbfafa260a1c,cnn,fold_4,2025,42,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.087257599996519,0.2513475000014296,12785
dac2f1d49c9f074cdc4f,cnn,fold_4,2025,42,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.84908450000512,0.2442116000020178,12785
1182920432763e7a53d8,cnn,fold_4,2025,123,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,4.709702100000868,0.2582443999999668,1073
4f6c86fa6721d55a7823,cnn,fold_4,2025,123,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.938248300000851,0.2287862000011955,12785
007432bb093b1f9a437b,cnn,fold_4,2025,123,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.356062399994698,0.266863299999386,12785
6b4c3cd5cdba3de982f0,cnn,fold_4,2025,123,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.750274399993941,0.2888707000020076,12785
4416107be763adf37c8d,cnn,fold_4,2025,456,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,4.450195700002951,0.2425310999969951,1073
fdd8e6ba1d445e109d44,cnn,fold_4,2025,456,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.873167099998682,0.2257702999995672,12785
566fce3ec943eb20c83f,cnn,fold_4,2025,456,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.19291130000056,0.2553719999996247,12785
e97a1242b6cc9684de00,cnn,fold_4,2025,456,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.824477900001511,0.2753863999969326,12785
3778c9989cda11fc083c,cnn,fold_4,2025,789,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,4.403355999995256,0.2225106000041705,1073
8168ada2a3f0ec7bc187,cnn,fold_4,2025,789,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.085921900004905,0.2607936999993399,12785
bac6a438e39a58f9c32b,cnn,fold_4,2025,789,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.061863700000686,0.2179984999966109,12785
896299e3c5812d05070e,cnn,fold_4,2025,789,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.9210832999960985,0.2598732000042218,12785
eee13d440a32ee899b2b,cnn,fold_4,2025,2025,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,4.47048299999733,0.2225574000040069,1073
718ba0cb01e9f14a309f,cnn,fold_4,2025,2025,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.053861500004132,0.2689747999975225,12785
bd9f5f3faa5cd73e4b1c,cnn,fold_4,2025,2025,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,6.144254899998487,0.23790210000152,12785
a7313d0eff632e273ff5,cnn,fold_4,2025,2025,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,5.9805211999992025,0.2645625000004656,12785
6a0813980a3e0ad0ccf8,lstm,fold_1,2022,42,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,723,4.275422200000321,0.3661675000039395,1745
7e293fbf46af994b6e49,lstm,fold_1,2022,42,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.809346200003347,0.3710281000021496,9553
1cc35559bd638178a825,lstm,fold_1,2022,42,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.756340400002955,0.3726058999964152,9553
967d648e87d5a4b308b0,lstm,fold_1,2022,42,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.723126000004413,0.3730967000010423,9553
d96b5c3ad2b6b00a7ef5,lstm,fold_1,2022,123,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,723,3.996567700000014,0.3705528999998932,1745
5b5fc9ac97fbab7a7adc,lstm,fold_1,2022,123,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.614228999998886,0.3809088000052725,9553
5e59c99c4e7fbe3a7010,lstm,fold_1,2022,123,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.7712835000056657,0.3764938999956939,9553
d7359320e9646a06422b,lstm,fold_1,2022,123,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.79763990000356,0.3899413000035565,9553
c90e3b8089a5a47f4cd3,lstm,fold_1,2022,456,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,723,3.858633199997712,0.396000599997933,1745
fba57e49ad0579970253,lstm,fold_1,2022,456,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.700010599997768,0.3695465999990119,9553
8781ca83d46a211a7daa,lstm,fold_1,2022,456,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.6751536000010674,0.3706470999968587,9553
f929e173c294b436dbdf,lstm,fold_1,2022,456,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,4.0056838000018615,0.5047481000001426,9553
4d59cbd3a16caed0ba70,lstm,fold_1,2022,789,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,723,3.954349799998454,0.4356179000023985,1745
68b157d377fc0dfeba81,lstm,fold_1,2022,789,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,4.009842800005572,0.3991218000010121,9553
3718fc2f8605854221f0,lstm,fold_1,2022,789,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.816165900003398,0.3726327000040328,9553
6def17e89db3dc0f4fef,lstm,fold_1,2022,789,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.900816699999268,0.3840475999968475,9553
dd17ad2c4169e81e6b5c,lstm,fold_1,2022,2025,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,723,3.8594396999978926,0.3690827999962494,1745
3c6648a874f12e19366a,lstm,fold_1,2022,2025,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.780519799998729,0.3685817000005045,9553
6c7a5e636c4993777d6a,lstm,fold_1,2022,2025,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.753014100002474,0.3675258000002941,9553
b02dd3710886593c84ba,lstm,fold_1,2022,2025,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,723,3.74544550000428,0.3545254999989993,9553
ee07dab9ca493da38c7b,lstm,fold_2,2023,42,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,964,4.154833400003554,0.3550739000056637,1745
3665daa8d75956a84e71,lstm,fold_2,2023,42,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,4.146922499996435,0.50738629999978,9553
388d553a5a3088d49c04,lstm,fold_2,2023,42,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,4.103535000002012,0.3648862000045483,9553
c4204e9ae417e88ad720,lstm,fold_2,2023,42,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,4.181117100000847,0.3809608000010485,9553
7c67fdc7131de9691d82,lstm,fold_2,2023,123,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,964,4.202278499993554,0.349387200003548,1745
2edf37da1c611b71e205,lstm,fold_2,2023,123,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,964,4.159317099998589,0.3819393000012496,9553
