model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_1,2022,Global-Numeric-Lagged-News,5,241,11.700228723402892,9.201736580963452,0.9365146752830286,0.7236383788399527,0.48333333333333334,0.48176516056496377,-0.03626637617064696,1.0,240,1,0,50,57,67,66,0.5125
lstm,fold_1,2022,Global-Numeric-Random-Features,5,241,11.582248361256038,9.17115032185855,0.9343155181223062,0.729183715753339,0.475,0.4742463635724826,-0.05120591128533774,1.0,240,1,0,50,57,69,64,0.5041666666666667
lstm,fold_2,2023,News-Only,5,243,52.86580486972187,41.96198781396234,4.629349360838204,-0.4116903918497459,0.5371900826446281,0.5442708333333333,0.09104698314659646,1.0,242,1,0,54,74,38,76,0.6198347107438017
lstm,fold_2,2023,Global-Numeric-Shuffled-News,5,243,10.47835084787642,8.299780497039785,0.8963273180007135,0.9445405404114638,0.5702479338842975,0.5649671052631579,0.1321254984195604,1.0,242,1,0,84,44,60,54,0.4049586776859504
lstm,fold_2,2023,Global-Numeric-Lagged-News,5,243,12.336039559119033,9.882795004786777,1.0607960237664635,0.9231327633870654,0.5661157024793388,0.5562637061403508,0.11978664310685892,1.0,242,1,0,93,35,70,44,0.32644628099173556
lstm,fold_2,2023,Global-Numeric-Random-Features,5,243,11.683488489096067,9.370112738107945,1.010643885195306,0.9310499109139194,0.5578512396694215,0.5522889254385965,0.10651904273694539,1.0,242,1,0,83,45,62,52,0.40082644628099173
lstm,fold_3,2024,News-Only,5,244,90.24267172893819,79.38551774430174,9.423359564314874,-3.199468432717053,0.5409836065573771,0.5546806649168854,0.14612301570209763,1.0,244,0,0,28,99,13,104,0.8319672131147541
lstm,fold_3,2024,Global-Numeric-Shuffled-News,5,244,14.908665847401341,12.385940305731319,1.4544341959938156,0.8853832753579388,0.5204918032786885,0.5356686183457837,0.10557671728680242,1.0,244,0,0,21,106,11,106,0.8688524590163934
lstm,fold_3,2024,Global-Numeric-Lagged-News,5,244,15.18381845009948,12.225876074367354,1.4335037175923904,0.88111352877471,0.5245901639344263,0.5409516118177535,0.13492851018624583,1.0,244,0,0,18,109,7,110,0.8975409836065574
lstm,fold_3,2024,Global-Numeric-Random-Features,5,244,15.176121491570443,12.37210437973697,1.450612900419344,0.8812340297290904,0.5245901639344263,0.5365771586244028,0.08988164458027395,1.0,244,0,0,31,96,20,97,0.7909836065573771
lstm,fold_4,2025,News-Only,5,234,129.47663633913967,115.04364326338786,14.914662977441647,-5.471448878537282,0.49572649572649574,0.5081140350877192,0.0625771834629858,1.0,234,0,0,3,117,1,113,0.9829059829059829
lstm,fold_4,2025,Global-Numeric-Shuffled-News,5,234,11.044322116160856,8.462205713366647,1.0734467416584899,0.9529134536583466,0.5470085470085471,0.5458333333333334,0.09204423029277109,1.0,234,0,0,71,49,57,57,0.452991452991453
lstm,fold_4,2025,Global-Numeric-Lagged-News,5,234,13.224945221649058,10.374168335244988,1.3341126189872998,0.9324840361904437,0.49145299145299143,0.4951754385964912,-0.010080994149016231,1.0,234,0,0,42,78,41,73,0.6452991452991453
lstm,fold_4,2025,Global-Numeric-Random-Features,5,234,12.11077051249513,9.407211920677668,1.1808841094644595,0.9433809918006758,0.5427350427350427,0.5364035087719299,0.08380525648430658,1.0,234,0,0,94,26,81,33,0.25213675213675213
cnn,fold_1,2022,News-Only,5,241,70.2291853426972,63.63026062555238,6.436877830728724,-8.956903304071858,0.4375,0.483346216007308,-0.06285616679349751,1.0,240,1,0,97,10,125,8,0.075
cnn,fold_1,2022,Global-Numeric-Shuffled-News,5,241,27.868752974337493,22.38825423798224,2.2779049338837725,-0.5679207236223596,0.48333333333333334,0.4698896774646898,-0.06169490250078081,1.0,240,1,0,37,70,54,79,0.6208333333333333
cnn,fold_1,2022,Global-Numeric-Lagged-News,5,241,21.470183780135358,17.30793055443545,1.7628993139886953,0.06940534861794945,0.4708333333333333,0.4604384793760101,-0.08001353742766956,1.0,240,1,0,39,68,59,74,0.5916666666666667
cnn,fold_1,2022,Global-Numeric-Random-Features,5,241,23.796755166119254,19.259833336915204,1.961565707789617,-0.14320604698487682,0.475,0.46237088047220853,-0.07678415687034601,1.0,240,1,0,37,70,56,77,0.6125
cnn,fold_2,2023,News-Only,5,243,49.86601823032424,40.7939405925686,4.483020032927945,-0.2560274895981558,0.5082644628099173,0.5097313596491229,0.019454055427017357,1.0,242,1,0,62,66,53,61,0.5247933884297521
cnn,fold_2,2023,Global-Numeric-Shuffled-News,5,243,19.584427959322984,16.10277062357698,1.7336199395916674,0.8062634582627382,0.5743801652892562,0.5755893640350878,0.15100807113150808,1.0,242,1,0,71,57,46,68,0.5165289256198347
cnn,fold_2,2023,Global-Numeric-Lagged-News,5,243,20.54750677558453,16.562521390741246,1.7850209865332307,0.7867406769636824,0.5661157024793388,0.5692160087719298,0.13888485492452166,1.0,242,1,0,66,62,43,71,0.5495867768595041
cnn,fold_2,2023,Global-Numeric-Random-Features,5,243,19.135107827653655,15.455598631618448,1.6580876917051717,0.815051169566873,0.5413223140495868,0.5376233552631579,0.07578617642105842,1.0,242,1,0,77,51,60,54,0.43388429752066116
cnn,fold_3,2024,News-Only,5,244,84.47671134458645,74.92151872096295,8.864750402523443,-2.6799712775695084,0.5409836065573771,0.5516521973214886,0.12053182113563636,1.0,244,0,0,37,90,22,95,0.7581967213114754
cnn,fold_3,2024,Global-Numeric-Shuffled-News,5,244,29.18865254264752,23.97421511423684,2.843201730903197,0.5606622460113572,0.5368852459016393,0.5497341678444041,0.1270480874677439,1.0,244,0,0,30,97,16,101,0.8114754098360656
cnn,fold_3,2024,Global-Numeric-Lagged-News,5,244,28.10517446187427,22.67747047363342,2.6843531135855816,0.5926731835561877,0.5081967213114754,0.5228481055252708,0.06512801139179156,1.0,244,0,0,21,106,14,103,0.8565573770491803
cnn,fold_3,2024,Global-Numeric-Random-Features,5,244,34.49475880126974,29.599892621231827,3.4995043250826128,0.3864122832399106,0.5,0.5183390537721246,0.08158757873721394,1.0,244,0,0,9,118,4,113,0.9467213114754098
cnn,fold_4,2025,News-Only,5,234,120.42877941441162,103.2128966895423,13.462478592481606,-4.59859790559003,0.5,0.5125,0.11107503021679688,1.0,234,0,0,3,117,0,114,0.9871794871794872
cnn,fold_4,2025,Global-Numeric-Shuffled-News,5,234,24.688426600559872,19.144502239355415,2.4787284105915113,0.7647088814795746,0.5427350427350427,0.5449561403508771,0.09122542850965049,1.0,234,0,0,55,65,42,72,0.5854700854700855
cnn,fold_4,2025,Global-Numeric-Lagged-News,5,234,23.148464156580363,18.571962282870576,2.370498559543164,0.7931464055597267,0.5042735042735043,0.5046052631578948,0.009210526315789473,1.0,234,0,0,59,61,55,59,0.5128205128205128
cnn,fold_4,2025,Global-Numeric-Random-Features,5,234,20.99626459628301,16.89144929400214,2.167367724515531,0.8298222480570521,0.5085470085470085,0.5105263157894737,0.02129928170215658,1.0,234,0,0,52,68,47,67,0.5769230769230769
lstm_cnn,fold_1,2022,News-Only,5,241,59.16942004939717,54.47224586875215,5.498955325333043,-6.06779026345802,0.44583333333333336,0.5,0.0,1.0,240,1,0,107,0,133,0,0.0
