model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
cnn,observed_vs_random,mcc_delta,4,0.02244336287541577,0.040351988257872846,-0.041765655095643735,0.08665238084647528,2,2,0,0.5,1.0,0.125
cnn,observed_vs_random,rmse_delta,4,0.9636765064176194,4.40890538783013,-6.051875824505095,7.979228837340334,2,2,0,0.75,1.0,0.125
cnn,observed_vs_random,mae_delta,4,0.26828952869312284,3.817724105252735,-5.8065614579839355,6.34314051537018,2,2,0,0.75,1.0,0.125
lstm,observed_vs_random,balanced_accuracy_delta_pp,4,-2.222886455357678,2.5713472925572427,-6.314473800757709,1.8687008900423527,1,3,0,0.25,1.0,0.125
lstm,observed_vs_random,direction_accuracy_delta_pp,4,-1.9110068499971629,3.9531416407904723,-8.20133735449557,4.379323654501244,1,3,0,0.5,1.0,0.125
lstm,observed_vs_random,mcc_delta,4,-0.04948351775941083,0.0641557371013028,-0.15156961200980784,0.052602576490986167,1,3,0,0.25,1.0,0.125
lstm,observed_vs_random,rmse_delta,4,0.3416930605322186,1.415179664049348,-1.9101735860510245,2.5935597071154617,3,1,0,0.625,1.0,0.125
lstm,observed_vs_random,mae_delta,4,0.3396420774997204,1.2830407642480335,-1.701962092355049,2.3812462473544898,3,1,0,0.625,1.0,0.125
lstm_attention,observed_vs_random,balanced_accuracy_delta_pp,4,1.1077662574519518,2.087255584486722,-2.213523154064325,4.429055668968229,3,1,0,0.375,1.0,0.125
lstm_attention,observed_vs_random,direction_accuracy_delta_pp,4,0.8318728382066681,1.7812970085212227,-2.002568203483975,3.6663138798973116,3,1,0,0.375,1.0,0.125
lstm_attention,observed_vs_random,mcc_delta,4,0.02770967062242856,0.05126419419405045,-0.05386310208067262,0.10928244332552974,3,1,0,0.375,1.0,0.125
lstm_attention,observed_vs_random,rmse_delta,4,0.7808150136156105,0.45213675666515013,0.06136453824962751,1.5002654889815934,4,0,0,0.125,0.625,0.125
lstm_attention,observed_vs_random,mae_delta,4,0.5895990249138503,0.24155196837754822,0.20523594026528263,0.973962109562418,4,0,0,0.125,0.625,0.125
lstm_cnn,observed_vs_random,balanced_accuracy_delta_pp,4,1.4767695633238072,1.1342327526703342,-0.32804785320993,3.2815869798575443,4,0,0,0.125,0.625,0.125
lstm_cnn,observed_vs_random,direction_accuracy_delta_pp,4,1.1407986780564996,0.517426436152625,0.31745775306148083,1.9641396030515184,4,0,0,0.125,0.625,0.125
lstm_cnn,observed_vs_random,mcc_delta,4,0.029824256148164634,0.025058303382370875,-0.010049096359787582,0.06969760865611685,4,0,0,0.125,0.625,0.125
lstm_cnn,observed_vs_random,rmse_delta,4,1.7251464053177736,2.42030644514912,-2.1261012466918072,5.576394057327354,3,1,0,0.25,1.0,0.125
lstm_cnn,observed_vs_random,mae_delta,4,1.0113788956420748,2.3536489139729193,-2.7338017494619895,4.756559540746139,2,2,0,0.625,1.0,0.125
lstm_cnn_attention,observed_vs_random,balanced_accuracy_delta_pp,4,-1.3559881807748557,1.404992291718713,-3.59164444464101,0.8796680830912982,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_vs_random,direction_accuracy_delta_pp,4,-1.2426298552416282,1.5355305998268032,-3.6860016972760707,1.2007419867928144,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_vs_random,mcc_delta,4,-0.029849747736315806,0.029603092272569482,-0.07695487355022151,0.017255378077589905,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_vs_random,rmse_delta,4,-1.2593896253312993,1.76511181971804,-4.068076419868438,1.5492971692058397,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_vs_random,mae_delta,4,-1.2742626412170948,1.6122457206801166,-3.8397053597110475,1.291180077276858,1,3,0,0.25,1.0,0.125
lstm,news_only_vs_market,balanced_accuracy_delta_pp,4,1.3988435825687429,1.0299912176871138,-0.24010229003276828,3.037789455170254,4,0,0,0.125,0.625,0.125
lstm,news_only_vs_market,direction_accuracy_delta_pp,4,0.5123233075915654,1.8803290502376582,-2.4796998117316638,3.5043464269147946,2,1,1,0.75,1.0,0.125
lstm,news_only_vs_market,mcc_delta,4,0.04068558287654074,0.03904874350564434,-0.021449681871213766,0.10282084762429525,3,1,0,0.25,1.0,0.125
lstm,news_only_vs_market,rmse_delta,4,68.41575534336579,38.108059221450524,7.7773292079468135,129.05418147878476,4,0,0,0.125,0.625,0.125
lstm,news_only_vs_market,mae_delta,4,59.89582134577954,35.734273064948674,3.034618702007023,116.75702398955205,4,0,0,0.125,0.625,0.125
cnn,news_only_vs_market,balanced_accuracy_delta_pp,4,-0.3671119163642461,3.0716387654131494,-5.25477463644189,4.520550803713397,2,2,0,0.75,1.0,0.125
cnn,news_only_vs_market,direction_accuracy_delta_pp,4,-2.0018499363693096,4.40553362483249,-9.012037039944959,5.008337167206339,1,3,0,0.5,1.0,0.125
cnn,news_only_vs_market,mcc_delta,4,0.003940926685677528,0.06551105931632498,-0.1003017876525526,0.10818364102390765,2,2,0,1.0,1.0,0.125
cnn,news_only_vs_market,rmse_delta,4,55.74065048669108,27.203182426430967,12.454316784214122,99.02698418916805,4,0,0,0.125,0.625,0.125
cnn,news_only_vs_market,mae_delta,4,49.7786821726882,24.33369107151827,11.058349550453968,88.49901479492243,4,0,0,0.125,0.625,0.125
lstm_cnn,news_only_vs_market,balanced_accuracy_delta_pp,4,-2.290884591035266,3.0205865965884025,-7.097311918086391,2.515542736015859,1,3,0,0.375,1.0,0.125
lstm_cnn,news_only_vs_market,direction_accuracy_delta_pp,4,-3.8898981358929197,3.3730076632220087,-9.257106023650177,1.4773097518643379,1,3,0,0.25,0.75,0.125
lstm_cnn,news_only_vs_market,mcc_delta,4,-0.05309179785877033,0.06682766449214353,-0.15942952483565104,0.053245929118110366,1,3,0,0.375,1.0,0.125
lstm_cnn,news_only_vs_market,rmse_delta,4,50.93037595596094,25.185182885339422,10.855129845289483,91.0056220666324,4,0,0,0.125,0.625,0.125
lstm_cnn,news_only_vs_market,mae_delta,4,46.43430146676207,24.525598212366322,7.408601758853116,85.46000117467102,4,0,0,0.125,0.625,0.125
lstm_attention,news_only_vs_market,balanced_accuracy_delta_pp,4,-1.1978020199820834,0.839196081185313,-2.533150253970466,0.13754621400629952,0,4,0,0.125,0.625,0.125
lstm_attention,news_only_vs_market,direction_accuracy_delta_pp,4,-1.252964052423812,0.7652202617902479,-2.470600249855115,-0.0353278549925089,0,4,0,0.125,0.625,0.125
lstm_attention,news_only_vs_market,mcc_delta,4,-0.027404463608402624,0.02220572990729635,-0.06273873515820422,0.007929807941398977,1,3,0,0.25,1.0,0.125
lstm_attention,news_only_vs_market,rmse_delta,4,46.56174940212887,31.309376298099973,-3.2584550581839054,96.38195386244163,4,0,0,0.125,0.625,0.125
lstm_attention,news_only_vs_market,mae_delta,4,41.38137587848637,30.56122405015642,-7.248351403197574,90.01110316017031,4,0,0,0.125,0.625,0.125
lstm_cnn_attention,news_only_vs_market,balanced_accuracy_delta_pp,4,-2.0282930356357975,3.5875124742091082,-7.736825944988793,3.680239873717197,1,3,0,0.375,1.0,0.125
lstm_cnn_attention,news_only_vs_market,direction_accuracy_delta_pp,4,-3.657495220460942,2.3820973506583756,-7.44794367667537,0.13295323575348617,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,news_only_vs_market,mcc_delta,4,-0.030618420806984657,0.09735422075697839,-0.1855307108828948,0.1242938692689255,1,3,0,0.5,1.0,0.125
lstm_cnn_attention,news_only_vs_market,rmse_delta,4,40.76926408694465,24.532824946173772,1.7320650328833054,79.80646314100599,4,0,0,0.125,0.625,0.125
