model,fold,test_year,quarter,balanced_accuracy_treatment,balanced_accuracy_control,contrast,balanced_accuracy_delta_pp
cnn,fold_2,2023,2023Q2,0.5527950310559007,0.5819875776397516,observed_vs_lagged,-2.9192546583850953
cnn,fold_2,2023,2023Q3,0.4602925809822362,0.48223615464994773,observed_vs_lagged,-2.194357366771155
cnn,fold_2,2023,2023Q4,0.5405092592592593,0.6342592592592593,observed_vs_lagged,-9.375
cnn,fold_3,2024,2024Q1,0.4892857142857143,0.4821428571428571,observed_vs_lagged,0.7142857142857229
cnn,fold_3,2024,2024Q2,0.5,0.5,observed_vs_lagged,0.0
cnn,fold_3,2024,2024Q3,0.5192307692307693,0.5192307692307693,observed_vs_lagged,0.0
cnn,fold_3,2024,2024Q4,0.6022222222222222,0.5283333333333333,observed_vs_lagged,7.388888888888889
cnn,fold_4,2025,2025Q1,0.5432432432432432,0.5308108108108108,observed_vs_lagged,1.2432432432432416
cnn,fold_4,2025,2025Q2,0.500615763546798,0.4501231527093596,observed_vs_lagged,5.049261083743844
cnn,fold_4,2025,2025Q3,0.5195767195767196,0.4693121693121693,observed_vs_lagged,5.026455026455029
cnn,fold_4,2025,2025Q4,0.5614285714285714,0.5371428571428571,observed_vs_lagged,2.4285714285714244
lstm,fold_1,2022,2022Q1,0.5261984392419174,0.5746934225195095,observed_vs_lagged,-4.849498327759205
lstm,fold_1,2022,2022Q2,0.5,0.5208333333333334,observed_vs_lagged,-2.083333333333337
lstm,fold_1,2022,2022Q3,0.4890282131661442,0.4864158829676071,observed_vs_lagged,0.26123301985370717
lstm,fold_1,2022,2022Q4,0.381316098707403,0.3384253819036428,observed_vs_lagged,4.289071680376022
lstm,fold_2,2023,2023Q1,0.4594594594594595,0.5634095634095635,observed_vs_lagged,-10.3950103950104
lstm,fold_2,2023,2023Q2,0.4857142857142857,0.45776397515527956,observed_vs_lagged,2.7950310559006155
lstm,fold_2,2023,2023Q3,0.5956112852664577,0.5506792058516197,observed_vs_lagged,4.493207941483801
lstm,fold_2,2023,2023Q4,0.5063657407407407,0.5318287037037037,observed_vs_lagged,-2.546296296296302
lstm,fold_3,2024,2024Q1,0.5107142857142857,0.5142857142857142,observed_vs_lagged,-0.3571428571428559
lstm,fold_3,2024,2024Q2,0.47962962962962963,0.5,observed_vs_lagged,-2.037037037037037
lstm,fold_3,2024,2024Q3,0.5192307692307693,0.5,observed_vs_lagged,1.9230769230769273
lstm,fold_3,2024,2024Q4,0.4716666666666667,0.596111111111111,observed_vs_lagged,-12.444444444444436
lstm,fold_4,2025,2025Q1,0.47459459459459463,0.5572972972972974,observed_vs_lagged,-8.270270270270274
lstm,fold_4,2025,2025Q2,0.5357142857142857,0.500615763546798,observed_vs_lagged,3.5098522167487656
lstm,fold_4,2025,2025Q3,0.4883597883597884,0.5137566137566137,observed_vs_lagged,-2.539682539682536
lstm,fold_4,2025,2025Q4,0.3892857142857143,0.34071428571428575,observed_vs_lagged,4.857142857142854
lstm_attention,fold_1,2022,2022Q1,0.48494983277591974,0.49386845039018956,observed_vs_lagged,-0.8918617614269819
lstm_attention,fold_1,2022,2022Q2,0.5,0.46875,observed_vs_lagged,3.125
lstm_attention,fold_1,2022,2022Q3,0.4059561128526646,0.410135841170324,observed_vs_lagged,-0.41797283176593925
lstm_attention,fold_1,2022,2022Q4,0.4747356051703878,0.5211515863689777,observed_vs_lagged,-4.641598119858992
lstm_attention,fold_2,2023,2023Q1,0.5644490644490645,0.6356548856548856,observed_vs_lagged,-7.1205821205821085
lstm_attention,fold_2,2023,2023Q2,0.5335403726708075,0.5546583850931677,observed_vs_lagged,-2.111801242236022
lstm_attention,fold_2,2023,2023Q3,0.4885057471264368,0.5057471264367817,observed_vs_lagged,-1.7241379310344862
lstm_attention,fold_2,2023,2023Q4,0.4861111111111111,0.5318287037037037,observed_vs_lagged,-4.571759259259261
lstm_attention,fold_3,2024,2024Q1,0.5357142857142857,0.4857142857142857,observed_vs_lagged,4.999999999999999
lstm_attention,fold_3,2024,2024Q2,0.48148148148148145,0.5,observed_vs_lagged,-1.8518518518518545
lstm_attention,fold_3,2024,2024Q3,0.5769230769230769,0.5576923076923077,observed_vs_lagged,1.9230769230769162
lstm_attention,fold_3,2024,2024Q4,0.5994444444444444,0.5855555555555556,observed_vs_lagged,1.388888888888884
lstm_attention,fold_4,2025,2025Q1,0.46270270270270275,0.46270270270270275,observed_vs_lagged,0.0
lstm_attention,fold_4,2025,2025Q2,0.4846059113300492,0.4673645320197044,observed_vs_lagged,1.7241379310344807
lstm_attention,fold_4,2025,2025Q3,0.5507936507936508,0.5507936507936508,observed_vs_lagged,0.0
lstm_attention,fold_4,2025,2025Q4,0.5235714285714286,0.46785714285714286,observed_vs_lagged,5.571428571428571
lstm_cnn,fold_1,2022,2022Q1,0.6505016722408027,0.5707915273132664,observed_vs_lagged,7.971014492753625
lstm_cnn,fold_1,2022,2022Q2,0.47916666666666663,0.5260416666666666,observed_vs_lagged,-4.6875
lstm_cnn,fold_1,2022,2022Q3,0.36520376175548586,0.4252873563218391,observed_vs_lagged,-6.008359456635326
lstm_cnn,fold_1,2022,2022Q4,0.48237367802585196,0.49412455934195065,observed_vs_lagged,-1.1750881316098694
lstm_cnn,fold_2,2023,2023Q1,0.5145530145530146,0.5493762993762994,observed_vs_lagged,-3.4823284823284784
lstm_cnn,fold_2,2023,2023Q2,0.5459627329192547,0.5819875776397516,observed_vs_lagged,-3.602484472049694
lstm_cnn,fold_2,2023,2023Q3,0.5318704284221525,0.4973876698014629,observed_vs_lagged,3.4482758620689613
lstm_cnn,fold_2,2023,2023Q4,0.5503472222222222,0.5462962962962963,observed_vs_lagged,0.405092592592593
lstm_cnn,fold_3,2024,2024Q1,0.4821428571428571,0.4714285714285714,observed_vs_lagged,1.0714285714285676
lstm_cnn,fold_3,2024,2024Q2,0.5,0.5,observed_vs_lagged,0.0
lstm_cnn,fold_3,2024,2024Q3,0.6211018711018711,0.5192307692307693,observed_vs_lagged,10.187110187110182
lstm_cnn,fold_3,2024,2024Q4,0.5622222222222222,0.4911111111111111,observed_vs_lagged,7.111111111111107
lstm_cnn,fold_4,2025,2025Q1,0.5091891891891892,0.5432432432432432,observed_vs_lagged,-3.405405405405404
lstm_cnn,fold_4,2025,2025Q2,0.5,0.5,observed_vs_lagged,0.0
lstm_cnn,fold_4,2025,2025Q3,0.537037037037037,0.5455026455026455,observed_vs_lagged,-0.846560846560851
lstm_cnn,fold_4,2025,2025Q4,0.5614285714285714,0.5214285714285715,observed_vs_lagged,3.9999999999999925
lstm_cnn_attention,fold_1,2022,2022Q1,0.5953177257525084,0.620958751393534,observed_vs_lagged,-2.564102564102555
lstm_cnn_attention,fold_1,2022,2022Q2,0.5052083333333333,0.4895833333333333,observed_vs_lagged,1.5624999999999944
lstm_cnn_attention,fold_1,2022,2022Q3,0.3672936259143156,0.3824451410658307,observed_vs_lagged,-1.5151515151515138
lstm_cnn_attention,fold_1,2022,2022Q4,0.48237367802585196,0.49588719153936545,observed_vs_lagged,-1.3513513513513487
lstm_cnn_attention,fold_2,2023,2023Q1,0.4719334719334719,0.4719334719334719,observed_vs_lagged,0.0
lstm_cnn_attention,fold_2,2023,2023Q2,0.5254658385093167,0.5683229813664596,observed_vs_lagged,-4.285714285714293
lstm_cnn_attention,fold_2,2023,2023Q3,0.4994775339602926,0.5146290491118077,observed_vs_lagged,-1.5151515151515138
lstm_cnn_attention,fold_2,2023,2023Q4,0.48900462962962965,0.5075231481481481,observed_vs_lagged,-1.851851851851849
lstm_cnn_attention,fold_3,2024,2024Q1,0.5178571428571429,0.5214285714285715,observed_vs_lagged,-0.3571428571428559
lstm_cnn_attention,fold_3,2024,2024Q2,0.5,0.5,observed_vs_lagged,0.0
lstm_cnn_attention,fold_3,2024,2024Q3,0.6112266112266113,0.6403326403326404,observed_vs_lagged,-2.9106029106029108
lstm_cnn_attention,fold_3,2024,2024Q4,0.5177777777777778,0.5394444444444444,observed_vs_lagged,-2.166666666666661
lstm_cnn_attention,fold_4,2025,2025Q1,0.4956756756756757,0.5227027027027027,observed_vs_lagged,-2.7027027027026973
lstm_cnn_attention,fold_4,2025,2025Q2,0.5,0.5,observed_vs_lagged,0.0
lstm_cnn_attention,fold_4,2025,2025Q3,0.5227513227513227,0.5,observed_vs_lagged,2.2751322751322745
lstm_cnn_attention,fold_4,2025,2025Q4,0.5835714285714286,0.5657142857142857,observed_vs_lagged,1.7857142857142905
cnn,fold_1,2022,2022Q1,0.5250836120401338,0.5763656633221851,observed_vs_random,-5.128205128205132
cnn,fold_1,2022,2022Q2,0.515625,0.5,observed_vs_random,1.5625
cnn,fold_1,2022,2022Q3,0.35893416927899685,0.35893416927899685,observed_vs_random,0.0
cnn,fold_1,2022,2022Q4,0.40070505287896596,0.38719153936545236,observed_vs_random,1.3513513513513598
cnn,fold_2,2023,2023Q1,0.5072765072765073,0.5265072765072765,observed_vs_random,-1.9230769230769162
cnn,fold_2,2023,2023Q2,0.5527950310559007,0.5385093167701863,observed_vs_random,1.4285714285714346
cnn,fold_2,2023,2023Q3,0.4602925809822362,0.4602925809822362,observed_vs_random,0.0
cnn,fold_2,2023,2023Q4,0.5405092592592593,0.5561342592592593,observed_vs_random,-1.5625
cnn,fold_3,2024,2024Q1,0.4892857142857143,0.4928571428571429,observed_vs_random,-0.3571428571428559
cnn,fold_3,2024,2024Q2,0.5,0.5,observed_vs_random,0.0
cnn,fold_3,2024,2024Q3,0.5192307692307693,0.5192307692307693,observed_vs_random,0.0
cnn,fold_3,2024,2024Q4,0.6022222222222222,0.5433333333333333,observed_vs_random,5.8888888888888875
cnn,fold_4,2025,2025Q1,0.5432432432432432,0.5172972972972973,observed_vs_random,2.5945945945945903
cnn,fold_4,2025,2025Q2,0.500615763546798,0.4673645320197044,observed_vs_random,3.325123152709364
cnn,fold_4,2025,2025Q3,0.5195767195767196,0.45238095238095233,observed_vs_random,6.719576719576725
cnn,fold_4,2025,2025Q4,0.5614285714285714,0.5614285714285714,observed_vs_random,0.0
lstm,fold_1,2022,2022Q1,0.5261984392419174,0.5568561872909699,observed_vs_random,-3.0657748049052413
lstm,fold_1,2022,2022Q2,0.5,0.46875,observed_vs_random,3.125
lstm,fold_1,2022,2022Q3,0.4890282131661442,0.5036572622779519,observed_vs_random,-1.4629049111807735
lstm,fold_1,2022,2022Q4,0.381316098707403,0.36310223266745006,observed_vs_random,1.8213866039952953
lstm,fold_2,2023,2023Q1,0.4594594594594595,0.524948024948025,observed_vs_random,-6.548856548856547
lstm,fold_2,2023,2023Q2,0.4857142857142857,0.5086956521739131,observed_vs_random,-2.2981366459627397
lstm,fold_2,2023,2023Q3,0.5956112852664577,0.542319749216301,observed_vs_random,5.3291536050156685
lstm,fold_2,2023,2023Q4,0.5063657407407407,0.4861111111111111,observed_vs_random,2.0254629629629592
