model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm_cnn_attention,fold_1,2022,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.48176516056496377,0.48333333333333334,-0.03626637617064696,36.85728570715368,29.486639660456365,0.4714004637762631,0.4708333333333333,-0.05687033369848148,36.9100952599249,30.335783971977428,1.0364696788700667,1.250000000000001,0.020603957527834525,-0.05280955277122246,-0.8491443115210622
lstm_cnn_attention,fold_2,2023,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5086348684210527,0.5,0.018058590136629773,29.149901711892195,24.047570272012987,0.5320038377192983,0.5206611570247934,0.06934560875759532,29.065290280682603,24.082326027442374,-2.336896929824561,-2.066115702479343,-0.05128701862096555,0.08461143120959136,-0.034755755429387136
lstm_cnn_attention,fold_3,2024,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5437781815734571,0.5327868852459017,0.10337708314901928,33.99447464390793,27.149634514478375,0.5848307423110573,0.5737704918032787,0.2003179297607053,34.73134636932522,27.697690943799042,-4.10525607376001,-4.098360655737698,-0.09694084661168603,-0.736871725417295,-0.5480564293206669
lstm_cnn_attention,fold_4,2025,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5412280701754386,0.5341880341880342,0.09846657426694166,56.85990854474363,43.236134793611164,0.5585526315789473,0.5512820512820513,0.14177799493482382,58.47524940328227,44.290106860052816,-1.7324561403508687,-1.7094017094017144,-0.043311420667882156,-1.6153408585386373,-1.053972066441652
cnn,fold_1,2022,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.4557655821797484,0.4666666666666667,-0.08960951668142403,23.669960929649214,19.072225700462504,0.4604384793760101,0.4708333333333333,-0.08001353742766956,21.470183780135358,17.30793055443545,-0.4672897196261738,-0.4166666666666652,-0.009595979253754466,2.1997771495138565,1.7642951460270524
cnn,fold_2,2023,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5327576754385965,0.5371900826446281,0.06622719756550707,20.244824996535026,16.158442989037372,0.5692160087719298,0.5661157024793388,0.13888485492452166,20.54750677558453,16.562521390741246,-3.645833333333326,-2.892561983471076,-0.07265765735901458,-0.3026817790495038,-0.4040784017038739
cnn,fold_3,2024,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5402786190187765,0.5245901639344263,0.12436011934391149,30.608108109836703,25.224385348567196,0.5228481055252708,0.5081967213114754,0.06512801139179156,28.10517446187427,22.67747047363342,1.7430513493505662,1.6393442622950838,0.05923210795211993,2.5029336479624327,2.546914874933776
cnn,fold_4,2025,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5427631578947368,0.5384615384615384,0.09068453126375146,27.754698380975192,21.82487796047304,0.5046052631578948,0.5042735042735043,0.009210526315789473,23.148464156580363,18.571962282870576,3.8157894736842057,3.4188034188034178,0.08147400494796199,4.606234224394829,3.252915677602463
lstm,fold_1,2022,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.47751387815332724,0.49583333333333335,-0.047419533787957845,11.934967588578424,9.681344625524462,0.48176516056496377,0.48333333333333334,-0.03626637617064696,11.700228723402892,9.201736580963452,-0.42512824116365255,1.250000000000001,-0.011153157617310887,0.23473886517553133,0.4796080445610098
lstm,fold_2,2023,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5373492324561404,0.5537190082644629,0.09078009129286156,12.998561306617965,10.533375788181443,0.5562637061403508,0.5661157024793388,0.11978664310685892,12.336039559119033,9.882795004786777,-1.8914473684210398,-1.2396694214875992,-0.02900655181399736,0.662521747498932,0.6505807833946662
